Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CHECK_ADC_ACK|uint8|SAIMMO|1|0|0|CHECK_ADC_ACK|0|0|Phys|-|||||||CHECK_ADC_ACK||3||||||||0|1|||1|0|0|0||0|||||0|
CHECK_ADC_IN_PROGRESS|uint8|SAIMMO|1|0|0|CHECK_ADC_IN_PROGRESS|0|0|Phys|-|||||||CHECK_ADC_IN_PROGRESS||3||||||||0|1|||2|0|0|0||0|||||0|
CHECK_ADC_NOK|uint8|SAIMMO|1|0|0|CHECK_ADC_NOK|0|0|Phys|-|||||||CHECK_ADC_NOK||3||||||||0|1|||4|0|0|0||0|||||0|
CHECK_ADC_OK|uint8|SAIMMO|1|0|0|CHECK_ADC_OK|0|0|Phys|-|||||||CHECK_ADC_OK||3||||||||0|1|||8|0|0|0||0|||||0|
CHECK_ADC_TIMEOUT|uint8|SAIMMO|1|0|0|CHECK_ADC_TIMEOUT|0|0|Phys|-|||||||CHECK_ADC_TIMEOUT||3||||||||0|1|||16|0|0|0||0|||||0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
CoPTStNew_stEng|uint8|HEADER|1|0|0|CoPTStNew_stEng|0|0|Phys|-|1|1|0|HEADER|HEADER||CoPTStNew_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
DCM_MANU_Code_Antidemarrage|uint32|HEADER|1|0|0|DCM_MANU_Code_Antidemarrage|0|0|Déci|-||||HEADER|HEADER||DCM_MANU_Code_Antidemarrage||1||||||||0|1||||1|0|0||0|||||0|
DCM_MANU_Option_Appairage|uint8|HEADER|1|0|0|DCM_MANU_Option_Appairage|0|0|Déci|-||||HEADER|HEADER||DCM_MANU_Option_Appairage||1||||||||0|1||||1|0|0||0|0|255|||0|
DIAG_DISPO|uint8|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-||||HEADER|HEADER||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
ECU_bWkuMain|boolean|HEADER|1|0|0|ECU_bWkuMain|0|0|Phys|bool|2|0||HEADER|HEADER||ECU_bWkuMain||1||||||||0|1||||1|0|0||0|0|1|||0|
Ext_bUnlockReq|boolean|HEADER|1|0|0|Ext_bUnlockReq|0|0|Phys|-||||HEADER|HEADER||Ext_bUnlockReq||1||||||||0|1||||0|0|0||0|||||0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|RPM|0|||HEADER|HEADER||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
FRM_FRM_INHCDTSPDVEHIMMO|uint16|HEADER|1|0|0|FRM_FRM_INHCDTSPDVEHIMMO|0|0|Phys|-|4|||HEADER|HEADER||FRM_FRM_INHCDTSPDVEHIMMO||3||||||||0|1|||358|0|0|0||0|||||0|
