Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Can_EveSaimmo_TxFrame072|A|();|HD_6|HEADER|1|HEADER||||0|0|0|0||
Can_EveSaimmo_TxFrame0E8|A|();|HD_5|HEADER|1|HEADER||||0|0|0|0||
DEVHAL_bCheckEmulCard|A|func_DEVHAL_bCheckEmulCard|14|HEADER|1|NONE||||0|0|0|0||
Ext_getBInhCdtSpdVehImmo|B|(argin boolean *Immo_bInhCdtSpdVehImmo);|FCT4.6|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Invalid vehicle speed information acquisition function sent by the GAR.|
Ext_getBInhConf|B|(argin boolean *Immo_bInhConf);|FCT1.15|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Function of inhibition of the procedure of confirmation.|
Ext_getBUnlockAutho|B|(argin boolean *Immo_bUnlockAutho);|FCT1.13|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Function of inhibition of the unlock procedure and the automatic pairring|
Ext_getBUnlockReq|B|(argin boolean *Immo_bUnlockReq, argin boolean *Immo_bMainECUWakeUp);|FCT1.12|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Immobiliser life situation acquisition function|
Ext_getImmoCodProg|C|(argin uint32 *Ext_noImmoCod, argin uint8 *Ext_stCANMatchOpt, argin uint16 *Ext_stProgImmo, argin uint8 *Ext_stReadImmo);|FCT1.8|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Function called by IMMO to get state of data stored in SA module.|
Ext_getNInputImmo|B|(argin uint16 *Immo_nInput);|FCT1.14|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Engine speed acquisition function.|
Ext_getRandomUInt32|B|(argin uint32 *Ext_noUInt32Random);|FCT1.9|SAIMMO|1|PTS_DOC_5060905||||0|0|0|0|Get a random data on 4 bytes.|
