Name|Type|Requirement
HeatSenO2_bUsPwrRlyCmd|0|VEMS_R_09_00440_040.00
HeatSenO2_bUsPwrRlyCmd|0|VEMS_R_09_00440_042.00
HeatSenO2_bUsTstCmd|0|VEMS_R_09_00440_040.00
HeatSenO2_bUsTstCmd|0|VEMS_R_09_00440_042.00
HeatSenO2_bUsTstCmpl|0|VEMS_R_09_00440_040.00
HeatSenO2_bUsTstCmpl|0|VEMS_R_09_00440_042.00
HeatSenO2_bUsPwrRlyCmd|0|VEMS_R_08_08131_001.01
HeatSenO2_bUsPwrRlyCmd|0|VEMS_R_08_08131_002.01
HeatSenO2_bUsTstCmd|0|VEMS_R_08_08131_001.01
HeatSenO2_bUsTstCmd|0|VEMS_R_08_08131_002.01
HeatSenO2_bUsTstCmpl|0|VEMS_R_08_08131_001.01
HeatSenO2_bUsTstCmpl|0|VEMS_R_08_08131_002.01
HeatSenO2_EveRst_ActrTSO2Us|1|VEMS_R_08_08131_001.01
HeatSenO2_EveRst_ActrTSO2Us|1|VEMS_R_08_08131_002.01
HeatSenO2_SdlFast_ActrTSO2Us|1|VEMS_R_08_08131_001.01
HeatSenO2_SdlFast_ActrTSO2Us|1|VEMS_R_08_08131_002.01
SENO2USACTEST_vidInitOutput|1|VEMS_R_08_08131_003.01
SENO2USACTEST_vidInitOutput|1|VEMS_R_08_08131_004.01
ActrTstSO2Us_OffTime|0|VEMS_R_09_00440_040.00
ActrTstSO2Us_OffTime|0|VEMS_R_09_00440_042.00
ActrTstSO2Us_OnTime|0|VEMS_R_09_00440_040.00
ActrTstSO2Us_OnTime|0|VEMS_R_09_00440_042.00
ActrTstSO2Us_TotTime|0|VEMS_R_09_00440_040.00
ActrTstSO2Us_TotTime|0|VEMS_R_09_00440_042.00
ActrTstSO2_UsTempo_C|0|VEMS_R_08_08131_001.01
ActrTstSO2_UsTempo_C|0|VEMS_R_08_08131_002.01
ActrTstSO2Us_OffTime|0|VEMS_R_08_08131_001.01
ActrTstSO2Us_OffTime|0|VEMS_R_08_08131_002.01
ActrTstSO2Us_OnTime|0|VEMS_R_08_08131_001.01
ActrTstSO2Us_OnTime|0|VEMS_R_08_08131_002.01
ActrTstSO2Us_TotTime|0|VEMS_R_08_08131_001.01
ActrTstSO2Us_TotTime|0|VEMS_R_08_08131_002.01
SENO2USACTEST_vidSO2UsTst|1|VEMS_R_08_08131_003.01
SENO2USACTEST_vidSO2UsTst|1|VEMS_R_08_08131_004.01
