Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DGOHAL_bfFAULT_MCW_COMPUTED_CKS||HEADER|1|0|0|DGOHAL_bfFAULT_MCW_COMPUTED_CKS|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCW_COMPUTED_CKS||3||||||||0|1|||0x20|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_ALGO||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_ALGO|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_ALGO||3||||||||0|1|||0x20|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_CLOCK||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_CLOCK|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_CLOCK||3||||||||0|1|||0x80|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_COMSPI||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_COMSPI|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_COMSPI||3||||||||0|1|||0x02|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_DACSIG1||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_DACSIG1|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_DACSIG1||3||||||||0|1|||0x08|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_DACSIG2||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_DACSIG2|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_DACSIG2||3||||||||0|1|||0x02|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_MONIT||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_MONIT|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_MONIT||3||||||||0|1|||0x20|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCWDG_TIMEOUT||HEADER|1|0|0|DGOHAL_bfFAULT_MCWDG_TIMEOUT|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCWDG_TIMEOUT||3||||||||0|1|||0x08|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_ALGO||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_ALGO|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_ALGO||3||||||||0|1|||0x10|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_CLOCK||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_CLOCK|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_CLOCK||3||||||||0|1|||0x40|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_COMSPI||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_COMSPI|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_COMSPI||3||||||||0|1|||0x01|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_DACSIG1||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_DACSIG1|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_DACSIG1||3||||||||0|1|||0x04|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_DACSIG2||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_DACSIG2|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_DACSIG2||3||||||||0|1|||0x01|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_MONIT||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_MONIT|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_MONIT||3||||||||0|1|||0x10|0|0|0||0|||||0|
DGOHAL_bfVALID_MCWDG_TIMEOUT||HEADER|1|0|0|DGOHAL_bfVALID_MCWDG_TIMEOUT|0|0|Phys|-|||||||DGOHAL_bfVALID_MCWDG_TIMEOUT||3||||||||0|1|||0x04|0|0|0||0|||||0|
DGOHAL_udtMCWDG_DAC_CHECK||HEADER|1|0|0|DGOHAL_udtMCWDG_DAC_CHECK|0|0|Phys|-|||||||DGOHAL_udtMCWDG_DAC_CHECK||3||||||||0|1|||0x19|0|0|0||0|||||0|
DGOHAL_udtMCWDG_INIT_SAFETY||HEADER|1|0|0|DGOHAL_udtMCWDG_INIT_SAFETY|0|0|Phys|-|||||||DGOHAL_udtMCWDG_INIT_SAFETY||3||||||||0|1|||0x1B|0|0|0||0|||||0|
