Name|Type|Requirement
Sfty_maskCfgDiag_C|0|VEMS_R_09_03113_001.01
Sfty_maskCfgDiag_C|0|VEMS_R_09_03113_002.01
Sfty_maskCfgDiag_C|0|VEMS_R_09_03113_003.01
Sfty_bInhErr_AvlCksPla_C|0|VEMS_R_09_03113_001.01
Sfty_bInhErr_AvlCksPla_C|0|VEMS_R_09_03113_002.01
Sfty_bInhErr_AvlCksPla_C|0|VEMS_R_09_03113_003.01
Sfty_SdlMid_DiagCpuSfty|1|VEMS_R_09_03113_001.01
Sfty_SdlMid_DiagCpuSfty|1|VEMS_R_09_03113_002.01
Sfty_SdlMid_DiagCpuSfty|1|VEMS_R_09_03113_003.01
Sfty_bDgoAccP_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoAccP_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoAccP_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoAlgo_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoAlgo_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoAlgo_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoAlgo_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bDgoAlgo_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bDgoAlgo_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bDgoClk_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoClk_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoClk_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoClk_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bDgoClk_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bDgoClk_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bDgoComSpi_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoComSpi_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoComSpi_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoComSpi_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bDgoComSpi_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bDgoComSpi_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bDgoComTout_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoComTout_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoComTout_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoComTout_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bDgoComTout_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bDgoComTout_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bDgoSyncMon_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoSyncMon_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoSyncMon_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bDgoSyncMon_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bDgoSyncMon_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bDgoSyncMon_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bDgoThr_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bDgoThr_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bDgoThr_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunAccP_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunAccP_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunAccP_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunAlgo_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunAlgo_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunAlgo_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunAlgo_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bMonRunAlgo_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bMonRunAlgo_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bMonRunClk_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunClk_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunClk_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunClk_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bMonRunClk_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bMonRunClk_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bMonRunComSpi_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunComSpi_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunComSpi_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunComSpi_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bMonRunComSpi_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bMonRunComSpi_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bMonRunComTout_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunComTout_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunComTout_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunComTout_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bMonRunComTout_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bMonRunComTout_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bMonRunSyncMon_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunSyncMon_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunSyncMon_Cpu|0|VEMS_E_11_05806_003.01
Sfty_bMonRunSyncMon_CpuSfty|0|VEMS_E_11_05806_001.01
Sfty_bMonRunSyncMon_CpuSfty|0|VEMS_E_11_05806_002.01
Sfty_bMonRunSyncMon_CpuSfty|0|VEMS_E_11_05806_003.01
Sfty_bMonRunThr_Cpu|0|VEMS_E_11_05806_001.01
Sfty_bMonRunThr_Cpu|0|VEMS_E_11_05806_002.01
Sfty_bMonRunThr_Cpu|0|VEMS_E_11_05806_003.01
Sfty_EveRst_DiagCpuSfty|1|VEMS_E_11_05806_001.01
Sfty_EveRst_DiagCpuSfty|1|VEMS_E_11_05806_002.01
Sfty_EveRst_DiagCpuSfty|1|VEMS_E_11_05806_003.01
Sfty_SdlFast_DiagCpuSfty|1|VEMS_E_11_05806_001.01
Sfty_SdlFast_DiagCpuSfty|1|VEMS_E_11_05806_002.01
Sfty_SdlFast_DiagCpuSfty|1|VEMS_E_11_05806_003.01
Sfty_SdlSlow_DiagCpuSfty|1|VEMS_E_11_05806_001.01
Sfty_SdlSlow_DiagCpuSfty|1|VEMS_E_11_05806_002.01
Sfty_SdlSlow_DiagCpuSfty|1|VEMS_E_11_05806_003.01
