Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|AccP|AccP||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
Afts_bAcvModAfts|boolean|HEADER|1|0|0|Afts_bAcvModAfts|0|0|Phys|bool|2|0||divers|divers||Afts_bAcvModAfts||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CH_ADC_PDL_V_1|uint8|HEADER|1|0|0|CH_ADC_PDL_V_1|0|0|Phys|-|||||||CH_ADC_PDL_V_1||3||||||||0|1|||16|0|0|0||0|||||0|
CH_ADC_PDL_V_2|uint8|HEADER|1|0|0|CH_ADC_PDL_V_2|0|0|Phys|-|||||||CH_ADC_PDL_V_2||3||||||||0|1|||17|0|0|0||0|||||0|
CH_ADC_THR_V_1|uint8|HEADER|1|0|0|CH_ADC_THR_V_1|0|0|Phys|-|||||||CH_ADC_THR_V_1||3||||||||0|1|||0x20|0|0|0||0|||||0|
CH_ADC_THR_V_2|uint8|HEADER|1|0|0|CH_ADC_THR_V_2|0|0|Phys|-|||||||CH_ADC_THR_V_2||3||||||||0|1|||0x01|0|0|0||0|||||0|
CH_PWD_CAPTEUR_NEUTRE|uint8|HEADER|1|0|0|CH_PWD_CAPTEUR_NEUTRE|0|0|Phys|-|||||||CH_PWD_CAPTEUR_NEUTRE||3||||||||0|1|||1|0|0|0||0|||||0|
CH_PWD_CLUTCH|uint8|HEADER|1|0|0|CH_PWD_CLUTCH|0|0|Phys|-|||||||CH_PWD_CLUTCH||3||||||||0|1|||0|0|0|0||0|||||0|
Cha_stTqReq|uint8|HEADER|1|0|0|Cha_stTqReq|0|0|Phys|-|1|1|0|FHCAN|FHCAN||Cha_stTqReq||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Cha_tqMSRReq|sint16|HEADER|1|0|0|Cha_tqMSRReq|0|0|Phys|N.m|1|1/16|0|FHCAN|FHCAN||Cha_tqMSRReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_bTqTx|boolean|HEADER|1|0|0|CoPt_bTqTx|0|0|Phys|bool|2|0||divers|divers||CoPt_bTqTx||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cps_clutch_pedal_input|boolean|HEADER|1|0|0|Cps_clutch_pedal_input|0|0|Phys|bool|2|0||divers|divers||Cps_clutch_pedal_input||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DGOHAL_bfFAULT_MCP_FLASH_CKS|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_MCP_FLASH_CKS|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCP_FLASH_CKS||3||||||||0|1|||16|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCP_RAM_TEST|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_MCP_RAM_TEST|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCP_RAM_TEST||3||||||||0|1|||32|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCW_COMPUTED_CKS|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_MCW_COMPUTED_CKS|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCW_COMPUTED_CKS||3||||||||0|1|||4|0|0|0||0|||||0|
DGOHAL_bfFAULT_MCW_INIT_SAFETY_RESULTS|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_MCW_INIT_SAFETY_RESULTS|0|0|Phys|-|||||||DGOHAL_bfFAULT_MCW_INIT_SAFETY_RESULTS||3||||||||0|1|||1|0|0|0||0|||||0|
DGOHAL_bfFAULT_RAM_1BIT_FIXED|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_RAM_1BIT_FIXED|0|0|Phys|-|||||||DGOHAL_bfFAULT_RAM_1BIT_FIXED||3||||||||0|1|||32|0|0|0||0|||||0|
DGOHAL_bfFAULT_RAM_2BITS_ERR|uint8|HEADER|1|0|0|DGOHAL_bfFAULT_RAM_2BITS_ERR|0|0|Phys|-|||||||DGOHAL_bfFAULT_RAM_2BITS_ERR||3||||||||0|1|||16|0|0|0||0|||||0|
