Name|Type|Requirement
SftyMgt_bTqTx|0|VEMS_R_11_05663_015.02
SftyMgt_ctDftLaddPrev|0|VEMS_R_11_05663_015.02
SftyMgt_noEgdGearTra|0|VEMS_R_11_05663_015.02
SftyMgt_noTarGearTra|0|VEMS_R_11_05663_013.02
SftyMgt_noTarGearTra|0|VEMS_R_11_05663_014.01
SftyMgt_prm_bInjAcvCyl|0|VEMS_R_11_05663_014.01
SftyMgt_prm_bInjAcvCyl|0|VEMS_R_11_05663_013.02
SftyMgt_prm_bInjCutOffCyl|0|VEMS_R_11_05663_013.02
SftyMgt_prm_bInjCutOffCyl|0|VEMS_R_11_05663_014.01
SftyMgt_rCluPedPHiFreq|0|VEMS_R_11_05663_014.01
SftyMgt_rCluPedPHiFreq|0|VEMS_R_11_05663_013.02
SftyMgt_stTqReqCha|0|VEMS_R_11_05663_014.01
SftyMgt_stTqReqCha|0|VEMS_R_11_05663_013.02
SftyMgt_tqMSRReqCha|0|VEMS_R_11_05663_013.02
SftyMgt_tqMSRReqCha|0|VEMS_R_11_05663_014.01
SftyMgt_prm_bFrfDftConf_C|0|VEMS_R_11_05663_013.02
SftyMgt_F329LocalLength|0|VEMS_R_11_05663_013.02
SftyMgt_F329LocalLength|0|VEMS_R_11_05663_014.01
SftyMgt_noTarGearTra|0|VEMS_R_11_05663_015.02
SftyMgt_prm_bInjAcvCyl|0|VEMS_R_11_05663_015.02
SftyMgt_prm_bInjCutOffCyl|0|VEMS_R_11_05663_015.02
SftyMgt_rCluPedPHiFreq|0|VEMS_R_11_05663_015.02
SftyMgt_stTqReqCha|0|VEMS_R_11_05663_015.02
SftyMgt_tqMSRReqCha|0|VEMS_R_11_05663_015.02
SftyMgt_prm_bFrfDftConf_C|0|VEMS_R_11_05663_014.01
SftyMgt_prm_bFrfFirstConf_C|0|VEMS_R_11_05663_014.01
SftyMgt_SdlFast_ifTqMon|1|VEMS_R_11_05663_013.02
SftyMgt_SdlFast_ifTqMon|1|VEMS_R_11_05663_014.01
SftyMgt_SdlFast_ifTqMon|1|VEMS_R_11_05663_015.02
SftyMgt_SdlMid_ifTqMon|1|VEMS_R_11_05663_010.01
SftyMgt_prm_bFrfFirstConf_C|0|VEMS_R_11_05663_013.02
SftMgt_ctWrMemDftConf_C|0|VEMS_R_11_05663_013.02
SftMgt_ctWrMemDftConf_C|0|VEMS_R_11_05663_014.01
SftyMgt_bInhEngStopReq_C|0|VEMS_R_11_05663_013.02
SftyMgt_bInhEngStopReq_C|0|VEMS_R_11_05663_014.01
SftyMgt_bRstEndRcvRun_C|0|VEMS_R_11_05663_014.01
Inj_EveBDC_InjCmdIf|1|VEMS_R_09_04940_005.01
Ext_bMainBrkPedPrssHsMes|0|VEMS_R_09_04940_005.01
Ext_bMainBrkPedPrssMes|0|VEMS_R_09_04940_005.01
SftyMgt_bDftSTT|0|VEMS_R_09_04940_005.01
Can_EveRxn349_FHCanF349If|1|VEMS_R_09_04940_005.02
Can_EveRxn38D_FHCanF38DIf|1|VEMS_R_09_04940_005.02
IgSys_EveBDC_IgAdvCoornIf|1|VEMS_R_09_04940_005.02
IgSys_EveIni_IgAdvCoornIf|1|VEMS_R_09_04940_005.02
Sfty_SdlFast_DiagCpuSftyIf|1|VEMS_R_09_04940_005.02
SftyMgt_SdlMid_InpChkIf|1|VEMS_R_09_04940_005.02
SftyMgt_SdlMid_SftyMngrIf1|1|VEMS_R_09_04940_005.02
SftyMgt_SdlMid_SftyMngrIf2|1|VEMS_R_09_04940_005.02
SftyMgt_SdlMid_SftyMngrIf3|1|VEMS_R_09_04940_005.02
SFTYMGTIFTQ_vidEntryInit|1|VEMS_R_09_04940_005.02
SftyMgt_bMonSwFlowTest|0|VEMS_R_09_04940_005.01
SftyMgt_noMuxCntProcSIP|0|VEMS_R_09_04940_005.01
SftyMgt_noMuxCntProcSpdVeh|0|VEMS_R_09_04940_005.01
SftyMgt_noMuxSpdVeh|0|VEMS_R_09_04940_005.01
SftyMgt_bfSIP|0|VEMS_R_09_04940_005.01
SftyMgt_bfSpdVeh|0|VEMS_R_09_04940_005.01
Thr_SdlFast_IfInhThrCpuSftyIf|1|VEMS_R_09_04940_005.02
Inj_SdlFast_InjCmdIf|1|VEMS_R_09_04940_005.02
SftyMgt_EveRst_SftyMngrIf|1|VEMS_R_09_04940_005.02
SFTYMGTIFTQ_vidbInpChk|1|VEMS_R_11_05663_010.01
Can_EveRxn34D_FHCanF34DIf3|1|VEMS_R_11_05663_013.01
Can_EveRxn34D_FHCanF34DIf3|1|VEMS_R_11_05663_014.01
SftyMgt_EveChkLih_ifTqMon|1|VEMS_R_11_05663_013.02
SftyMgt_EveChkLih_ifTqMon|1|VEMS_R_11_05663_014.01
SftyMgt_EveChkLih_ifTqMon|1|VEMS_R_11_05663_015.02
SftyMgt_EveRst_ifTqMon|1|VEMS_R_11_05663_013.02
SftyMgt_EveRst_ifTqMon|1|VEMS_R_11_05663_014.01
SftyMgt_EveRst_ifTqMon|1|VEMS_R_11_05663_015.02
SftyMgt_EveRxn329_ifTqMon|1|VEMS_R_11_05663_013.02
SftyMgt_EveRxn329_ifTqMon|1|VEMS_R_11_05663_014.01
SftyMgt_EveRxn329_ifTqMon|1|VEMS_R_11_05663_015.02
SftyMgt_bDftSpdVeh|0|VEMS_R_11_05663_013.01
SftyMgt_bDftSpdVeh|0|VEMS_R_11_05663_014.01
SftyMgt_bDftSpdVeh|0|VEMS_R_11_05663_015.01
AccP_uAccPRef|0|VEMS_R_11_05663_013.01
AccP_uAccPRef|0|VEMS_R_11_05663_014.01
AccP_uAccPRef|0|VEMS_R_11_05663_015.01
AccP_uAccPSen1|0|VEMS_R_11_05663_015.01
AccP_uAccPSen1|0|VEMS_R_11_05663_014.01
AccP_uAccPSen1|0|VEMS_R_11_05663_013.01
AccP_uAccPSen2|0|VEMS_R_11_05663_013.01
AccP_uAccPSen2|0|VEMS_R_11_05663_014.01
AccP_uAccPSen2|0|VEMS_R_11_05663_015.01
Ext_bDftOpThrLih_GD|0|VEMS_R_11_05663_013.01
SftyMgt_bDftAutChk|0|VEMS_R_11_05663_013.02
SftyMgt_bDgoIrvEMPrev|0|VEMS_R_11_05663_013.02
SftyMgt_uThrRef|0|VEMS_R_11_05663_013.02
SftyMgt_rOpTrbActReqTrbAct|0|VEMS_R_11_05663_013.02
SftyMgt_rOpTrbActReqTrbAct|0|VEMS_R_11_05663_014.01
ECU_prm_bFrf|0|VEMS_R_11_05663_013.02
ECU_prm_bFrf|0|VEMS_R_11_05663_014.01
SftyMgt_bBrkPedPrss|0|VEMS_R_11_05663_014.01
SftyMgt_bBrkPedPrss|0|VEMS_R_11_05663_013.02
SftyMgt_nEng|0|VEMS_R_11_05663_014.01
SftyMgt_nEng|0|VEMS_R_11_05663_013.02
SftyMgt_pBrkAsi|0|VEMS_R_11_05663_013.02
SftyMgt_pBrkAsi|0|VEMS_R_11_05663_014.01
SftyMgt_posnThr|0|VEMS_R_11_05663_014.01
SftyMgt_posnThr|0|VEMS_R_11_05663_013.02
SftyMgt_rAccP|0|VEMS_R_11_05663_013.02
SftyMgt_rAccP|0|VEMS_R_11_05663_014.01
SftyMgt_spdVehSecu|0|VEMS_R_11_05663_014.01
SftyMgt_spdVehSecu|0|VEMS_R_11_05663_013.02
ECU_ctDftLadd|0|VEMS_R_11_05663_014.01
ECU_ctDftLadd|0|VEMS_R_11_05663_013.02
ECU_ctWrMem|0|VEMS_R_11_05663_013.02
ECU_ctWrMem|0|VEMS_R_11_05663_014.01
SftyMgt_bBrkPedPrss|0|VEMS_R_11_05663_015.02
ECU_ctDftLadd|0|VEMS_R_11_05663_015.02
