Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acq_pSpgPresDftv_SyncEng|uint16|SPGPRESACQ|0|0|0|Acq_pSpgPresDftv_SyncEng|0|0|Phys|kPa|1|0.008|0|SpgPresAcq|SpgPresAcq||Acq_pSpgPresDftv_SyncEng||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
Acq_spg_pres_measured|uint16|SPGPRESACQ|1|0|0|Acq_spg_pres_measured|0|0|Phys|kPa|1|0.008|0|SpgPresAcq|SpgPresAcq||Acq_spg_pres_measured||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
Acq_spg_pressure|uint16|SPGPRESACQ|0|0|0|Acq_spg_pressure|0|0|Phys|kPa|1|0.008|0|SpgPresAcq|SpgPresAcq||Acq_spg_pressure||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
Acq_spg_prs_uavn0|uint16|SPGPRESACQ|1|0|0|Acq_spg_prs_uavn0|0|0|Phys|kPa|1|0.008|0|SpgPresAcq|SpgPresAcq||Acq_spg_prs_uavn0||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
AirPres_pSpgDftv_nEng_T|uint16|SPGPRESACQ|1|1|9|AirPres_pSpgDftv_nEng_T|0|0|Phys|kPa|1|0.008|0|SpgPresAcq|SpgPresAcq||AirPres_pSpgDftv_nEng_T||2||Ext_nEng||F1||AirPres_pSpgPresAcq_nEng_A|PTS_DOC_6851381|1|1||||1|0|0|Table d'interpolation en régime de la pression de suralimentation en mode défaut|0|0|65535|0|524.28|0|
AirPres_pSpgPresAcq_nEng_A|uint16|SPGPRESACQ|1|1|9|AirPres_pSpgPresAcq_nEng_A|0|0|Phys|tr/min|1|1|0|SpgPresAcq|SpgPresAcq||AirPres_pSpgPresAcq_nEng_A||2||Ext_nEng||F1||AirPres_pSpgPresAcq_nEng_A|PTS_DOC_6851381|1|1||||1|0|0|Table de breakpoints 9 points du régime moteur|0|0|7499|0|7499|0|
AirPres_pSpgPresSenVolt_T|uint16|SPGPRESACQ|1|1|2|AirPres_pSpgPresSenVolt_T|0|0|Phys|kPa|1|0.008|0.008|SpgPresAcq|SpgPresAcq||AirPres_pSpgPresSenVolt_T||2||AirPres_uSpgPresSenVoltFilt||F1||AirPres_uSpgPresSenVolt_A|PTS_DOC_6851381|1|1||||1|0|0|Table de conversion de tension en pression|0|0|65534|0.008|524.28|0|
AirPres_pUsThrMes_nEng_A|uint16|SPGPRESACQ|1|1|10|AirPres_pUsThrMes_nEng_A|0|0|Phys|tr/min|1|1|0|SpgPresAcq|SpgPresAcq||AirPres_pUsThrMes_nEng_A||2||Ext_nEng||F1||AirPres_pUsThrMes_nEng_A|PTS_DOC_6851381|1|1||||1|0|0|Table de breakpoints 10 points du régime moteur|0|0|7499|0|7499|0|
AirPres_rFilGainSpgPres_nEng_T|uint8|SPGPRESACQ|1|1|10|AirPres_rFilGainSpgPres_nEng_T|0|0|Phys|%|1|1|1|SpgPresAcq|SpgPresAcq||AirPres_rFilGainSpgPres_nEng_T||2||Ext_nEng||F1||AirPres_pUsThrMes_nEng_A|PTS_DOC_6851381|1|1||||1|0|0|Table de gain de filtrage de la pression suralimentation mesurée|0|0|99|1|100|0|
AirPres_uDgoScg_pSpgPres_C|uint16|SPGPRESACQ|1|0|0|AirPres_uDgoScg_pSpgPres_C|0|0|Phys|V|1|5/4096|0|SpgPresAcq|SpgPresAcq||AirPres_uDgoScg_pSpgPres_C||2|||||||PTS_DOC_6851381|1|1||||1|0|0|Seuil de diagnostic de tension basse pour l’information Pression_suralimentation|0|0|4095|0|4.998779296875|0|
