Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ACC_PED_NOK|uint8|SRVACTESTMNG|1|0|0|ACC_PED_NOK|0|0|Phys|bool|2|0||SRV|SRV||ACC_PED_NOK||3||||||||0|1|||4|0|0|0||0|||||0|
AccP_rDrvReq|uint8|HEADER|1|0|0|AccP_rDrvReq|0|0|Phys|%|1|0.5|0|Variables systeme|Variables systeme||AccP_rDrvReq||1||||||||0|1||||1|0|0||0|0|255|0|127.5|0|
ACTION_EN_COURS|bool|SRVACTESTMNG|1|0|0|Srv_stActrTstStatus|0|2|Phys|-|4|2||SRV|SRV||ACTION_EN_COURS||1||||||||0|1||||1|0|0||0|||||0|
ACTION_TERMINEE_OK|bool|SRVACTESTMNG|1|0|0|Srv_stActrTstStatus|0|3|Phys|-|2|3||SRV|SRV||ACTION_TERMINEE_OK||3||||||||0|1|||3|0|0|0||0|||||0|
ActrTestMng_bInhCondAccPed|boolean|SRVACTESTMNG|1|0|0|ActrTestMng_bInhCondAccPed|0|0|Phys|bool|2|0||SRV|SRV||ActrTestMng_bInhCondAccPed||2|||||||PTS_DOC_5074355|1|1||||1|0|0|Calibration d'inhibition de la condition sur la pédale d'accélérateur pour les tests actionneurs VVT.|0|0|1|0|1|0|
ActrTestMng_bInhFRM|boolean|SRVACTESTMNG|1|0|0|ActrTestMng_bInhFRM|0|0|Phys|bool|2|0||NOPROD|NOPROD||ActrTestMng_bInhFRM||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstHPPmp_bActrTstCmpl|boolean|HEADER|1|0|0|ActrTstHPPmp_bActrTstCmpl|0|0|Phys|bool|2|0||Divers|Divers||ActrTstHPPmp_bActrTstCmpl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstHPPmp_bInjrFlowFail|boolean|HEADER|1|0|0|ActrTstHPPmp_bInjrFlowFail|0|0|Phys|bool|2|0||Divers|Divers||ActrTstHPPmp_bInjrFlowFail||1||||||||0|1||||1|0|0||0|0|01|0|1|0|
ActrTstHPPmp_bPrailLeak|boolean|HEADER|1|0|0|ActrTstHPPmp_bPrailLeak|0|0|Phys|bool|2|0||Divers|Divers||ActrTstHPPmp_bPrailLeak||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstHPPmp_bPrailPresIncFail|boolean|HEADER|1|0|0|ActrTstHPPmp_bPrailPresIncFail|0|0|Phys|bool|2|0||Divers|Divers||ActrTstHPPmp_bPrailPresIncFail||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ACTRTSTMNG_ACTRTST_DONE|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|3|Phys|-|2|3||SRV|SRV||ACTRTSTMNG_ACTRTST_DONE||3||||||||0|1|||3|0|0|0||0|||||0|
ACTRTSTMNG_ACTRTST_IDLE|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|1|Phys|-|4|1||SRV|SRV||ACTRTSTMNG_ACTRTST_IDLE||1||||||||0|1||||1|0|0||0|||||0|
ACTRTSTMNG_ACTRTST_IMPO|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|2|Phys|-|4|2||SRV|SRV||ACTRTSTMNG_ACTRTST_IMPO||1||||||||0|1||||1|0|0||0|||||0|
ACTRTSTMNG_ACTRTST_PB|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|5|Phys|-|2|5||SRV|SRV||ACTRTSTMNG_ACTRTST_PB||3||||||||0|1|||5|0|0|0||0|||||0|
ACTRTSTMNG_ACTRTST_PROGS|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|4|Phys|-|4|4||SRV|SRV||ACTRTSTMNG_ACTRTST_PROGS||1||||||||0|1||||1|0|0||0|||||0|
ACTRTSTMNG_ACTRTST_STOP|bool|SRVACTESTMNG|0|0|0|ActrTstMng_stActrTst|0|6|Phys|-|2|6||SRV|SRV||ACTRTSTMNG_ACTRTST_STOP||3||||||||0|1|||6|0|0|0||0|||||0|
ActrTstMng_bCoh|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bCoh|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bCoh||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftCmd|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftCmd|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bDftCmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftCTP1|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftCTP1|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bDftCTP1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftCTP2|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftCTP2|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bDftCTP2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftEE|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftEE|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bDftEE||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftInjrFlow|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftInjrFlow|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bDftInjrFlow||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDftPrailLeak|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDftPrailLeak|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bDftPrailLeak||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bDurtyVlv|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bDurtyVlv|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bDurtyVlv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bFlapBlockOp|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bFlapBlockOp|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bFlapBlockOp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bFlapFaild|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bFlapFaild|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bFlapFaild||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bFlapStayOp|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bFlapStayOp|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bFlapStayOp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bFrq|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bFrq|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bFrq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bGavScp|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bGavScp|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bGavScp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bIntmCirc|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bIntmCirc|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bIntmCirc||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bMap|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bMap|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bMap||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bOc|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bOc|0|0|Phys|bool|2|0||SRV|SRV||ActrTstMng_bOc||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstMng_bOcCTP2|boolean|SRVACTESTMNG|0|0|0|ActrTstMng_bOcCTP2|0|0|Phys|bool|2|0||SRVACTESTMNG|SRVACTESTMNG||ActrTstMng_bOcCTP2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
