Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Coupure_inj_ess_1|boolean|HEADER|1|0|0|Coupure_inj_ess_1|0|0|Phys|bool|2|0||Inj/InjCutOff|Inj/InjCutOff||Coupure_inj_ess_1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Coupure_inj_ess_2|boolean|HEADER|1|0|0|Coupure_inj_ess_2|0|0|Phys|bool|2|0||Inj/InjCutOff|Inj/InjCutOff||Coupure_inj_ess_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Coupure_inj_ess_3|boolean|HEADER|1|0|0|Coupure_inj_ess_3|0|0|Phys|bool|2|0||Inj/InjCutOff|Inj/InjCutOff||Coupure_inj_ess_3||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Eng_noCmbCyl|uint8|HEADER|1|0|0|Eng_noCmbCyl|0|0|Phys|-|1|1|0|Divers|Divers||Eng_noCmbCyl||1||||||||0|1||||1|0|0||0|1|6|1|6|0
ENG_SPEED_IN_AREA|bool|SYNCENGCLC|0|0|0|SYNCENGCLC_StAssignEngArea|0|2|Phys|bool|2|2||SYNCENGCLC|SYNCENGCLC||ENG_SPEED_IN_AREA||1||||||||0|1||||1|0|0||0|||||0
Ext_bBrkPedPrss|boolean|HEADER|1|0|0|Ext_bBrkPedPrss|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bBrkPedPrss||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_nEngClc|uint16|SYNCENGCLC|1|0|0|Ext_nEngClc|0|0|Phys|rpm|1|1|0|SYNCENGCLC|SYNCENGCLC||Ext_nEngClc||1||||||||0|1||||1|0|0||0|0|8000|0|8000|0
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0
FRM_FRM_INHENGCORLRN|uint16|HEADER|1|0|0|FRM_FRM_INHENGCORLRN|0|0|Phys|-|||||||FRM_FRM_INHENGCORLRN||3||||||||0|1|||0x01|0|0|0||0|||||0
Gear_engaged|uint8|HEADER|1|0|0|Gear_engaged|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||Gear_engaged||1||||||||0|1||||1|0|0||0|0|5|0|5|0
