Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0|Fonction de production des variables GDGAR.
GDGAR_vidGdu|A|(argin uint16 u16IdxDft,argin boolean bDgo,argin boolean bMonRun,argin boolean Ns_bMonWait);|4|HEADER|1|NONE||||0|0|0|0|Diagnostic des defauts.
Sync_EveInCmToo_InCmSts|A|();|SCH.2|SYNCINCMDIAG|1|PTS_DOC_6884534||||0|0|0|0|Evènement arbre à cames admission
Sync_EveKOn_InCmSts|A|();|SCH.3|SYNCINCMDIAG|1|PTS_DOC_6884534||||0|0|0|0|Evènement associé au passage de clef OFF à clef ON
Sync_EveRst_InCmSts|B|();|SCH.1|SYNCINCMDIAG|1|PTS_DOC_6884534||||0|0|0|0|Evènement reset du calculateur
Sync_EveRTSt_InCmSts|A|();|SCH.4|SYNCINCMDIAG|1|PTS_DOC_6884534||||0|0|0|0|Evénement correspondant au passage à 0 de la variable Moteur_tournant
SYNCINCMDIAG_vidCntFrnt|A|();|FCT1.7|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|Cette fonction autorisera l’injection seulement si on détecte un nombre suffisant et calibrable de fronts AAC.
SYNCINCMDIAG_vidDiag|B|();|FCT1.3|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|En cas de perte des conditions de diagnostic, le flag de détection de la panne élémentaire est figé à sa dernière valeur valide.
SYNCINCMDIAG_vidDiagInCmAcq|B|();|FCT1.4|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|Fonction responsable du diagnostic.
SYNCINCMDIAG_vidInCmAcqVld|B|();|FCT1.5|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|L’acquisition du signal arbre à cames admission est considérée comme valide si aucune panne élémentaire sur le profil du signal arbre à cames admission n’est détectée et si les conditions de diagnostics sont remplies.
SYNCINCMDIAG_vidInCmCntFrnt|A|();|FCT1.6|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|Cette fonction appelle la fonction qui autorisera l’injection sous une condition.
SYNCINCMDIAG_vidIniDiag|B|();|FCT1.2|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|Au réveil ECU et à chaque KEY OFF - ON, la panne élémentaire et les conditions de diagnostics sont remises à zéro.
SYNCINCMDIAG_vidInitOutput|B|();|FCT1.1|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|Fonction d'initialisation
SYNCINCMDIAG_vidStopEng|D|();|FCT1.8|SYNCINCMDIAG|0|PTS_DOC_6884534||||0|0|0|0|initialisation de la sortie Sync_bAcvInjIgDrv.
