Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Acq_angle_arret_moteur|uint16|HEADER|1|0|0|Acq_angle_arret_moteur|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_angle_arret_moteur||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_angle_arret_moteur_redem|uint16|HEADER|1|0|0|Acq_angle_arret_moteur_redem|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_angle_arret_moteur_redem||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_angle_moteur|uint16|HEADER|1|0|0|Acq_angle_moteur|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_angle_moteur||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_av_dernie_tps_int_dent_vileb|uint32|HEADER|1|0|0|Acq_av_dernie_tps_int_dent_vileb|0|0|Phys|s|1|1/10000000|0|divers|divers||Acq_av_dernie_tps_int_dent_vileb||1||||||||0|1||||1|0|0||0|0|4294967295|0|429.4967295|0
Acq_dernier_tps_inter_dent_vileb|uint32|HEADER|1|0|0|Acq_dernier_tps_inter_dent_vileb|0|0|Phys|s|1|1/10000000|0|divers|divers||Acq_dernier_tps_inter_dent_vileb||1||||||||0|1||||1|0|0||0|0|4294967295|0|429.4967295|0
Acq_pos_ang_lors_synchro|uint16|HEADER|1|0|0|Acq_pos_ang_lors_synchro|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_pos_ang_lors_synchro||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_moteur_front_aac_adm|uint16|HEADER|1|0|0|Acq_pos_ang_moteur_front_aac_adm|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_pos_ang_moteur_front_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_moteur_front_aac_ech|uint16|HEADER|1|0|0|Acq_pos_ang_moteur_front_aac_ech|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_pos_ang_moteur_front_aac_ech||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_red_mot_frnt_aac_ech|uint16|HEADER|1|0|0|Acq_pos_ang_red_mot_frnt_aac_ech|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_pos_ang_red_mot_frnt_aac_ech||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_red_mot_frt_aac_adm|uint16|HEADER|1|0|0|Acq_pos_ang_red_mot_frt_aac_adm|0|0|Phys|°Vil|1|1/64|0|divers|divers||Acq_pos_ang_red_mot_frt_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
