Name|Type|Requirement
AppliKey|0|VEMS_R_11_02626_002.01
Srv_stTeleEcuStatus|0|VEMS_R_11_02626_002.01
AppliKey|0|VEMS_R_11_02626_001.02
Srv_stTeleEcuStatus|0|VEMS_R_11_02626_001.02
Srv_TeleIndice_C|0|VEMS_R_11_02626_001.02
Srv_TeleIndice_C|0|VEMS_R_11_02626_002.01
Srv_tiDelayTele_C|0|VEMS_R_11_02626_002.01
Tele_available_add_heat|0|VEMS_R_11_02626_002.01
Tele_available_alternator|0|VEMS_R_11_02626_002.01
Tele_available_car|0|VEMS_R_11_02626_002.01
Tele_available_fric|0|VEMS_R_11_02626_002.01
Tele_available_gear_box|0|VEMS_R_11_02626_002.01
Tele_available_press_clim|0|VEMS_R_11_02626_002.01
Tele_available_uc|0|VEMS_R_11_02626_002.01
Tele_program_add_heat_init_C|0|VEMS_R_11_02626_002.01
Tele_program_alternator_init_C|0|VEMS_R_11_02626_002.01
Tele_program_car_init_C|0|VEMS_R_11_02626_002.01
Tele_program_fric_init_C|0|VEMS_R_11_02626_002.01
Tele_program_gear_box_init_C|0|VEMS_R_11_02626_002.01
Srv_tiDelayTele_C|0|VEMS_R_11_02626_001.02
Tele_available_add_heat|0|VEMS_R_11_02626_001.02
Tele_available_alternator|0|VEMS_R_11_02626_001.02
Tele_available_car|0|VEMS_R_11_02626_001.02
Tele_available_fric|0|VEMS_R_11_02626_001.02
Tele_available_gear_box|0|VEMS_R_11_02626_001.02
Tele_available_press_clim|0|VEMS_R_11_02626_001.02
Tele_available_uc|0|VEMS_R_11_02626_001.02
Tele_program_add_heat_init_C|0|VEMS_R_11_02626_001.02
Tele_program_alternator_init_C|0|VEMS_R_11_02626_001.02
Tele_program_car_init_C|0|VEMS_R_11_02626_001.02
Tele_program_fric_init_C|0|VEMS_R_11_02626_001.02
Srv_EveRst_TeleSrv|1|VEMS_R_11_02626_001.02
Srv_EveRst_TeleSrv|1|VEMS_R_11_02626_002.01
Srv_EveSa_TeleSrv|1|VEMS_R_11_02626_001.02
Tele_program_gear_box_init_C|0|VEMS_R_11_02626_001.02
Tele_program_press_clim_init_C|0|VEMS_R_11_02626_002.01
Tele_program_uc_init_C|0|VEMS_R_11_02626_002.01
Tele_program_press_clim_init_C|0|VEMS_R_11_02626_001.02
Tele_program_uc_init_C|0|VEMS_R_11_02626_001.02
Srv_EveSa_TeleSrv|1|VEMS_R_11_02626_002.01
Srv_EveTele_TeleSrv|1|VEMS_R_11_02626_001.02
Srv_EveTele_TeleSrv|1|VEMS_R_11_02626_002.01
Srv_SdlFast_TeleSrv|1|VEMS_R_11_02626_001.02
Srv_SdlFast_TeleSrv|1|VEMS_R_11_02626_002.01
TELECODAGE_NVMSRV_vidInit|1|VEMS_R_11_02626_003.03
TELECODAGE_vidDataVerification|1|VEMS_R_11_02626_005.01
TELECODAGE_vidDataVerification|1|VEMS_R_11_02626_006.01
TELECODAGE_vidDataVerification|1|VEMS_R_11_02626_007.01
TELECODAGE_vidInitDftBeforeTel|1|VEMS_R_11_02626_003.03
TELECODAGE_vidVarCodDftMng|1|VEMS_R_11_02626_004.01
TELECODAGE_vidVarCodMng|1|VEMS_R_11_02626_008.01
TELECODAGE_vidVarCodMng|1|VEMS_R_11_02626_009.01
TELECODAGE_vidVarCodMng|1|VEMS_R_11_02626_010.01
TELECODAGE_vidVarCodMng|1|VEMS_R_11_02626_011.01
TELECODAGE_vidWrite|1|VEMS_R_11_02626_013.01
TELECODAGE_vidWrite|1|VEMS_R_11_02626_014.03
