Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ActrDynTstThr_TstTime|uint16|THRACTEST|0|0|0|ActrDynTstThr_TstTime|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrDynTstThr_TstTime||1||||||||0|1||||1|0|0||0|0|30000|0|300|0|
ActrGapTstThr_TstTime|uint16|THRACTEST|0|0|0|ActrGapTstThr_TstTime|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrGapTstThr_TstTime||1||||||||0|1||||1|0|0||0|0|30000|0|300|0|
ActrTstThr_ChgtSp|uint8|THRACTEST|0|0|0|ActrTstThr_ChgtSp|0|0|Phys|-|1|1|0|Thr|Thr||ActrTstThr_ChgtSp||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
ActrTstThr_DynTstDwnTime|uint16|THRACTEST|1|0|0|ActrTstThr_DynTstDwnTime|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_DynTstDwnTime||2|||||||V02 NT 09 00783|1|1||||1|0|0|Seuil de temps nécessaire au boîtier papillon motorisé pour rejoindre sa consigne en échelon descendant|0|0|30000|0|300|0|
ActrTstThr_DynTstMaxDiffPosn|uint8|THRACTEST|1|0|0|ActrTstThr_DynTstMaxDiffPosn|0|0|Phys|%|1|100/256|0|Thr|Thr||ActrTstThr_DynTstMaxDiffPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Seuil à partir duquel on considère que la position a atteint la consigne|0|0|255|0|99.609375|0|
ActrTstThr_DynTstUpTime|uint16|THRACTEST|1|0|0|ActrTstThr_DynTstUpTime|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_DynTstUpTime||2|||||||V02 NT 09 00783|1|1||||1|0|0|Seuil de temps nécessaire au boîtier papillon motorisé pour rejoindre sa consigne en échelon montant|0|0|30000|0|300|0|
ActrTstThr_GapDetn|boolean|THRACTEST|0|0|0|ActrTstThr_GapDetn|0|0|Phys|bool|2|0||Thr|Thr||ActrTstThr_GapDetn||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstThr_GapTstMaxDiffPosn|uint8|THRACTEST|1|0|0|ActrTstThr_GapTstMaxDiffPosn|0|0|Phys|%|1|100/256|0|Thr|Thr||ActrTstThr_GapTstMaxDiffPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Ecart maximum admissible entre le position du boîter papillon motorisé et sa consigne|0|0|255|0|99.609375|0|
ActrTstThr_GapTstMinDiffPosn|uint8|THRACTEST|1|0|0|ActrTstThr_GapTstMinDiffPosn|0|0|Phys|%|1|-100/256|-100/256|Thr|Thr||ActrTstThr_GapTstMinDiffPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Ecart minimum admissible entre le position du boîter papillon motorisé et sa consigne|0|0|255|-100|-0.390625|0|
ActrTstThr_GapTstTime|uint16|THRACTEST|1|0|0|ActrTstThr_GapTstTime|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_GapTstTime||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps permettant de détecter un écart de boucle|0|0|30000|0|300|0|
ActrTstThr_HighPosn|uint8|THRACTEST|1|0|0|ActrTstThr_HighPosn|0|0|Phys|%|1|100/256|0|Thr|Thr||ActrTstThr_HighPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Consigne de position haute du test actionneur papillon|0|0|255|0|99.609375|0|
ActrTstThr_IntGapTstRes|boolean|THRACTEST|0|0|0|ActrTstThr_IntGapTstRes|0|0|Phys|bool|2|0||Thr|Thr||ActrTstThr_IntGapTstRes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ActrTstThr_LowPosn|uint8|THRACTEST|1|0|0|ActrTstThr_LowPosn|0|0|Phys|%|1|100/256|0|Thr|Thr||ActrTstThr_LowPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Consigne de position basse du test actionneur papillon|0|0|255|0|99.609375|0|
ActrTstThr_MidPosn|uint8|THRACTEST|1|0|0|ActrTstThr_MidPosn|0|0|Phys|%|1|100/256|0|Thr|Thr||ActrTstThr_MidPosn||2|||||||V02 NT 09 00783|1|1||||1|0|0|Consigne de position intermédiaire du test actionneur papillon|0|0|255|0|99.609375|0|
ActrTstThr_Phase1Time|uint16|THRACTEST|1|0|0|ActrTstThr_Phase1Time|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_Phase1Time||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps de la phase 1 du test actionneur|0|0|30000|0|300|0|
ActrTstThr_Phase2Time|uint16|THRACTEST|1|0|0|ActrTstThr_Phase2Time|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_Phase2Time||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps de la phase 2 du test actionneur|0|0|30000|0|300|0|
ActrTstThr_Phase3Time|uint16|THRACTEST|1|0|0|ActrTstThr_Phase3Time|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_Phase3Time||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps de la phase 3 du test actionneur|0|0|30000|0|300|0|
ActrTstThr_Phase4Time|uint16|THRACTEST|1|0|0|ActrTstThr_Phase4Time|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_Phase4Time||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps de la phase 4 du test actionneur|0|0|30000|0|300|0|
ActrTstThr_Phase5Time|uint16|THRACTEST|1|0|0|ActrTstThr_Phase5Time|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||ActrTstThr_Phase5Time||2|||||||V02 NT 09 00783|1|1||||1|0|0|Temps de la phase 5 du test actionneur|0|0|30000|0|300|0|
