Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Aps_1_raw_position|uint16|HEADER|1|0|0|Aps_1_raw_position|0|0|Phys|%|1|100/1024|0|Divers|Divers||Aps_1_raw_position||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
Dtc_throttle_pos_for_test_bed|uint16|THRBENCHAUT|1|0|0|Dtc_throttle_pos_for_test_bed|0|0|Phys|%|1|100/1024|0|Thr|Thr||Dtc_throttle_pos_for_test_bed||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
Dtc_throttle_test_bed_mode|boolean|THRBENCHAUT|1|0|0|Dtc_throttle_test_bed_mode|0|0|Phys|bool|2|0||Thr|Thr||Dtc_throttle_test_bed_mode||2|||||||V02 NT 08 04529|1|1||||1|0|0|Booléen permettant de sélectionner la consigne de mode banc automatique|0|0|1|0|1|0|
Etat_papmot_mode_banc|st33|THRBENCHAUT|0|0|0|Etat_papmot_mode_banc|0|0|Phys|etat|4|||Thr|Thr||Etat_papmot_mode_banc||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
PAPMOT_IDLE|bool|THRBENCHAUT|0|0|0|Etat_papmot_mode_banc|0|1|Phys|bool|2|1||Thr|Thr||PAPMOT_IDLE||1||||||||0|1||||1|0|0||0|0|1|||0|
PAPMOT_INCR_IDX|bool|THRBENCHAUT|0|0|0|Etat_papmot_mode_banc|0|2|Phys|bool|2|2||Thr|Thr||PAPMOT_INCR_IDX||1||||||||0|1||||1|0|0||0|0|1|||0|
Ssm_closed_throttle_pos|uint16|HEADER|1|0|0|Ssm_closed_throttle_pos|0|0|Phys|%|1|100/1024|0|Surete de fonctionnement (SDF)|Surete de fonctionnement (SDF)||Ssm_closed_throttle_pos||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
Ssm_limp_home_throttle_pos|uint16|HEADER|1|0|0|Ssm_limp_home_throttle_pos|0|0|Phys|%|1|100/1024|0|Surete de fonctionnement (SDF)|Surete de fonctionnement (SDF)||Ssm_limp_home_throttle_pos||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
Ssm_open_throttle_pos|uint16|HEADER|1|0|0|Ssm_open_throttle_pos|0|0|Phys|%|1|100/1024|0|Surete de fonctionnement (SDF)|Surete de fonctionnement (SDF)||Ssm_open_throttle_pos||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
TEST_BED_SAMP_PERIOD|uint16|THRBENCHAUT|1|0|0|TEST_BED_SAMP_PERIOD|0|0|Phys|s|1|Thr_SampleTiMid_SC/1000|0|Thr|Thr||TEST_BED_SAMP_PERIOD||2|||||||V02 NT 08 04529|1|1|||8|1|0|0|Période de calcul de la consigne|0|0|52428|0|524.28|0|
Thr_SampleTiMid_SC|uint8|HEADER|1|0|0|Thr_SampleTiMid_SC|0|0|Phys|-|||||||Thr_SampleTiMid_SC||3||||||||0|1|||10|0|0|0||0|||||0|
THRBENCHAUT_bTpacOpenLpCtrlPrev|boolean|THRBENCHAUT|0|0|0|THRBENCHAUT_bTpacOpenLpCtrlPrev|0|0|Phys|bool|2|0||Thr|Thr||THRBENCHAUT_bTpacOpenLpCtrlPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
THRBENCHAUT_u16DtcThrPosTestBed1|uint16|THRBENCHAUT|0|0|0|THRBENCHAUT_u16DtcThrPosTestBed1|0|0|Phys|%|1|100/1024|0|Thr|Thr||THRBENCHAUT_u16DtcThrPosTestBed1||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
THRBENCHAUT_u16DtcThrPosTestBed2|uint16|THRBENCHAUT|0|0|0|THRBENCHAUT_u16DtcThrPosTestBed2|0|0|Phys|%|1|100/1024|0|Thr|Thr||THRBENCHAUT_u16DtcThrPosTestBed2||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
THRBENCHAUT_u16DtcThrPosTestBed3|uint16|THRBENCHAUT|0|0|0|THRBENCHAUT_u16DtcThrPosTestBed3|0|0|Phys|%|1|100/1024|0|Thr|Thr||THRBENCHAUT_u16DtcThrPosTestBed3||1||||||||0|1||||1|0|0||0|0|1024|0|100|0|
THRBENCHAUT_u8Inhib|uint8|THRBENCHAUT|0|0|0|THRBENCHAUT_u8Inhib|0|0|Hexa|-||||Thr|Thr||THRBENCHAUT_u8Inhib||2|||||||V02 NT 08 04529|1|1||||1|0|0|Calibration d'inhibition du module|0|0|255|0|255|0|
Tpac_compute_ref_enab|boolean|THRBENCHAUT|0|0|0|Tpac_compute_ref_enab|0|0|Phys|bool|2|0||Thr|Thr||Tpac_compute_ref_enab||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
