Name|Type|Requirement
Tpac_thr_pwm_typ_select|0|VEMS_E_08_06318_001.01
Tpac_thr_pwm_typ_select|0|VEMS_E_08_06318_002.01
Tpac_thr_pwm_typ_select|0|VEMS_E_08_06318_003.01
ThrCmd_bForcFreeWheeling_C|0|VEMS_E_08_06318_001.01
ThrCmd_bForcFreeWheeling_C|0|VEMS_E_08_06318_002.01
ThrCmd_bForcFreeWheeling_C|0|VEMS_E_08_06318_003.01
Tpac_thr_servoing_typ_select|0|VEMS_E_08_06318_001.01
Tpac_thr_servoing_typ_select|0|VEMS_E_08_06318_002.01
Tpac_thr_servoing_typ_select|0|VEMS_E_08_06318_003.01
Tpc_free_wheeling_delay|0|VEMS_E_08_06318_001.01
Tpc_free_wheeling_delay|0|VEMS_E_08_06318_002.01
Tpc_free_wheeling_delay|0|VEMS_E_08_06318_003.01
Thr_EveClcnServo_ThrCmd|1|VEMS_E_08_06318_001.01
Thr_EveClcnServo_ThrCmd|1|VEMS_E_08_06318_002.01
Thr_EveClcnServo_ThrCmd|1|VEMS_E_08_06318_003.01
Thr_EveRst_ThrCmd|1|VEMS_E_08_06318_001.01
Thr_EveRst_ThrCmd|1|VEMS_E_08_06318_002.01
Thr_EveRst_ThrCmd|1|VEMS_E_08_06318_003.01
Thr_SdlMid_ThrCmd|1|VEMS_E_08_06318_001.01
Thr_SdlMid_ThrCmd|1|VEMS_E_08_06318_002.01
Thr_SdlMid_ThrCmd|1|VEMS_E_08_06318_003.01
