Name|Type|Requirement
Thr_bFClnInProgs|1|VEMS_E_08_04528_001.01
Thr_bFClnInProgs|1|VEMS_E_08_04528_002.01
Thr_bFClnInProgs|1|VEMS_E_08_04528_003.01
Thr_bFClnInProgs|1|VEMS_E_08_04528_004.01
Thr_bRstStopsLrnReq|1|VEMS_E_08_04528_001.01
Thr_bRstStopsLrnReq|1|VEMS_E_08_04528_002.01
Thr_bRstStopsLrnReq|1|VEMS_E_08_04528_003.01
Thr_bRstStopsLrnReq|1|VEMS_E_08_04528_004.01
Thr_bStopsLrnInProgs|1|VEMS_E_08_04528_001.01
Thr_bStopsLrnInProgs|1|VEMS_E_08_04528_002.01
Thr_bStopsLrnInProgs|1|VEMS_E_08_04528_003.01
Thr_bStopsLrnInProgs|1|VEMS_E_08_04528_004.01
Tpac_FCln_enable|1|VEMS_E_08_04528_001.01
Tpac_FCln_enable|1|VEMS_E_08_04528_002.01
Tpac_FCln_enable|1|VEMS_E_08_04528_003.01
Tpac_FCln_enable|1|VEMS_E_08_04528_004.01
Tpac_throttle_control_state|1|VEMS_E_08_04528_001.01
Tpac_throttle_control_state|1|VEMS_E_08_04528_002.01
Tpac_throttle_control_state|1|VEMS_E_08_04528_003.01
Tpac_throttle_control_state|1|VEMS_E_08_04528_004.01
Tpac_thrusts_enable|1|VEMS_E_08_04528_001.01
Tpac_thrusts_enable|1|VEMS_E_08_04528_002.01
Tpac_thrusts_enable|1|VEMS_E_08_04528_003.01
Tpac_thrusts_enable|1|VEMS_E_08_04528_004.01
Thr_bInhMngThrServo|1|VEMS_E_08_04528_001.01
Thr_bInhMngThrServo|1|VEMS_E_08_04528_002.01
Thr_bInhMngThrServo|1|VEMS_E_08_04528_003.01
Thr_bInhMngThrServo|1|VEMS_E_08_04528_004.01
Cal_pres_chk|1|VEMS_E_08_04528_001.01
Cal_pres_chk|1|VEMS_E_08_04528_002.01
Cal_pres_chk|1|VEMS_E_08_04528_003.01
Cal_pres_chk|1|VEMS_E_08_04528_004.01
Thr_bAcvPtlWku_C|1|VEMS_E_08_04528_001.01
Thr_bAcvPtlWku_C|1|VEMS_E_08_04528_002.01
Thr_bAcvPtlWku_C|1|VEMS_E_08_04528_003.01
Thr_bAcvPtlWku_C|1|VEMS_E_08_04528_004.01
Thr_bAcvThrLrnKeyOn_drf_C|1|VEMS_E_08_04528_001.01
Thr_bAcvThrLrnKeyOn_drf_C|1|VEMS_E_08_04528_002.01
Thr_bAcvThrLrnKeyOn_drf_C|1|VEMS_E_08_04528_003.01
Thr_bAcvThrLrnKeyOn_drf_C|1|VEMS_E_08_04528_004.01
Thr_bInhCdnAcvCll_C|1|VEMS_E_08_04528_001.01
Thr_bInhCdnAcvCll_C|1|VEMS_E_08_04528_002.01
Thr_bInhCdnAcvCll_C|1|VEMS_E_08_04528_003.01
Thr_bInhCdnAcvCll_C|1|VEMS_E_08_04528_004.01
Thr_bInhFClnHiStop_C|1|VEMS_E_08_04528_001.01
Thr_bInhFClnHiStop_C|1|VEMS_E_08_04528_002.01
Thr_bInhFClnHiStop_C|1|VEMS_E_08_04528_003.01
Thr_bInhFClnHiStop_C|1|VEMS_E_08_04528_004.01
Thr_bInhStopLrnKeyOff|1|VEMS_E_08_04528_001.01
Thr_bInhStopLrnKeyOff|1|VEMS_E_08_04528_002.01
Thr_bInhStopLrnKeyOff|1|VEMS_E_08_04528_003.01
Thr_bInhStopLrnKeyOff|1|VEMS_E_08_04528_004.01
Thr_bInhThrCln_C|1|VEMS_E_08_04528_001.01
Thr_bInhThrCln_C|1|VEMS_E_08_04528_002.01
Thr_bInhThrCln_C|1|VEMS_E_08_04528_003.01
Thr_bInhThrCln_C|1|VEMS_E_08_04528_004.01
Thr_dlyKeyOn_C|1|VEMS_E_08_04528_001.01
Thr_dlyKeyOn_C|1|VEMS_E_08_04528_002.01
Thr_dlyKeyOn_C|1|VEMS_E_08_04528_003.01
Thr_dlyKeyOn_C|1|VEMS_E_08_04528_004.01
Thr_nMaxAuthStopLrn_C|1|VEMS_E_08_04528_001.01
Thr_nMaxAuthStopLrn_C|1|VEMS_E_08_04528_002.01
Thr_nMaxAuthStopLrn_C|1|VEMS_E_08_04528_003.01
Thr_nMaxAuthStopLrn_C|1|VEMS_E_08_04528_004.01
Thr_tAirMaxAuthStopLrn_C|1|VEMS_E_08_04528_001.01
Thr_tAirMaxAuthStopLrn_C|1|VEMS_E_08_04528_002.01
Thr_tAirMaxAuthStopLrn_C|1|VEMS_E_08_04528_003.01
Thr_tAirMaxAuthStopLrn_C|1|VEMS_E_08_04528_004.01
Thr_tAirMinAuthStopLrn_C|1|VEMS_E_08_04528_001.01
Thr_tAirMinAuthStopLrn_C|1|VEMS_E_08_04528_002.01
Thr_tAirMinAuthStopLrn_C|1|VEMS_E_08_04528_003.01
Thr_tAirMinAuthStopLrn_C|1|VEMS_E_08_04528_004.01
Thr_tiStrtMinStopsCln_C|1|VEMS_E_08_04528_001.01
Thr_tiStrtMinStopsCln_C|1|VEMS_E_08_04528_002.01
Thr_tiStrtMinStopsCln_C|1|VEMS_E_08_04528_003.01
Thr_tiStrtMinStopsCln_C|1|VEMS_E_08_04528_004.01
Thr_uBattMaxStopsCln_C|1|VEMS_E_08_04528_001.01
Thr_uBattMaxStopsCln_C|1|VEMS_E_08_04528_002.01
Thr_uBattMaxStopsCln_C|1|VEMS_E_08_04528_003.01
Thr_uBattMaxStopsCln_C|1|VEMS_E_08_04528_004.01
Thr_uBattMaxStopsLrn_C|1|VEMS_E_08_04528_001.01
Thr_uBattMaxStopsLrn_C|1|VEMS_E_08_04528_002.01
Thr_uBattMaxStopsLrn_C|1|VEMS_E_08_04528_003.01
