Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|2|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0||
Thr_EveRst_ThrPosnSpSpc|B|();|SCH.1|THRPOSNSPLRN|1|V02 NT 11 00303||||0|0|0|0|Evènement reset|
Thr_SdlMid_ThrPosnSpSpc|B|();|SCH.2|THRPOSNSPLRN|1|V02 NT 11 00303||||0|0|0|0|Evènement de moniteur moyen de la fonction|
THRPOSNSPLRN_vidAutomate|D|();|FCT2.1|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction de management.|
THRPOSNSPLRN_vidCalibration|A|();|FCT2.8|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet de différencier les calibrations de la fonction nettoyage de celle utilisées par la fonction d’apprentissage.|
THRPOSNSPLRN_vidCmptTemps|A|();|FCT1.6|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Au-delà d’un durée maximale autorisée, la fonction de restauration de la mobilité du papillon est arrêtée par l’envoi d’un flag au gestionnaire de l’asservissement papillon.|
THRPOSNSPLRN_vidCntrndRstrMbilit|A|();|FCT1.9|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Des contraintes d’amplitude et de dynamique (pentes) sont appliquées au signal de consigne brute de commande du papillon pour la restauration de sa mobilité.|
THRPOSNSPLRN_vidDurExitLowThrust|C|();|FCT2.6|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction gérant les actions pendant l'état Exit Low Trust.|
THRPOSNSPLRN_vidDuringHighThrust|C|();|FCT2.2|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction gérant les actions durant l'état High_Thrust_Search.|
THRPOSNSPLRN_vidDuringLimpHome|C|();|FCT2.5|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|fonction gérant les actions pendant l'état Limp Home.|
THRPOSNSPLRN_vidDuringLowThrust|C|();|FCT2.3|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction gérant les actions durant l'état Low Thrust Search.|
THRPOSNSPLRN_vidDuringMcwInhTest|B|();|FCT2.4|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction gérant les actions durant l'état McwInhibitTest|
THRPOSNSPLRN_vidFinalSpcSp|A|();|FCT2.10|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Une consigne spécifique correspondant à l’une des fonctions (apprentissage, nettoyage ou restauration de la mobilité) est calculée.|
THRPOSNSPLRN_vidInit|D|();|FCT1.1|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction initialisant les paramètres du module.|
THRPOSNSPLRN_vidMobiltRestorat|A|();|FCT1.2|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet de restaurer la mobilité du papillon lors du réveil partiel du CMM.|
THRPOSNSPLRN_vidRawSpRstrMoblit|A|();|FCT1.8|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet de définir la forme brute du signal de consigne de commande du papillon pour la restauration de sa mobilité.|
THRPOSNSPLRN_vidResMblitFuncEnb|A|();|FCT1.3|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet d’activer la fonction de la restauration de la mobilité du papillon si toutes les conditions nécessaires sont réunies.|
THRPOSNSPLRN_vidRstrMblitSetPnt|A|();|FCT1.5|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet de calibrer le profil du signal de commande du papillon permettant la restauration de sa mobilité.|
THRPOSNSPLRN_vidRstRstrMblitSetP|A|();|FCT1.4|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Lorsque la fonction de restauration de la mobilité du papillon est inactive, Thr_bMblRstorInProgs prend la valeur 0 et la consigne de position correspond à un retour au limp-home.|
THRPOSNSPLRN_vidSglPapilBrisGlac|A|();|FCT1.7|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Cette fonction permet de calibrer le profil du signal de commande du papillon permettant la restauration de sa mobilité.|
THRPOSNSPLRN_vidSlewRate|D|();|FCT2.9|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|La consigne de position papillon pour l’apprentissage des butées (ou pour le nettoyage du BPM) est appliquée dès que Thr_FLrnClCtl_bAcv passe à 1.|
THRPOSNSPLRN_vidTransFromCenter|E|();|FCT2.7|THRPOSNSPLRN|0|V02 NT 11 00303||||0|0|0|0|Fonction gérant les transitions.|
