Name|Type|Requirement
TIENGSTOP_vidEmfDateSinceCrank|1|VEMS_R_09_05458_007.01
Time_since_stall_bkpt_map|0|VEMS_E_12_01073_016.01
Time_since_stall_bkpt_map|0|VEMS_E_12_01073_017.01
EOM_tiEngStop|0|VEMS_E_12_01073_015.01
EOM_tiEngStop|0|VEMS_E_12_01073_016.01
EOM_tiEngStop|0|VEMS_E_12_01073_017.01
EOM_tiEngStopDft|0|VEMS_E_12_01073_015.01
EOM_tiEngStopDft|0|VEMS_E_12_01073_016.01
EOM_tiEngStopDft|0|VEMS_E_12_01073_017.01
EOM_tiEngStopRst|0|VEMS_E_12_01073_015.01
EOM_tiEngStopRst|0|VEMS_E_12_01073_016.01
EOM_tiEngStopRst|0|VEMS_E_12_01073_017.01
Time_since_stall|0|VEMS_E_12_01073_015.01
Time_since_stall|0|VEMS_E_12_01073_016.01
Time_since_stall|0|VEMS_E_12_01073_017.01
EngSt_bAcvChgMind_C|0|VEMS_E_12_01073_015.01
EngSt_bAcvChgMind_C|0|VEMS_E_12_01073_016.01
EngSt_bAcvChgMind_C|0|VEMS_E_12_01073_017.01
EngSt_ctCohRx552Thd_C|0|VEMS_E_12_01073_015.01
EngSt_ctCohRx552Thd_C|0|VEMS_E_12_01073_016.01
EngSt_ctCohRx552Thd_C|0|VEMS_E_12_01073_017.01
EngSt_nThdHiChgMind_C|0|VEMS_E_12_01073_015.01
EngSt_nThdHiChgMind_C|0|VEMS_E_12_01073_016.01
EngSt_EvePwrl_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_EvePwrl_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_EvePwrl_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_EveRst_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_EveRst_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_EveRst_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_EveRTSt_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_EveRTSt_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_EveRTSt_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_EveRxn552_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_EveRxn552_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_EveRxn552_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_EveRxn552bis_TiEngStop|1|VEMS_E_12_01073_015.01
Time_since_stall_bkpt_map|0|VEMS_E_12_01073_015.01
EngSt_nThdHiChgMind_C|0|VEMS_E_12_01073_017.01
EngSt_tAir_AX|0|VEMS_E_12_01073_015.01
EngSt_tAir_AX|0|VEMS_E_12_01073_016.01
EngSt_tAir_AX|0|VEMS_E_12_01073_017.01
EngSt_tCoMes_AY|0|VEMS_E_12_01073_015.01
EngSt_tCoMes_AY|0|VEMS_E_12_01073_016.01
EngSt_tCoMes_AY|0|VEMS_E_12_01073_017.01
EngSt_tDeltaThd_C|0|VEMS_E_12_01073_015.01
EngSt_tDeltaThd_C|0|VEMS_E_12_01073_016.01
EngSt_tDeltaThd_C|0|VEMS_E_12_01073_017.01
EngSt_tiEngStopDft_M|0|VEMS_E_12_01073_015.01
EngSt_tiEngStopDft_M|0|VEMS_E_12_01073_016.01
EngSt_tiEngStopDft_M|0|VEMS_E_12_01073_017.01
EngSt_EveRxn552bis_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_EveRxn552bis_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_SdlFast_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_SdlFast_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_SdlFast_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_SdlMid_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_SdlMid_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_SdlMid_TiEngStop|1|VEMS_E_12_01073_017.01
EngSt_SdlSlow_TiEngStop|1|VEMS_E_12_01073_015.01
EngSt_SdlSlow_TiEngStop|1|VEMS_E_12_01073_016.01
EngSt_SdlSlow_TiEngStop|1|VEMS_E_12_01073_017.01
TIENGSTOP_vidChangeOfMind|1|VEMS_R_12_01073_003.01
TIENGSTOP_vidDegradedPeriodEstim|1|VEMS_R_12_01073_011.02
TIENGSTOP_vidDegradedPeriodEstim|1|VEMS_R_12_01073_012.01
TIENGSTOP_vidEmfActiveDate|1|VEMS_R_12_01073_008.01
TIENGSTOP_vidEmfDate|1|VEMS_R_12_01073_004.01
TIENGSTOP_vidEmfDateCalc|1|VEMS_R_12_01073_005.01
TIENGSTOP_vidEmfDateCoh|1|VEMS_R_12_01073_010.01
TIENGSTOP_vidEmfDateSinceStall|1|VEMS_R_12_01073_007.01
TIENGSTOP_vidEmfSaveLastAlarmClk|1|VEMS_R_12_01073_002.01
TIENGSTOP_vidEmfSaveLastStopDate|1|VEMS_R_12_01073_014.01
EngSt_bAcvChangeOfMind|0|VEMS_E_12_01073_015.01
EngSt_bAcvChangeOfMind|0|VEMS_E_12_01073_016.01
EngSt_bAcvChangeOfMind|0|VEMS_E_12_01073_017.01
EngSt_bAcvTairCANModDftSel_C|0|VEMS_E_12_01073_015.01
EngSt_bAcvTairCANModDftSel_C|0|VEMS_E_12_01073_016.01
EngSt_bAcvTairCANModDftSel_C|0|VEMS_E_12_01073_017.01
TIENGSTOP_vidEmfValidCrankDate|1|VEMS_R_12_01073_009.01
TIENGSTOP_vidInitialisation|1|VEMS_R_12_01073_001.01
TIENGSTOP_vidInitTimeSinceStall|1|VEMS_R_12_01073_006.01
TIENGSTOP_vidRazTimeSinceStall|1|VEMS_R_12_01073_013.01
Can_EveRxn5B2_TiEngStop|1|VEMS_E_12_01073_015.01
Can_EveRxn5B2_TiEngStop|1|VEMS_E_12_01073_016.01
Can_EveRxn5B2_TiEngStop|1|VEMS_E_12_01073_017.01
Can_EveRxn7F2_TiEngStop|1|VEMS_E_12_01073_015.01
Can_EveRxn7F2_TiEngStop|1|VEMS_E_12_01073_016.01
Can_EveRxn7F2_TiEngStop|1|VEMS_E_12_01073_017.01
