Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|fonction de production des variables FRM.|
TqSys_EveBDC_TqSysVld|B|();|SCH.3|TQSYSVLD|1|V02 NT 09 04105||||0|0|0|0|Interruption PMB|
TqSys_EveRst_TqSysVld|B|();|SCH.1|TQSYSVLD|1|V02 NT 09 04105||||0|0|0|0|Evénement reset du calculateur|
TqSys_SdlFast_TqSysVld|B|();|SCH.2|TQSYSVLD|1|V02 NT 09 04105||||0|0|0|0|Moniteur rapide pour la fonction TqSys|
TQSYSVLD_vidDiagMisfire|B|();|FCT1.2|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|A partir de l'information " taux de ratés de combustion" produite par le diagnostic Misfire(200tr), cette fonction produit et consomme en interne les informations suivantes: Diag_misfire_bas_EM, Diag_misfire_haut_EM, Diag_misfire_bas et Diag_misfire_haut.|
TQSYSVLD_vidInit|B|();|FCT1.1|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction d'initialisation des variables produites par la Spec.|
TQSYSVLD_vidNoWght|B|();|FCT1.3|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Dans ce module on définie un système de poids qui quantifie l’effet plus ou moins important de chaque paramètre sur la précision des couples reconstruits.|
TQSYSVLD_vidNoWght1|B|();|FCT2.1|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction qui consomme les Flux suivants issus du GAR : Information couple incertain et couple invalide, Information couple Easy Move incertain et couple Easy Move invalide et Réalisation consignes ESP impossible et consignes ESP imprécise|
TQSYSVLD_vidNoWght2|B|();|FCT2.2|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Cette fonction consomme les flux issus de l'inter système qui sont des défaillances portant sur les informations suivantes : vitesse véhicule, position pédale d'embrayage, puissance consommée par le compresseur de climatisation et charge alternateur.|
TQSYSVLD_vidNoWght3|B|();|FCT2.3|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Cette fonction permet la consommation des lignes de défaut actionneurs suivants : Commande BPM et Commande " déphaseurs arbre à cames " admission et échappement.|
TQSYSVLD_vidNoWght4|B|();|FCT2.4|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction qui permet la consommation des lignes de défaut capteurs.|
TQSYSVLD_vidNoWght5|C|();|FCT2.5|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction qui permet la consommation des informations liées à la gestion carburant|
TQSYSVLD_vidStDiagESPReq|B|();|FCT1.6|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction de calcul de l'Etat réalisation de la consigne ASR/MSR :0 = fonctionnement normal, 1 = Moteur géré en boucle ouverte, 2 = fonctionnement dégradé et 3 = aucune action possible.|
TQSYSVLD_vidTqCkEngReal|B|();|FCT1.4|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction de calcul de l'Information couple incertain et Information couple invalide.|
TQSYSVLD_vidTqEM|B|();|FCT1.5|TQSYSVLD|0|V02 NT 09 04105||||0|0|0|0|Fonction de calcul de l'Information couple Easy Move invalide et l'Information couple Easy Move incertain.|
