Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Abs_mux|boolean|TUNCFG|1|0|0|Abs_mux|0|0|Phys|bool|2|0||Cf|Cf||Abs_mux||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ALT_CLASS_LIN_12|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_12|0|0|Phys|-|||||||ALT_CLASS_LIN_12||3||||||||0|1|||4|0|0|0||0|||||0|
ALT_CLASS_LIN_15|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_15|0|0|Phys|-|||||||ALT_CLASS_LIN_15||3||||||||0|1|||6|0|0|0||0|||||0|
ALT_CLASS_LIN_18|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_18|0|0|Phys|-|||||||ALT_CLASS_LIN_18||3||||||||0|1|||5|0|0|0||0|||||0|
ALT_CLASS_LIN_22|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_22|0|0|Phys|-|||||||ALT_CLASS_LIN_22||3||||||||0|1|||7|0|0|0||0|||||0|
ALT_CLASS_LIN_7|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_7|0|0|Phys|-|||||||ALT_CLASS_LIN_7||3||||||||0|1|||0|0|0|0||0|||||0|
ALT_CLASS_LIN_8p|uint8|TUNCFG|1|0|0|ALT_CLASS_LIN_8p|0|0|Phys|-|||||||ALT_CLASS_LIN_8p||3||||||||0|1|||1|0|0|0||0|||||0|
ALT_CLASSE_12|uint16|TUNCFG|1|0|0|ALT_CLASSE_12|0|0||-||||Cf|Cf||ALT_CLASSE_12||3||||||||0|1|||0xFFDF|0|0|0||0|||||0|
ALT_CLASSE_15|uint16|TUNCFG|1|0|0|ALT_CLASSE_15|0|0||-||||Cf|Cf||ALT_CLASSE_15||3||||||||0|1|||0xFFBF|0|0|0||0|||||0|
ALT_CLASSE_8p|uint16|TUNCFG|1|0|0|ALT_CLASSE_8p|0|0|Phys|-|||||||ALT_CLASSE_8p||3||||||||0|1|||0xFFF7|0|0|0||0|||||0|
ALTERNATEUR_12|uint8|TUNCFG|1|0|0|Ext_stAltClasVarCf|0|4|Phys|bool|4|4||Cf|Cf||ALTERNATEUR_12||3||||||||0|1|||4|0|0|0||0|0|1|||0|
ALTERNATEUR_15|uint8|TUNCFG|1|0|0|Ext_stAltClasVarCf|0|5|Phys|bool|4|5||Cf|Cf||ALTERNATEUR_15||3||||||||0|1|||5|0|0|0||0|0|1|||0|
