Name|Type|Requirement
VEHMNG_vidCanCmmSpeedManagement|1|VEMS_R_07_08035_075.01
VEHMNG_vidCanCmmSpeedManagement|1|VEMS_R_07_08035_077.01
Acceleration_vehicule|0|VEMS_R_08_05610_001.01
Distance_parcourue|0|VEMS_R_08_05610_001.01
Distance_parcourue_hecto_prev|0|VEMS_R_08_05610_001.01
Distance_parcourue_hectometre|0|VEMS_R_08_05610_001.01
Emetteur_vitesse_vehicule_state|0|VEMS_R_08_05610_001.01
Eng_spdVeh|0|VEMS_R_08_05610_001.01
Eng_spdVeh_C|0|VEMS_R_08_05610_001.01
Ext_spdVeh|0|VEMS_R_08_05610_001.01
Veh_spdVeh|0|VEMS_R_08_05610_001.01
Vehicule_roulant|0|VEMS_R_08_05610_001.01
Vitesse_vehicule|0|VEMS_R_08_05610_001.01
Vitesse_vehicule_filtree|0|VEMS_R_08_05610_001.01
Vitesse_vehicule_gain|0|VEMS_R_08_05610_001.01
VEHMNG_vidVehSpdInformation|1|VEMS_R_08_05610_002.01
VEHMNG_vidVehSpdMngCanCmm|1|VEMS_R_08_05610_003.01
VehSpd_EveKOn_VehMng|1|VEMS_R_08_05610_001.01
VehSpd_EveRst_VehMng|1|VEMS_R_08_05610_001.01
VEHMNG_vidCanTranSpeedManagement|1|VEMS_R_08_05610_004.02
Ext_dstVehMes|0|VEMS_R_08_05610_001.01
VehSpd_SdlSLow_VehMng|1|VEMS_R_08_05610_001.01
VehSpd_SdlFast_VehMng|1|VEMS_R_08_05610_001.01
VehSpd_SdlMid_VehMng|1|VEMS_R_08_05610_001.01
