Name|Type|Requirement
VehSpd_nDownTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_003.01
VehSpd_bInhMonVehSpd_C|0|VEMS_R_09_ 01664_001.01
VehSpd_bInhMonVehSpd_C|0|VEMS_R_09_ 01664_002.01
VehSpd_bInhMonVehSpd_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nDecCpt_SpdVeh_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nDecCpt_SpdVeh_C|0|VEMS_R_09_ 01664_002.01
VehSpd_nDecCpt_SpdVeh_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nInitCptConf_SpdVeh_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nUpTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nUpTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_002.01
VehSpd_nUpTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_003.01
VehSpd_spdThdDiagCoh_C|0|VEMS_R_09_ 01664_003.01
VehSpd_bDftSftyORng_spdVeh|0|VEMS_R_09_ 01664_003.01
VehSpd_nEngThdGrd_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nEngThdGrd_C|0|VEMS_R_09_ 01664_002.01
VehSpd_nEngThdGrd_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nEngThdMax_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nEngThdMax_C|0|VEMS_R_09_ 01664_002.01
VehSpd_nEngThdMax_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nEngThdMin_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nEngThdMin_C|0|VEMS_R_09_ 01664_002.01
VehSpd_EveRst_MonVehSpd|1|VEMS_R_09_ 01664_001.01
VehSpd_EveRst_MonVehSpd|1|VEMS_R_09_ 01664_002.01
VehSpd_EveRst_MonVehSpd|1|VEMS_R_09_ 01664_003.01
VehSpd_SdlMid_MonVehSpd|1|VEMS_R_09_ 01664_001.01
VehSpd_SdlMid_MonVehSpd|1|VEMS_R_09_ 01664_002.01
VehSpd_SdlMid_MonVehSpd|1|VEMS_R_09_ 01664_003.01
VEHSPDDIAG_vidMaxValueTested|1|VEMS_R_09_01664_002.01
VEHSPDDIAG_vidRunDiag|1|VEMS_R_09_01664_001.01
VehSpd_SdlSfty_MonVehSpd|1|VEMS_R_09_ 01664_001.01
VehSpd_SdlSfty_MonVehSpd|1|VEMS_R_09_ 01664_002.01
VehSpd_SdlSfty_MonVehSpd|1|VEMS_R_09_ 01664_003.01
VehSpd_nEngThdMin_C|0|VEMS_R_09_ 01664_003.01
VehSpd_nInitCptConf_SpdVeh_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nInitCptConf_SpdVeh_C|0|VEMS_R_09_ 01664_002.01
VehSpd_noEngSpdMaxMesPoint_C|0|VEMS_R_09_ 01664_001.01
VehSpd_noEngSpdMaxMesPoint_C|0|VEMS_R_09_ 01664_002.01
VehSpd_noEngSpdMaxMesPoint_C|0|VEMS_R_09_ 01664_003.01
VehSpd_noIdcReqMaxMesPoint_C|0|VEMS_R_09_ 01664_001.01
VehSpd_noIdcReqMaxMesPoint_C|0|VEMS_R_09_ 01664_002.01
VehSpd_noIdcReqMaxMesPoint_C|0|VEMS_R_09_ 01664_003.01
VehSpd_spdThdDiagCoh_C|0|VEMS_R_09_ 01664_001.01
VehSpd_spdThdDiagCoh_C|0|VEMS_R_09_ 01664_002.01
VehSpd_spdVehThdMax_C|0|VEMS_R_09_ 01664_001.01
VehSpd_spdVehThdMax_C|0|VEMS_R_09_ 01664_002.01
VehSpd_spdVehThdMax_C|0|VEMS_R_09_ 01664_003.01
VehSpd_tqIdcReqGrd_C|0|VEMS_R_09_ 01664_001.01
VehSpd_tqIdcReqGrd_C|0|VEMS_R_09_ 01664_002.01
VehSpd_tqIdcReqGrd_C|0|VEMS_R_09_ 01664_003.01
VehSpd_tqIdcReqThdMax_C|0|VEMS_R_09_ 01664_001.01
VehSpd_tqIdcReqThdMax_C|0|VEMS_R_09_ 01664_002.01
VehSpd_tqIdcReqThdMax_C|0|VEMS_R_09_ 01664_003.01
VehSpd_tqIdcReqThdMin_C|0|VEMS_R_09_ 01664_001.01
VehSpd_tqIdcReqThdMin_C|0|VEMS_R_09_ 01664_002.01
VehSpd_tqIdcReqThdMin_C|0|VEMS_R_09_ 01664_003.01
VehSpd_bDftSftyORng_spdVeh|0|VEMS_R_09_ 01664_001.01
VehSpd_bDftSftyORng_spdVeh|0|VEMS_R_09_ 01664_002.01
VehSpd_nDownTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_001.01
VehSpd_nDownTranThd_SpdVeh_C|0|VEMS_R_09_ 01664_002.01
