Name|Type|Requirement
VlvAct_bAcvVlvActExStr_C|0|VEMS_R_08_05907_001.01
VlvAct_bAcvVlvActExStr_C|0|VEMS_R_08_05907_002.01
Ext_agCmExMes|0|VEMS_R_08_05907_001.02
Ext_agCmExMes|0|VEMS_R_08_05907_002.01
Ext_agCmExMes|0|VEMS_R_08_05907_003.02
Ext_bVoltSenCmEx|0|VEMS_R_08_05907_001.02
Ext_bVoltSenCmEx|0|VEMS_R_08_05907_002.01
Ext_bVoltSenCmEx|0|VEMS_R_08_05907_003.02
Ext_ctEdgeCmEx|0|VEMS_R_08_05907_001.02
Ext_ctEdgeCmEx|0|VEMS_R_08_05907_002.01
Ext_ctEdgeCmEx|0|VEMS_R_08_05907_003.02
Ext_nEngCmExMes|0|VEMS_R_08_05907_001.02
Ext_nEngCmExMes|0|VEMS_R_08_05907_002.01
Ext_nEngCmExMes|0|VEMS_R_08_05907_003.02
Ext_tiPatCmEx|0|VEMS_R_08_05907_001.02
Ext_tiPatCmEx|0|VEMS_R_08_05907_002.01
Ext_tiPatCmEx|0|VEMS_R_08_05907_003.02
VlvAct_nEngExCmFil|0|VEMS_R_08_05907_001.02
VlvAct_nEngExCmFil|0|VEMS_R_08_05907_002.01
VlvAct_nEngExCmFil|0|VEMS_R_08_05907_003.02
VlvAct_EveRst_ExAcq|1|VEMS_R_08_05907_001.02
VlvAct_EveRst_ExAcq|1|VEMS_R_08_05907_002.01
VlvAct_EveRst_ExAcq|1|VEMS_R_08_05907_003.02
Vta_exhaust_filt_velocity|0|VEMS_R_08_05907_001.02
Vta_exhaust_filt_velocity|0|VEMS_R_08_05907_002.01
Vta_exhaust_filt_velocity|0|VEMS_R_08_05907_003.02
VlvAct_agCmExToothGap_C|0|VEMS_R_08_05907_001.02
VlvAct_agCmExToothGap_C|0|VEMS_R_08_05907_002.01
VlvAct_agCmExToothGap_C|0|VEMS_R_08_05907_003.02
VlvAct_agExMaxFrntGap_C|0|VEMS_R_08_05907_001.02
VlvAct_agExMaxFrntGap_C|0|VEMS_R_08_05907_002.01
VlvAct_agExMaxFrntGap_C|0|VEMS_R_08_05907_003.02
VlvAct_bExSelTypIniCntCmTooth_C|0|VEMS_R_08_05907_001.02
VlvAct_bExSelTypIniCntCmTooth_C|0|VEMS_R_08_05907_002.01
VlvAct_bExSelTypIniCntCmTooth_C|0|VEMS_R_08_05907_003.02
Vta_exhaust_advance_config|0|VEMS_R_08_05907_001.02
Vta_exhaust_advance_config|0|VEMS_R_08_05907_002.01
Vta_exhaust_advance_config|0|VEMS_R_08_05907_003.02
Vta_exhaust_camshaft_shift_def|0|VEMS_R_08_05907_001.02
Vta_exhaust_camshaft_shift_def|0|VEMS_R_08_05907_002.01
Vta_exhaust_camshaft_shift_def|0|VEMS_R_08_05907_003.02
Vta_exhaust_def_tooth|0|VEMS_R_08_05907_001.02
Vta_exhaust_def_tooth|0|VEMS_R_08_05907_002.01
Vta_exhaust_def_tooth|0|VEMS_R_08_05907_003.02
Vta_exhaust_higher_def_limit|0|VEMS_R_08_05907_001.02
Vta_exhaust_higher_def_limit|0|VEMS_R_08_05907_002.01
Vta_exhaust_higher_def_limit|0|VEMS_R_08_05907_003.02
Vta_exhaust_lower_def_limit|0|VEMS_R_08_05907_001.02
VlvAct_EveCkSnOn_ExAcq|1|VEMS_R_08_05907_001.02
VlvAct_EveCkSnOn_ExAcq|1|VEMS_R_08_05907_002.01
VlvAct_EveCkSnOn_ExAcq|1|VEMS_R_08_05907_003.02
VlvAct_EveExCam_ExAcq|1|VEMS_R_08_05907_001.02
VlvAct_EveExCam_ExAcq|1|VEMS_R_08_05907_002.01
Vta_exhaust_tooth_counter|0|VEMS_R_08_05907_001.02
Vta_exhaust_tooth_counter|0|VEMS_R_08_05907_002.01
Vta_exhaust_tooth_counter|0|VEMS_R_08_05907_003.02
Vta_exhaust_tooth_time|0|VEMS_R_08_05907_001.02
Vta_exhaust_tooth_time|0|VEMS_R_08_05907_002.01
Vta_exhaust_tooth_time|0|VEMS_R_08_05907_003.02
Vxx_rel_ex_vvt_mes|0|VEMS_R_08_05907_001.02
Vxx_rel_ex_vvt_mes|0|VEMS_R_08_05907_002.01
Vxx_rel_ex_vvt_mes|0|VEMS_R_08_05907_003.02
Vta_exhaust_lower_def_limit|0|VEMS_R_08_05907_002.01
Vta_exhaust_lower_def_limit|0|VEMS_R_08_05907_003.02
Vta_exhaust_pmh_threshold|0|VEMS_R_08_05907_001.02
Vta_exhaust_pmh_threshold|0|VEMS_R_08_05907_002.01
Vta_exhaust_pmh_threshold|0|VEMS_R_08_05907_003.02
Vta_exhaust_resynchro_manu_inh|0|VEMS_R_08_05907_001.02
Vta_exhaust_resynchro_manu_inh|0|VEMS_R_08_05907_002.01
Vta_exhaust_dyn_lim|0|VEMS_R_08_05907_001.02
Vta_exhaust_dyn_lim|0|VEMS_R_08_05907_002.01
Vta_exhaust_dyn_lim|0|VEMS_R_08_05907_003.02
Vta_exhaust_resynchro_manu_inh|0|VEMS_R_08_05907_003.02
Vta_exhaust_to_1|0|VEMS_R_08_05907_001.02
Vta_exhaust_to_1|0|VEMS_R_08_05907_002.01
Vta_exhaust_to_1|0|VEMS_R_08_05907_003.02
Vta_exhaust_to_2|0|VEMS_R_08_05907_001.02
Vta_exhaust_to_2|0|VEMS_R_08_05907_002.01
Vta_exhaust_to_2|0|VEMS_R_08_05907_003.02
Vta_exhaust_tooth_nb|0|VEMS_R_08_05907_001.02
Vta_exhaust_tooth_nb|0|VEMS_R_08_05907_002.01
Vta_exhaust_tooth_nb|0|VEMS_R_08_05907_003.02
Vta_exhaust_vel_calc_mod|0|VEMS_R_08_05907_001.02
Vta_exhaust_vel_calc_mod|0|VEMS_R_08_05907_002.01
Vta_exhaust_vel_calc_mod|0|VEMS_R_08_05907_003.02
VlvAct_EveExCam_ExAcq|1|VEMS_R_08_05907_003.02
VlvAct_EveExCmToo_ExAcq|1|VEMS_R_08_05907_001.02
VlvAct_EveExCmToo_ExAcq|1|VEMS_R_08_05907_002.01
Vta_exhaust_X_tooth_check|0|VEMS_R_08_05907_001.02
Vta_exhaust_X_tooth_check|0|VEMS_R_08_05907_002.01
Vta_exhaust_X_tooth_check|0|VEMS_R_08_05907_003.02
Vlvact_nEngAcvExMissToothThd_C|0|VEMS_R_08_05907_001.02
Vlvact_nEngAcvExMissToothThd_C|0|VEMS_R_08_05907_002.01
Vlvact_nEngAcvExMissToothThd_C|0|VEMS_R_08_05907_003.02
Vlvact_nEngAcvExORngShiftThd_C|0|VEMS_R_08_05907_001.02
Vlvact_nEngAcvExORngShiftThd_C|0|VEMS_R_08_05907_002.01
Vlvact_nEngAcvExORngShiftThd_C|0|VEMS_R_08_05907_003.02
