Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Consigne_rco_vvt_echap|uint16|HEADER|1|0|0|Consigne_rco_vvt_echap|0|0|Phys|%|1|100/1024|0|Commandes|Commandes||Consigne_rco_vvt_echap||1||||||||0|1||||1|0|0||0|0|1023|0|99.90234375|0|
CoPTSt_bRStrtSTT|boolean|HEADER|1|0|0|CoPTSt_bRStrtSTT|0|0|Phys|bool|2|0||Divers|Divers||CoPTSt_bRStrtSTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoVSCtl_stAccP|uint8|HEADER|1|0|0|CoVSCtl_stAccP|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoVSCtl_stAccP||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Eep_dem_ecr_obj_objet_vvt2|boolean|VLVACTEXENDSTOP|0|0|0|Eep_dem_ecr_obj_objet_vvt2|0|0|Phys|bool|2|0||VVT_Acq_Ex|VVT_Acq_Ex||Eep_dem_ecr_obj_objet_vvt2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_tOilEstim|sint16|HEADER|1|0|0|Eng_tOilEstim|0|0|Phys|°C|1|0.25|0|Divers|Divers||Eng_tOilEstim||1||||||||0|1||||1|0|0||0|-200|800|-50|200|0|
Ext_agCmExMes|uint16|HEADER|1|0|0|Ext_agCmExMes|0|0|Phys|°Vil|1|6/64|0|Divers|Divers||Ext_agCmExMes||1||||||||0|1||||1|0|0||0|0|7679|0|719.90625|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_stAgCmExAdapt|st17|VLVACTEXENDSTOP|1|0|0|Ext_stAgCmExAdapt|0|0|Phys|etat|4|||VLVACTEX|VLVACTEX||Ext_stAgCmExAdapt||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_stAgCmExFrstAdapt|st117|VLVACTEXENDSTOP|1|0|0|Ext_stAgCmExFrstAdapt|0|0|Phys|etat|4|||VLVACTEX|VLVACTEX||Ext_stAgCmExFrstAdapt||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_stAgCmExFrstAdapt_eep|uint8|HEADER|1|0|0|Ext_stAgCmExFrstAdapt_eep|0|0|Phys|-|1|1|0|EEPROM|EEPROM||Ext_stAgCmExFrstAdapt_eep||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
FRM_FRM_INHVLVACTEXENDSTOPLRNOFS|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXENDSTOPLRNOFS|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXENDSTOPLRNOFS||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHVLVACTEXENDSTOPLRNRST|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXENDSTOPLRNRST|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXENDSTOPLRNRST||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHVLVACTEXENDSTOPUPDOFS|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXENDSTOPUPDOFS|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXENDSTOPUPDOFS||3||||||||0|1|||3|0|0|0||0|||||0|
FRM_FRM_INHVLVACTEXENDSTOPWRMEM|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXENDSTOPWRMEM|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXENDSTOPWRMEM||3||||||||0|1|||4|0|0|0||0|||||0|
FRM_FRM_INHVLVACTEXFRSTLRNIDC|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXFRSTLRNIDC|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXFRSTLRNIDC||3||||||||0|1|||5|0|0|0||0|||||0|
GD_DFT_ENDSTOPOLDVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_ENDSTOPOLDVLVACTEX|0|0|Phys|-|||||||GD_DFT_ENDSTOPOLDVLVACTEX||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_LRNENDSTOPVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_LRNENDSTOPVLVACTEX|0|0|Phys|-|||||||GD_DFT_LRNENDSTOPVLVACTEX||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_LRNFAILIMVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_LRNFAILIMVLVACTEX|0|0|Phys|-|||||||GD_DFT_LRNFAILIMVLVACTEX||3||||||||0|1|||3|0|0|0||0|||||0|
GD_DFT_MISSTOOTHVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_MISSTOOTHVLVACTEX|0|0|Phys|-|||||||GD_DFT_MISSTOOTHVLVACTEX||3||||||||0|1|||0|0|0|0||0|||||0|
GD_DFT_OLDLRNVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_OLDLRNVLVACTEX|0|0|Phys|-|||||||GD_DFT_OLDLRNVLVACTEX||3||||||||0|1|||4|0|0|0||0|||||0|
GD_DFT_ORNGSHIFTVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_ORNGSHIFTVLVACTEX|0|0|Phys|-|||||||GD_DFT_ORNGSHIFTVLVACTEX||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_TDCDIAGVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_TDCDIAGVLVACTEX|0|0|Phys|-|||||||GD_DFT_TDCDIAGVLVACTEX||3||||||||0|1|||2|0|0|0||0|||||0|
GDU_ETAT_ABSENT|uint8|HEADER|1|0|0|GDU_ETAT_ABSENT|0|0|Phys|-|||||||GDU_ETAT_ABSENT||3||||||||0|1|||0|0|0|0||0|||||0|
GDU_ETAT_FUGITIF|uint8|HEADER|1|0|0|GDU_ETAT_FUGITIF|0|0|Phys|-|||||||GDU_ETAT_FUGITIF||3||||||||0|1|||4|0|0|0||0|||||0|
GDU_ETAT_PCTL_ABSENT|uint8|HEADER|1|0|0|GDU_ETAT_PCTL_ABSENT|0|0|Phys|-|||||||GDU_ETAT_PCTL_ABSENT||3||||||||0|1|||2|0|0|0||0|||||0|
GDU_ETAT_PCTL_PRESENT|uint8|HEADER|1|0|0|GDU_ETAT_PCTL_PRESENT|0|0|Phys|-|||||||GDU_ETAT_PCTL_PRESENT||3||||||||0|1|||1|0|0|0||0|||||0|
Kcvcpe_learn_zero_offsets|uint16|VLVACTEXENDSTOP|1|0|0|KcVcpe_learn_zero_offsets|0|0|Phys|s.u|1|1|0|VLVACTEX|VLVACTEX||Kcvcpe_learn_zero_offsets||2|||||||PTS_DOC_5885665|1|1||||1|0|0|Nombre total d'apprentissage de la butée de repos à effectuer avant la levée du booléen Vcpe_Cam_Offsets_Are_Learned|0|0|600|0|600|0|
Kfvcpe_k_offset_filter|uint8|VLVACTEXENDSTOP|1|0|0|KfVcpe_k_offset_filter|0|0|Phys|s.u|1|1/256|0|VLVACTEX|VLVACTEX||Kfvcpe_k_offset_filter||2|||||||PTS_DOC_5885665|1|1||||1|0|0|Coefficient du filtre pour calculer la valeur moyenne de la butée de repos pour la VVT échappement|0|0|255|0|0.99609375|0|
