Name|Type|Requirement
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_001.02
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_012.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_013.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_014.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_015.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_016.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_017.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_018.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_019.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_020.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_021.01
VlvAct_bExOfsClcnInh|0|VEMS_R_08_06268_022.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_001.02
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_012.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_013.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_014.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_015.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_016.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_017.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_018.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_019.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_020.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_021.01
VlvAct_bExOfsFrstLrn|0|VEMS_R_08_06268_022.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_0012.01
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_001.02
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_012.01
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_013.01
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_014.01
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_015.01
VlvAct_bExOfsFrstLrnByp_C|0|VEMS_R_08_06268_016.01
VlvAct_agExMesLrnLim_C|0|VEMS_R_08_06268_021.01
VlvAct_EveCkSnOn_ExEndStop|1|VEMS_E_08_06268_025.01
VlvAct_EveCkSnOn_ExEndStop|1|VEMS_R_08_06268_017.01
VlvAct_EveCkSnOn_ExEndStop|1|VEMS_R_08_06268_001.02
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_002.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_013.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_014.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_015.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_016.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_017.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_018.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_019.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_020.01
VlvAct_bExLrnEndStopEna_C|0|VEMS_R_08_06268_021.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_001.02
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_012.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_013.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_014.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_015.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_016.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_017.01
VlvAct_bExFrstClnAuth|0|VEMS_R_08_06268_018.01
