Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Ext_agCkClsExVlvEstimRef0|sint16|VLVACTEXIF|1|0|0|Ext_agCkClsExVlvEstimRef0|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_Ex|VVT_Acq_Ex||Ext_agCkClsExVlvEstimRef0||1||||||||0|1||||1|0|0||0|-1024|1023|-96|95.90625|0|
Ext_agCkClsExVlvEstimRef0_C|sint16|VLVACTEXIF|1|0|0|Ext_agCkClsExVlvEstimRef0_C|0|0|Phys|°Vil|1|6/64|0|VLVACTEX|VLVACTEX||Ext_agCkClsExVlvEstimRef0_C||2|||||||PTS_DOC_5320145|1|1||||1|0|0|Valeur initiale de la mesure position fermeture soupape échappement|0|-1024|1023|-96|95.90625|0|
FRM_FRM_ACVVLVACTEXINIFLIHPOSCALC|uint16|HEADER|1|0|0|FRM_FRM_ACVVLVACTEXINIFLIHPOSCALC|0|0|Phys|-|||||||FRM_FRM_ACVVLVACTEXINIFLIHPOSCALC||3||||||||0|1|||1|0|0|0||0|||||0|
Srv_bActrTstExVVTEna|boolean|HEADER|1|0|0|Srv_bActrTstExVVTEna|0|0|Phys|bool|2|0||Divers|Divers||Srv_bActrTstExVVTEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Vcpe_cam_offsets|uint16|HEADER|1|1|4|Vcpe_cam_offsets|0|0|Phys|°Vil|1|6/64|0|Eeprom|Eeprom||Vcpe_cam_offsets||1||*||*||*||0|1||||0|0|0||0|0|7679|0|719.90625|0|
Vcpe_cam_offsets_are_learned|boolean|HEADER|1|0|0|Vcpe_cam_offsets_are_learned|0|0|Phys|bool|2|0||VLVACTEX|VLVACTEX||Vcpe_cam_offsets_are_learned||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VlvAct_agCkClsExVlvReqRef0|sint8|VLVACTEXIF|1|0|0|VlvAct_agCkClsExVlvReqRef0|0|0|Phys|°Ck|1|3/4|0|VLVACTEX|VLVACTEX||VlvAct_agCkClsExVlvReqRef0||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agCkClsExVlvReqRef0Max|sint8|VLVACTEXIF|1|0|0|VlvAct_agCkClsExVlvReqRef0Max|0|0|Phys|°Vil|1|3/4|0|VLVACTEX|VLVACTEX||VlvAct_agCkClsExVlvReqRef0Max||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agCkClsExVlvReqRef0Max_C|sint8|VLVACTEXIF|1|0|0|VlvAct_agCkClsExVlvReqRef0Max_C|0|0|Phys|°Vil|1|3/4|0|VLVACTEX|VLVACTEX||VlvAct_agCkClsExVlvReqRef0Max_C||2|||||||PTS_DOC_5320145|1|1||||1|0|0|Valeur initiale de la saturation maximale de la consigne fermeture soupape échappement|0|-128|127|-96|95.25|0|
VlvAct_agCkClsExVlvReqRef0Min|sint8|VLVACTEXIF|1|0|0|VlvAct_agCkClsExVlvReqRef0Min|0|0|Phys|°Vil|1|3/4|0|VLVACTEX|VLVACTEX||VlvAct_agCkClsExVlvReqRef0Min||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
