Name|Type|Requirement
VlvAct_ExCmSpMax|0|VEMS_R_08_07049_019.01
VlvAct_ExCmSpMin|0|VEMS_R_08_07049_019.01
VlvAct_ExCmPosnOfs|0|VEMS_R_08_07049_019.01
VlvAct_SdlFast_ExIf|1|VEMS_R_08_07049_019.01
VlvAct_SdlFast_ExIf|1|VEMS_R_08_07049_016.01
VLVACTEXIF_vidEntryInit|1|VEMS_R_08_07049_019.02
VlvAct_SdlFast_ExIf|1|VEMS_R_08_07049_019.02
VLVACTEXIF_vidEntryInit|1|VEMS_R_08_06205_002.01
Ext_agCkClsExVlvEstimRef0|0|VEMS_R_08_06205_002.01
Ext_agCkClsExVlvEstimRef0|0|VEMS_R_08_06205_003.01
VlvAct_agCkClsExVlvReqRef0Max|0|VEMS_R_08_06205_002.01
VlvAct_agCkClsExVlvReqRef0Max|0|VEMS_R_08_06205_003.01
VlvAct_agCkClsExVlvReqRef0Min|0|VEMS_R_08_06205_002.01
VlvAct_agCkClsExVlvReqRef0Min|0|VEMS_R_08_06205_003.01
VlvAct_agExMaxSlopVlvSpPos_C|0|VEMS_R_08_06205_002.01
VlvAct_agExMinSlopVlvSpPos_C|0|VEMS_R_08_06205_002.01
VlvAct_agCkExCmRefOfs_C|0|VEMS_R_08_06205_002.01
VlvAct_agCkExCmRefOfs_C|0|VEMS_R_08_06205_003.01
VlvAct_agCkExCmSpMax_C|0|VEMS_R_08_06205_002.01
VlvAct_agCkExCmSpMax_C|0|VEMS_R_08_06205_003.01
VlvAct_agCkExCmSpMin_C|0|VEMS_R_08_06205_002.01
VlvAct_agCkExCmSpMin_C|0|VEMS_R_08_06205_003.01
VlvAct_agCkExCmToothOfsMax_C|0|VEMS_R_08_06205_002.01
VlvAct_agCkExCmToothOfsMax_C|0|VEMS_R_08_06205_003.01
VlvAct_agExSpFuncIntlThdHys_C|0|VEMS_R_08_06205_002.01
VlvAct_agExSpFuncIntlThdHys_C|0|VEMS_R_08_06205_003.01
VlvAct_agExSpFuncIntlThdHysInf_C|0|VEMS_R_08_06205_002.01
VlvAct_agExSpFuncIntlThdHysInf_C|0|VEMS_R_08_06205_003.01
VlvAct_agExSpFuncIntlThdMax_C|0|VEMS_R_08_06205_002.01
VlvAct_agExSpFuncIntlThdMax_C|0|VEMS_R_08_06205_003.01
