Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Consigne_rco_vvt_echap|uint16|HEADER|1|0|0|Consigne_rco_vvt_echap|0|0|Phys|%|1|100/1024|0|Injection|Injection||Consigne_rco_vvt_echap||1||||||||0|1||||1|0|0||0|0|1023|0|99.90234375|0|
CoPTSt_bMainEngStopReq|boolean|HEADER|1|0|0|CoPTSt_bMainEngStopReq|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoPTSt_bMainEngStopReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_tOilEstim|sint16|HEADER|1|0|0|Eng_tOilEstim|0|0|Phys|°C|1|0.25|0|DIVERS|DIVERS||Eng_tOilEstim||1||||||||0|1||||1|0|0||0|-200|800|-50|200|0|
Ext_bOilPres|boolean|HEADER|1|0|0|Ext_bOilPres|0|0|Phys|bool|2|0||DIVERS|DIVERS||Ext_bOilPres||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|DIVERS|DIVERS||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|DIVERS|DIVERS||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_uBattMes|sint16|HEADER|1|0|0|Ext_uBattMes|0|0|Phys|V|1|0.01|0|Acquisitions|Acquisitions||Ext_uBattMes||1||||||||0|1||||1|0|0||0|0|3200|0|32|0|
FRM_FRM_ACVLOCKPOSNEXVLV|uint16|HEADER|1|0|0|FRM_FRM_ACVLOCKPOSNEXVLV|0|0|Phys|-|||||||FRM_FRM_ACVLOCKPOSNEXVLV||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHVLVACTEXLRN|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXLRN|0|0|Phys|bool|2|0||DIVERS|DIVERS||FRM_FRM_INHVLVACTEXLRN||3||||||||0|1|||1|0|0|0||0|0|1|0|1|0|
Moteur_synchronise|boolean|HEADER|1|0|0|Moteur_synchronise|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Moteur_synchronise||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Srv_bActrTstExVVTEna|boolean|HEADER|1|0|0|Srv_bActrTstExVVTEna|0|0|Phys|bool|2|0||DIVERS|DIVERS||Srv_bActrTstExVVTEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Vcpe_cam_offsets_are_learned|boolean|HEADER|1|0|0|Vcpe_cam_offsets_are_learned|0|0|Phys|bool|2|0||DIVERS|DIVERS||Vcpe_cam_offsets_are_learned||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Vehicle_active_state|st23|HEADER|1|0|0|Vehicle_active_state|0|0|Phys|etat|4|||Structure Couple|Structure Couple||Vehicle_active_state||1||||||||0|1||||1|0|0||0|||||0|
VlvAct_agCmExPosnEstim|uint16|HEADER|1|0|0|VlvAct_agCmExPosnEstim|0|0|Phys|°Vil|1|6/64|0|VLVACTEX|VLVACTEX||VlvAct_agCmExPosnEstim||1||||||||0|1||||1|0|0||0|0|1066|0|99.9375|0|
VlvAct_agExAcvSpFuncIntlThd_C|uint8|VLVACTEXMNG|1|0|0|VlvAct_agExAcvSpFuncIntlThd_C|0|0|Phys|°Vil|1|6/64|0|DIVERS|DIVERS||VlvAct_agExAcvSpFuncIntlThd_C||2|||||||V02 NT 08 07819|1|1||||1|0|0|Seuil de consigne minimal du déphaseur AAC echappement autorisant le désengagement du pion de blocage|0|0|255|0|23.90625|0|
VlvAct_agExAcvSpFuncIntlThdHys_C|uint8|VLVACTEXMNG|1|0|0|VlvAct_agExAcvSpFuncIntlThdHys_C|0|0|Phys|°Vil|1|6/64|0|DIVERS|DIVERS||VlvAct_agExAcvSpFuncIntlThdHys_C||2|||||||V02 NT 08 07819|1|1||||1|0|0|Hystéresis du seuil de consigne minimal du déphaseur AAC echappement autorisant le désengagement du pion de blocage|0|0|255|0|23.90625|0|
VlvAct_agExAcvUnlckPosnThd_C|uint8|VLVACTEXMNG|1|0|0|VlvAct_agExAcvUnlckPosnThd_C|0|0|Phys|°Vil|1|6/64|0|VLVACTEX|VLVACTEX||VlvAct_agExAcvUnlckPosnThd_C||2|||||||V02 NT 08 07819|1|1||||1|0|0|Seuil de position minimale déphaseur AAC échappement autorisant le désengagement du pion de blocage.|0|0|255|0|23.90625|0|
VlvAct_agExAcvUnlckPosnThdHys_C|uint8|VLVACTEXMNG|1|0|0|VlvAct_agExAcvUnlckPosnThdHys_C|0|0|Phys|°Vil|1|6/64|0|VLVACTEX|VLVACTEX||VlvAct_agExAcvUnlckPosnThdHys_C||2|||||||V02 NT 08 07819|1|1||||1|0|0|Hystéresis du seuil de position minimale déphaseur AAC échappement autorisant le désengagement du pion de blocage|0|0|255|0|23.90625|0|
VlvAct_bAcvVlvActExStr_C|boolean|HEADER|1|0|0|VlvAct_bAcvVlvActExStr_C|0|0|Phys|bool|2|0||DIVERS|DIVERS||VlvAct_bAcvVlvActExStr_C||2|||||||NONE|1|1||||1|0|0|Booléen activant les stratégies de la loi de commande de la VVT échappement|0|0|1|0|1|0|
VlvAct_bExClnEna|boolean|VLVACTEXMNG|1|0|0|VlvAct_bExClnEna|0|0|Phys|bool|2|0||VLVACTEX|VLVACTEX||VlvAct_bExClnEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
