Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|2|HEADER|1|NONE||||0|0|0|0|API GDGAR_bGetFRM|
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0|ErrorHook routine|
VlvAct_SdlFast_ExMng_1|D|();|SCH.2|VLVACTEXMNG|1|V02 NT 08 07819||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VlvAct_SdlFast_ExMng_2|D|();|SCH.3|VLVACTEXMNG|1|V02 NT 08 07819||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VLVACTEXMNG_vidClnStEnaCdn|D|();|FCT1.6|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|La stratégie de nettoyage de l’électrovanne de commande de l’actionneur de décalage AAC échappement n’est activée que lorsqu’une requête de nettoyage a été émise par la stratégie dédiée; cette stratégie peut également être activée manuellement.|
VLVACTEXMNG_vidEngStopAuth|C|();|FCT1.10|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|La LdC VVT échappement doit informer à tout moment les autres fonctions du contrôle moteur si la position du déphaseur VVT admission permet l’arrêt du moteur|
VLVACTEXMNG_vidEntryInit|E|();|SCH.1|VLVACTEXMNG|1|V02 NT 08 07819||||0|0|0|0|sched reset|
VLVACTEXMNG_vidInitOutput|H|();|FCT1.1|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|initialisation des sorties|
VLVACTEXMNG_vidInitStEnaCdn|E|();|FCT1.2|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Quelque soit l’état de l’automate de gestion de la fonction VVT échappement, le décaleur doit pouvoir revenir à sa position de repos dés que les conditions de fonctionnement nominal ne sont plus réunies, afin de protéger l’actionneur de décalage.|
VLVACTEXMNG_vidLrnStEnaCdn|F|();|FCT1.4|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|L’apprentissage de la butée basse de l’actionneur de décalage AAC échappement n’est autorisé que lorsque toutes les conditions adéquates de fonctionnement moteur sont réunies|
VLVACTEXMNG_vidMngStCmd|F|();|FCT1.8|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|La commande envoyée au driver de pilotage RCO de l’électrovanne de commande VVT échappement est nulle|
VLVACTEXMNG_vidServoStEnaCdn|F|();|FCT1.5|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Le pilotage en boucle fermé de l’actionneur de décalage AAC échappement n’est autorisé que lorsque toutes les conditions adéquates de fonctionnement moteur sont réunies|
VLVACTEXMNG_vidStMng|G|();|FCT1.7|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Gestion de la fonction VVT échappement|
VLVACTEXMNG_vidTimer1|A|();|FCT1.3|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Calcul des sorties des Timers 1 et 2|
VLVACTEXMNG_vidTimer2|B|();|FCT1.9|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Calcul des sorties des Timers 3 et 4|
VLVACTEXMNG_vidUnlckStr|C|();|FCT2.1|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Stratégie de désengagement du pion de blocage VVT échappement.|
VLVACTEXMNG_vidUnlockStrategy|B|();|FCT2.2|VLVACTEXMNG|0|V02 NT 08 07819||||0|0|0|0|Automate de la stratégie de désengagement du pion de blocage VVT échappement.|
