Name|Type|Requirement
VLVACTEXMNG_vidClnStEnaCdn|1|VEMS_R_08_07819_006.01
VLVACTEXMNG_vidEngStopAuth|1|VEMS_R_08_07819_007.02
VLVACTEXMNG_vidInitStEnaCdn|1|VEMS_R_08_07819_002.02
VLVACTEXMNG_vidInitStEnaCdn|1|VEMS_R_08_07819_009.01
VlvAct_bExClnEna|0|VEMS_R_08_07819_008.01
VlvAct_bExClnEna|0|VEMS_R_08_07819_010.01
VlvAct_bExClnEna|0|VEMS_R_08_07819_011.01
VlvAct_bExCmdAuth|0|VEMS_R_08_07819_008.01
VlvAct_bExCmdAuth|0|VEMS_R_08_07819_010.01
VlvAct_bExCmdAuth|0|VEMS_R_08_07819_011.01
VlvAct_bExEngStopAuth|0|VEMS_R_08_07819_008.01
VlvAct_bExEngStopAuth|0|VEMS_R_08_07819_010.01
VlvAct_bExEngStopAuth|0|VEMS_R_08_07819_011.01
VlvAct_bExLrnEna|0|VEMS_R_08_07819_008.01
VlvAct_bExLrnEna|0|VEMS_R_08_07819_010.01
VlvAct_bExLrnEna|0|VEMS_R_08_07819_011.01
VlvAct_bExMngClnBenchEna_C|0|VEMS_R_08_07819_008.01
VlvAct_bExMngClnBenchEna_C|0|VEMS_R_08_07819_010.01
VlvAct_bExMngClnBenchEna_C|0|VEMS_R_08_07819_011.01
VlvAct_bExMngLrnStEna|0|VEMS_R_08_07819_008.01
VlvAct_bExMngLrnStEna|0|VEMS_R_08_07819_010.01
VlvAct_bExMngLrnStEna|0|VEMS_R_08_07819_011.01
VlvAct_bExMngServoStEna|0|VEMS_R_08_07819_008.01
VlvAct_bExMngServoStEna|0|VEMS_R_08_07819_010.01
VlvAct_bExMngServoStEna|0|VEMS_R_08_07819_011.01
VlvAct_bExMngUnlckStEna_C|0|VEMS_R_08_07819_008.01
VlvAct_bExMngUnlckStEna_C|0|VEMS_R_08_07819_010.01
VlvAct_bExMngUnlckStEna_C|0|VEMS_R_08_07819_011.01
VlvAct_bExServoEna|0|VEMS_R_08_07819_008.01
VlvAct_bExServoEna|0|VEMS_R_08_07819_010.01
VlvAct_bExServoEna|0|VEMS_R_08_07819_011.01
VlvAct_ExEngStopCmdThd_C|0|VEMS_R_08_07819_008.01
VlvAct_ExEngStopCmdThd_C|0|VEMS_R_08_07819_010.01
VlvAct_ExEngStopCmdThd_C|0|VEMS_R_08_07819_011.01
VlvAct_SdlFast_ExMng_1|1|VEMS_R_08_07819_008.01
VlvAct_SdlFast_ExMng_1|1|VEMS_R_08_07819_010.01
VlvAct_ExEngStopPosnMax_C|0|VEMS_R_08_07819_008.01
VlvAct_ExEngStopPosnMax_C|0|VEMS_R_08_07819_010.01
VlvAct_ExEngStopPosnMax_C|0|VEMS_R_08_07819_011.01
VlvAct_ExLihValCmd_C|0|VEMS_R_08_07819_008.01
VlvAct_ExLihValCmd_C|0|VEMS_R_08_07819_010.01
VlvAct_ExLihValCmd_C|0|VEMS_R_08_07819_011.01
VlvAct_ExMngStCmd|0|VEMS_R_08_07819_008.01
VlvAct_ExMngStCmd|0|VEMS_R_08_07819_010.01
VlvAct_ExMngStCmd|0|VEMS_R_08_07819_011.01
VlvAct_ExTOilMaxValCmd_C|0|VEMS_R_08_07819_008.01
VlvAct_ExTOilMaxValCmd_C|0|VEMS_R_08_07819_010.01
VlvAct_ExTOilMaxValCmd_C|0|VEMS_R_08_07819_011.01
VlvAct_ExUnlckCmdIni_M|0|VEMS_R_08_07819_008.01
VlvAct_ExUnlckCmdIni_M|0|VEMS_R_08_07819_010.01
VlvAct_ExUnlckCmdIni_M|0|VEMS_R_08_07819_011.01
VlvAct_ExUnlckCmdStab_M|0|VEMS_R_08_07819_008.01
VlvAct_ExUnlckCmdStab_M|0|VEMS_R_08_07819_010.01
VlvAct_ExUnlckCmdStab_M|0|VEMS_R_08_07819_011.01
VlvAct_ExUnlckSlop1_M|0|VEMS_R_08_07819_008.01
VlvAct_ExUnlckSlop1_M|0|VEMS_R_08_07819_010.01
VlvAct_ExUnlckSlop1_M|0|VEMS_R_08_07819_011.01
VlvAct_ExUnlckSlop2_M|0|VEMS_R_08_07819_008.01
VlvAct_ExUnlckSlop2_M|0|VEMS_R_08_07819_010.01
VlvAct_ExUnlckSlop2_M|0|VEMS_R_08_07819_011.01
