Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Eng_tOilEstim|sint16|HEADER|1|0|0|Eng_tOilEstim|0|0|Phys|°C|1|0.25|0|Structure Couple|Structure Couple||Eng_tOilEstim||1||||||||0|1||||1|0|0||0|-200|800|-50|200|0|
Ext_agCkClsExVlvEstimRef0|sint16|HEADER|1|0|0|Ext_agCkClsExVlvEstimRef0|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_Ex|VVT_Acq_Ex||Ext_agCkClsExVlvEstimRef0||1||||||||0|1||||1|0|0||0|-1024|1023|-96|95.90625|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
FRM_FRM_INHVLVACTEXMON|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTEXMON|0|0|Phys|-|||||||FRM_FRM_INHVLVACTEXMON||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_CMDCVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_CMDCVLVACTEX|0|0|Phys|-|||||||GD_DFT_CMDCVLVACTEX||3||||||||0|1|||2|0|0|0||0|||||0|
GD_DFT_CMDHVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_CMDHVLVACTEX|0|0|Phys|-|||||||GD_DFT_CMDHVLVACTEX||3||||||||0|1|||3|0|0|0||0|||||0|
GD_DFT_DFTCVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_DFTCVLVACTEX|0|0|Phys|-|||||||GD_DFT_DFTCVLVACTEX||3||||||||0|1|||4|0|0|0||0|||||0|
GD_DFT_DFTHVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_DFTHVLVACTEX|0|0|Phys|-|||||||GD_DFT_DFTHVLVACTEX||3||||||||0|1|||5|0|0|0||0|||||0|
GD_DFT_DIFNEG1VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_NEGPOS1VLVACTEX|0|0|Phys|-|||||||GD_DFT_DIFNEG1VLVACTEX||3||||||||0|1|||19|0|0|0||0|||||0|
GD_DFT_DIFNEG2VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_NEGPOS2VLVACTEX|0|0|Phys|-|||||||GD_DFT_DIFNEG2VLVACTEX||3||||||||0|1|||18|0|0|0||0|||||0|
GD_DFT_DIFPOS1VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_DIFPOS1VLVACTEX|0|0|Phys|-|||||||GD_DFT_DIFPOS1VLVACTEX||3||||||||0|1|||17|0|0|0||0|||||0|
GD_DFT_DIFPOS2VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_DIFPOS2VLVACTEX|0|0|Phys|-|||||||GD_DFT_DIFPOS2VLVACTEX||3||||||||0|1|||16|0|0|0||0|||||0|
GD_DFT_ORNGCVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_ORNGCVLVACTEX|0|0|Phys|-|||||||GD_DFT_ORNGCVLVACTEX||3||||||||0|1|||6|0|0|0||0|||||0|
GD_DFT_ORNGHVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_ORNGHVLVACTEX|0|0|Phys|-|||||||GD_DFT_ORNGHVLVACTEX||3||||||||0|1|||7|0|0|0||0|||||0|
GD_DFT_SLOWC1VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_SLOWC1VLVACTEX|0|0|Phys|-|||||||GD_DFT_SLOWC1VLVACTEX||3||||||||0|1|||8|0|0|0||0|||||0|
GD_DFT_SLOWC2VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_SLOWC2VLVACTEX|0|0|Phys|-|||||||GD_DFT_SLOWC2VLVACTEX||3||||||||0|1|||9|0|0|0||0|||||0|
GD_DFT_SLOWH1VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_SLOWH1VLVACTEX|0|0|Phys|-|||||||GD_DFT_SLOWH1VLVACTEX||3||||||||0|1|||10|0|0|0||0|||||0|
GD_DFT_SLOWH2VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_SLOWH2VLVACTEX|0|0|Phys|-|||||||GD_DFT_SLOWH2VLVACTEX||3||||||||0|1|||11|0|0|0||0|||||0|
GD_DFT_STUCKH1VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_STUCKH1VLVACTEX|0|0|Phys|-|||||||GD_DFT_STUCKH1VLVACTEX||3||||||||0|1|||12|0|0|0||0|||||0|
GD_DFT_STUCKH2VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_STUCKH2VLVACTEX|0|0|Phys|-|||||||GD_DFT_STUCKH2VLVACTEX||3||||||||0|1|||13|0|0|0||0|||||0|
GD_DFT_STUCKH3VLVACTEX|uint16|HEADER|1|0|0|GD_DFT_STUCKH3VLVACTEX|0|0|Phys|-|||||||GD_DFT_STUCKH3VLVACTEX||3||||||||0|1|||14|0|0|0||0|||||0|
GD_DFT_STUCKHVLVACTEX|uint16|HEADER|1|0|0|GD_DFT_STUCKHVLVACTEX|0|0|Phys|-|||||||GD_DFT_STUCKHVLVACTEX||3||||||||0|1|||15|0|0|0||0|||||0|
VlvAct_agExVlvAmp|uint8|VLVACTEXMON|0|0|0|VlvAct_agExVlvAmp|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvAmp||1||||||||0|1||||1|0|0||0|0|255|0|191.25|0|
VlvAct_agExVlvAmpThdMin_C|uint8|VLVACTEXMON|1|0|0|VlvAct_agExVlvAmpThdMin_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvAmpThdMin_C||2|||||||V02 NT 09 06481|1|1||||1|0|0|Seuil min de déphasage délimitant la borne supérieure de la zone décroisée pour le test déphaseur bloqué|0|0|255|0|191.25|0|
VlvAct_agExVlvAmpThdMinC_C|uint8|VLVACTEXMON|1|0|0|VlvAct_agExVlvAmpThdMinC_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvAmpThdMinC_C||2|||||||V02 NT 09 06481|1|1||||1|0|0|Seuil min de déphasage pour activer le diagnostic temps de réponse à froid|0|0|255|0|191.25|0|
VlvAct_agExVlvAmpThdMinH_C|uint8|VLVACTEXMON|1|0|0|VlvAct_agExVlvAmpThdMinH_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvAmpThdMinH_C||2|||||||V02 NT 09 06481|1|1||||1|0|0|Seuil min de déphasage pour activer le diagnostic temps de réponse à chaud|0|0|255|0|191.25|0|
VlvAct_agExVlvC1|sint8|VLVACTEXMON|0|0|0|VlvAct_agExVlvC1|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvC1||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agExVlvC2|sint8|VLVACTEXMON|0|0|0|VlvAct_agExVlvC2|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvC2||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agExVlvC3|sint8|VLVACTEXMON|0|0|0|VlvAct_agExVlvC3|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvC3||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agExVlvDifC1|uint8|VLVACTEXMON|0|0|0|VlvAct_agExVlvDifC1|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agExVlvDifC1||1||||||||0|1||||1|0|0||0|0|255|0|191.25|0|
