Name|Type|Requirement
Vta_exhaust_der_gain|0|VEMS_R_08_07049_032.01
Vta_exhaust_int_gain|0|VEMS_R_08_07049_032.01
Vta_exhaust_prop_gain_bkpt|0|VEMS_R_08_07049_032.01
VlvAct_EveCkSnOf_ExServo|1|VEMS_R_08_07049_032.01
Vta_exhaust_width_band_thrust|0|VEMS_R_08_06281_001.01
Consigne_rco_vvt_echap|0|VEMS_R_08_06281_001.01
Consigne_rco_vvt_echap|0|VEMS_R_08_06281_002.01
Vcpe_cam_position_error|0|VEMS_R_08_06281_001.01
Vcpe_cam_position_error|0|VEMS_R_08_06281_002.01
Vcpe_integral_value|0|VEMS_R_08_06281_001.01
Vcpe_integral_value|0|VEMS_R_08_06281_002.01
Vcpe_learning_finished|0|VEMS_R_08_06281_001.01
Vcpe_learning_finished|0|VEMS_R_08_06281_002.01
Cbx_vvtc_pwm_bch2|0|VEMS_R_08_06281_001.01
Cbx_vvtc_pwm_bch2|0|VEMS_R_08_06281_002.01
Cxx_vvtc_pwm_bch2|0|VEMS_R_08_06281_001.01
Cxx_vvtc_pwm_bch2|0|VEMS_R_08_06281_002.01
Kfvcpe_initial_current_int|0|VEMS_R_08_06281_001.01
Kfvcpe_initial_current_int|0|VEMS_R_08_06281_002.01
Kfvcpe_initial_int_step_size|0|VEMS_R_08_06281_001.01
Kfvcpe_initial_int_step_size|0|VEMS_R_08_06281_002.01
Kfvcpe_noise_learn_count|0|VEMS_R_08_06281_001.01
Kfvcpe_noise_learn_count|0|VEMS_R_08_06281_002.01
Kfvcpe_phi_maximum_cam_advance|0|VEMS_R_08_06281_001.01
Kfvcpe_phi_maximum_cam_advance|0|VEMS_R_08_06281_002.01
Kfvcpe_phi_peak_to_peak_noise|0|VEMS_R_08_06281_001.01
Kfvcpe_phi_peak_to_peak_noise|0|VEMS_R_08_06281_002.01
Kfvcpe_set_edge_count|0|VEMS_R_08_06281_001.01
VlvAct_EveExCmToo_ExServo|1|VEMS_E_08_06281_003.01
VlvAct_EveExCmToo_ExServo|1|VEMS_E_08_06281_004.01
VlvAct_EveExCmToo_ExServo|1|VEMS_E_08_06281_005.01
VlvAct_EveExCmToo_ExServo|1|VEMS_R_08_06281_001.01
VlvAct_EveExCmToo_ExServo|1|VEMS_R_08_06281_002.01
VlvAct_EveKOn_ExServo|1|VEMS_E_08_06281_003.01
VlvAct_bAcvExServo|0|VEMS_R_08_06281_001.01
VlvAct_bAcvExServo|0|VEMS_R_08_06281_002.01
VlvAct_bAcvExServoWithActrTest|0|VEMS_R_08_06281_001.01
VlvAct_bAcvExServoWithActrTest|0|VEMS_R_08_06281_002.01
Consigne_rco_vvt_echap|0|VEMS_E_08_06281_003.01
Consigne_rco_vvt_echap|0|VEMS_E_08_06281_004.01
Consigne_rco_vvt_echap|0|VEMS_E_08_06281_005.01
Vcpe_cam_position_error|0|VEMS_E_08_06281_005.01
Vcpe_cam_position_error|0|VEMS_E_08_06281_004.01
Vcpe_cam_position_error|0|VEMS_E_08_06281_003.01
Vcpe_integral_value|0|VEMS_E_08_06281_003.01
Vcpe_integral_value|0|VEMS_E_08_06281_004.01
Vcpe_integral_value|0|VEMS_E_08_06281_005.01
Vcpe_learning_finished|0|VEMS_E_08_06281_005.01
Vcpe_learning_finished|0|VEMS_E_08_06281_004.01
Vcpe_learning_finished|0|VEMS_E_08_06281_003.01
VlvAct_bAcvExServo|0|VEMS_E_08_06281_003.01
VlvAct_bAcvExServo|0|VEMS_E_08_06281_004.01
VlvAct_bAcvExServo|0|VEMS_E_08_06281_005.01
VlvAct_bAcvExServoWithActrTest|0|VEMS_E_08_06281_005.01
VlvAct_bAcvExServoWithActrTest|0|VEMS_E_08_06281_004.01
VlvAct_bAcvExServoWithActrTest|0|VEMS_E_08_06281_003.01
Kfvcpe_set_edge_count|0|VEMS_R_08_06281_002.01
VlvAct_agCmExPosnEstimHiLim_C|0|VEMS_R_08_06281_001.01
VlvAct_agCmExPosnEstimHiLim_C|0|VEMS_R_08_06281_002.01
VlvAct_agCmExPosnEstimLoLim_C|0|VEMS_R_08_06281_001.01
VlvAct_agCmExPosnEstimLoLim_C|0|VEMS_R_08_06281_002.01
VlvAct_ExHiEndStopHld_C|0|VEMS_R_08_06281_001.01
VlvAct_ExHiEndStopHld_C|0|VEMS_R_08_06281_002.01
VlvAct_ExLoEndStopHld_C|0|VEMS_R_08_06281_001.01
VlvAct_ExLoEndStopHld_C|0|VEMS_R_08_06281_002.01
Vta_exhaust_band|0|VEMS_R_08_06281_001.01
Vta_exhaust_band|0|VEMS_R_08_06281_002.01
Vta_exhaust_der_mod|0|VEMS_R_08_06281_001.01
Vta_exhaust_der_mod|0|VEMS_R_08_06281_002.01
Vta_exhaust_gain_hb|0|VEMS_R_08_06281_001.01
Vta_exhaust_der_gain_down_map|0|VEMS_E_08_06281_004.01
Vta_exhaust_der_gain_down_map|0|VEMS_E_08_06281_005.01
Vta_exhaust_der_gain_map|0|VEMS_E_08_06281_005.01
Vta_exhaust_der_gain_map|0|VEMS_E_08_06281_004.01
Vta_exhaust_der_gain_map|0|VEMS_E_08_06281_003.01
Vta_exhaust_gain_hb|0|VEMS_E_08_06281_003.01
Vta_exhaust_gain_hb|0|VEMS_E_08_06281_004.01
Vta_exhaust_gain_hb|0|VEMS_E_08_06281_005.01
Vta_exhaust_n_gain_bkpt|0|VEMS_E_08_06281_003.01
Vta_exhaust_n_gain_bkpt|0|VEMS_E_08_06281_004.01
Vta_exhaust_n_gain_bkpt|0|VEMS_E_08_06281_005.01
Vta_exhaust_int_gain_map|0|VEMS_E_08_06281_005.01
Vta_exhaust_int_gain_map|0|VEMS_E_08_06281_004.01
Vta_exhaust_int_gain_map|0|VEMS_E_08_06281_003.01
Vta_exhaust_prop_gain_Down_map|0|VEMS_E_08_06281_003.01
Vta_exhaust_prop_gain_Down_map|0|VEMS_E_08_06281_004.01
Vta_exhaust_prop_gain_Down_map|0|VEMS_E_08_06281_005.01
Vta_exhaust_prop_gain_Down_map|0|VEMS_R_08_06281_001.01
Cbx_vvtc_pwm_bch2|0|VEMS_E_08_06281_003.01
Cbx_vvtc_pwm_bch2|0|VEMS_E_08_06281_004.01
Cbx_vvtc_pwm_bch2|0|VEMS_E_08_06281_005.01
Cxx_vvtc_pwm_bch2|0|VEMS_E_08_06281_005.01
Cxx_vvtc_pwm_bch2|0|VEMS_E_08_06281_004.01
Cxx_vvtc_pwm_bch2|0|VEMS_E_08_06281_003.01
Kfvcpe_initial_current_int|0|VEMS_E_08_06281_003.01
Kfvcpe_initial_current_int|0|VEMS_E_08_06281_004.01
Kfvcpe_initial_current_int|0|VEMS_E_08_06281_005.01
Kfvcpe_initial_int_step_size|0|VEMS_E_08_06281_005.01
Kfvcpe_initial_int_step_size|0|VEMS_E_08_06281_004.01
Kfvcpe_initial_int_step_size|0|VEMS_E_08_06281_003.01
Kfvcpe_noise_learn_count|0|VEMS_E_08_06281_003.01
Vta_exhaust_prop_gain_Down_map|0|VEMS_R_08_06281_002.01
Vta_exhaust_prop_gain_map|0|VEMS_E_08_06281_005.01
Vta_exhaust_prop_gain_map|0|VEMS_E_08_06281_004.01
Vta_exhaust_prop_gain_map|0|VEMS_E_08_06281_003.01
Kfvcpe_noise_learn_count|0|VEMS_E_08_06281_004.01
