Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acquisition_angle_vilb_aac_adm|uint16|HEADER|1|0|0|Acquisition_angle_vilb_aac_adm|0|0|Phys|°Crk|1|1/64|0|Divers|Divers||Acquisition_angle_vilb_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0|
Acquisition_etat_aac_adm|boolean|HEADER|1|0|0|Acquisition_etat_aac_adm|0|0|Phys|bool|2|0||Divers|Divers||Acquisition_etat_aac_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Acquisition_temps_dents_aac_adm|uint32|HEADER|1|0|0|Acquisition_temps_dents_aac_adm|0|0|Phys|ns|1|200|0|Divers|Divers||Acquisition_temps_dents_aac_adm||1||||||||0|1||||1|0|0||0|0|4294967295|0|858993459000|0|
CRKHAL_u16NB_PHYS_TEETH_PSA|uint8|HEADER|1|0|0|CRKHAL_u16NB_PHYS_TEETH_PSA|0|0|Phys|-|||||||CRKHAL_u16NB_PHYS_TEETH_PSA||3||||||||0|1|||58|0|0|0||0|||||0|
Ctrl_bCmInAcq|boolean|HEADER|1|0|0|Ctrl_bCmInAcq|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bCmInAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|1|||Divers|Divers||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|0|1|||0|
Eng_noCmbCyl|uint8|HEADER|1|0|0|Eng_noCmbCyl|0|0|Phys|-|1|1|0|Divers|Divers||Eng_noCmbCyl||1||||||||0|1||||1|0|0||0|1|6|1|6|0|
EVC_CYCLE_LENGHT_IN|sint32|VLVACTINACQ|1|0|0|EVC_CYCLE_LENGHT_IN|0|0|Phys|-|||||||EVC_CYCLE_LENGHT_IN||3||||||||0|1|||(64*2*(CRKHAL_u16NB_PHYS_TEETH_PSA+2))|0|0|0||0|||||0|
Ext_agCmInMes|uint16|VLVACTINACQ|1|0|0|Ext_agCmInMes|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_In|VVT_Acq_In||Ext_agCmInMes||1||||||||0|1||||1|0|0||0|0|7679|0|719.90625|0|
Ext_agCmInMesTbl|uint16|VLVACTINACQ|0|1|4|Ext_agCmInMesTbl|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_In|VVT_Acq_In||Ext_agCmInMesTbl||1||*||*||*||0|1||||0|0|0||0|0|7679|0|719.90625|0|
Ext_agCmInMesTbl_1|uint16|VLVACTINACQ|0|0|0|Ext_agCmInMesTbl|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_In|VVT_Acq_In||Ext_agCmInMesTbl_1||1||||||||0|1||||1|0|0||0|0|7679|0|719.90625|0|
Ext_agCmInMesTbl_2|uint16|VLVACTINACQ|0|0|0|Ext_agCmInMesTbl|2|0|Phys|°Vil|1|6/64|0|VVT_Acq_In|VVT_Acq_In||Ext_agCmInMesTbl_2||1||||||||0|1||||1|0|0||0|0|7679|0|719.90625|0|
