Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Code_test_action|uint8|HEADER|1|0|0|Code_test_action|0|0|Phys|-|1|1|0|SRV|SRV||Code_test_action||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
CODE_TEST_VVT_ADM|uint8|HEADER|1|0|0|CODE_TEST_VVT_ADM|0|0|Phys|-|||||||CODE_TEST_VVT_ADM||3||||||||0|1|||222|0|0|0||0|||||0|
Srv_bActrTstEna|boolean|HEADER|1|0|0|Srv_bActrTstEna|0|0|Phys|bool|2|0||SRV|SRV||Srv_bActrTstEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Srv_bActrTstInVVTEna|boolean|VLVACTINACTRTEST|1|0|0|Srv_bActrTstInVVTEna|0|0|Phys|bool|2|0||SRV|SRV||Srv_bActrTstInVVTEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_END|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|11|Phys|bool|2|11||Divers|Divers||VLV_INACTRTST_END||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_IDLE|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|12|Phys|bool|2|12||Divers|Divers||VLV_INACTRTST_IDLE||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_PHASE1|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|1|Phys|bool|2|1||Divers|Divers||VLV_INACTRTST_PHASE1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_PHASE10|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|10|Phys|bool|2|10||Divers|Divers||VLV_INACTRTST_PHASE10||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_PHASE2|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|2|Phys|bool|2|2||Divers|Divers||VLV_INACTRTST_PHASE2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
VLV_INACTRTST_PHASE3|bool|VLVACTINACTRTEST|1|0|0|VlvAct_stInActrTst|0|3|Phys|bool|2|3||Divers|Divers||VLV_INACTRTST_PHASE3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
