Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Autorisation_pwm_adm|boolean|VLVACTINCMD|0|0|0|Autorisation_pwm_adm|0|0|Phys|bool|2|0||VVT_Acq_In|VVT_Acq_In||Autorisation_pwm_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
BATT_LINEAR|uint8|VLVACTINCMD|1|0|0|BATT_LINEAR|0|1||||||VVT_Acq_In|VVT_Acq_In||BATT_LINEAR||3||||||||0|1|||1|0|0|0||0|0|1|0|1|0|
BATT_OFF|uint8|VLVACTINCMD|1|0|0|BATT_OFF|0|0||||||VVT_Acq_In|VVT_Acq_In||BATT_OFF||3||||||||0|1|||0|0|0|0||0|0|0|0|0|0|
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Commande_vvt_adm_pwm_rco|uint16|VLVACTINCMD|1|0|0|Commande_vvt_adm_pwm_rco|0|0|Phys|%|1|100/32768|0|Divers|Divers||Commande_vvt_adm_pwm_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0|
Consigne_rco_vvt_adm_max|uint8|VLVACTINCMD|1|0|0|Consigne_rco_vvt_adm_max|0|0|Phys|%|1|100/256|0|VVT_Acq_In|VVT_Acq_In||Consigne_rco_vvt_adm_max||2|||||||PTS_DOC_6588664|1|1||||1|0|0|Bornage haut de la valeur de consigne de RCO admission|0|0|255|0|99.609375|0|
Consigne_rco_vvt_adm_min|uint8|VLVACTINCMD|1|0|0|Consigne_rco_vvt_adm_min|0|0|Phys|%|1|100/256|0|VVT_Acq_In|VVT_Acq_In||Consigne_rco_vvt_adm_min||2|||||||PTS_DOC_6588664|1|1||||1|0|0|Bornage bas de la valeur de consigne de RCO admission|0|0|255|0|99.609375|0|
Demande_vvt_adm_dormant|boolean|VLVACTINCMD|0|0|0|Demande_vvt_adm_dormant|0|0|Phys|bool|2|0||VVT_Acq_In|VVT_Acq_In||Demande_vvt_adm_dormant||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_driver_vvt_adm|boolean|HEADER|1|0|0|Dena_oc_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_driver_vvt_adm|boolean|HEADER|1|0|0|Dena_scg_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_driver_vvt_adm|boolean|HEADER|1|0|0|Dena_scp_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dena_scp_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_driver_vvt_adm|boolean|HEADER|1|0|0|Dft_oc_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dft_oc_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_driver_vvt_adm|boolean|HEADER|1|0|0|Dft_scg_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dft_scg_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_driver_vvt_adm|boolean|HEADER|1|0|0|Dft_scp_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dft_scp_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
