Name|Type|Requirement
Frequency_vvt_adm_cal|0|VEMS_R_08_05879_002.01
Frequency_vvt_adm_cal|0|VEMS_R_08_05879_003.01
Frequency_vvt_adm_cal|0|VEMS_R_08_05879_004.01
Frequency_vvt_adm_cal|0|VEMS_R_08_05879_007.01
Frequency_vvt_adm_cal|0|VEMS_R_08_05879_009.01
Rco_applique_vvt_adm|0|VEMS_R_08_05879_002.01
Rco_applique_vvt_adm|0|VEMS_R_08_05879_003.01
Rco_applique_vvt_adm|0|VEMS_R_08_05879_004.01
Rco_applique_vvt_adm|0|VEMS_R_08_05879_007.01
Consigne_rco_vvt_adm_max|0|VEMS_R_08_05879_002.01
Consigne_rco_vvt_adm_max|0|VEMS_R_08_05879_003.01
Consigne_rco_vvt_adm_max|0|VEMS_R_08_05879_004.01
Consigne_rco_vvt_adm_max|0|VEMS_R_08_05879_007.01
Consigne_rco_vvt_adm_max|0|VEMS_R_08_05879_009.01
Consigne_rco_vvt_adm_min|0|VEMS_R_08_05879_002.01
Consigne_rco_vvt_adm_min|0|VEMS_R_08_05879_003.01
Consigne_rco_vvt_adm_min|0|VEMS_R_08_05879_004.01
Consigne_rco_vvt_adm_min|0|VEMS_R_08_05879_007.01
Consigne_rco_vvt_adm_min|0|VEMS_R_08_05879_009.01
Kevcpi_u_voltage_comp|0|VEMS_R_08_05879_002.01
Kevcpi_u_voltage_comp|0|VEMS_R_08_05879_003.01
Kevcpi_u_voltage_comp|0|VEMS_R_08_05879_004.01
Kevcpi_u_voltage_comp|0|VEMS_R_08_05879_007.01
Kevcpi_u_voltage_comp|0|VEMS_R_08_05879_009.01
Kfvcpi_u_reference_voltage|0|VEMS_R_08_05879_002.01
Kfvcpi_u_reference_voltage|0|VEMS_R_08_05879_003.01
Kfvcpi_u_reference_voltage|0|VEMS_R_08_05879_004.01
Kfvcpi_u_reference_voltage|0|VEMS_R_08_05879_007.01
Kfvcpi_u_reference_voltage|0|VEMS_R_08_05879_009.01
Sens_rco_vvt_adm|0|VEMS_R_08_05879_002.01
Sens_rco_vvt_adm|0|VEMS_R_08_05879_003.01
Sens_rco_vvt_adm|0|VEMS_R_08_05879_004.01
Sens_rco_vvt_adm|0|VEMS_R_08_05879_007.01
VlvAct_EveRst_InCmd|1|VEMS_R_08_05879_002.01
VlvAct_EveRst_InCmd|1|VEMS_R_08_05879_003.01
Rco_applique_vvt_adm|0|VEMS_R_08_05879_009.01
Sens_rco_vvt_adm|0|VEMS_R_08_05879_009.01
Seuil_maxi_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_002.01
Seuil_maxi_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_003.01
Seuil_maxi_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_004.01
Seuil_maxi_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_007.01
Seuil_maxi_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_009.01
Seuil_mini_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_002.01
Seuil_mini_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_003.01
Seuil_mini_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_004.01
Seuil_mini_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_007.01
Seuil_mini_vbatt_activ_vvt_adm|0|VEMS_R_08_05879_009.01
Commande_vvt_adm_pwm_rco|0|VEMS_R_08_05879_002.01
Commande_vvt_adm_pwm_rco|0|VEMS_R_08_05879_003.01
Commande_vvt_adm_pwm_rco|0|VEMS_R_08_05879_004.01
Commande_vvt_adm_pwm_rco|0|VEMS_R_08_05879_007.01
Commande_vvt_adm_pwm_rco|0|VEMS_R_08_05879_009.01
VlvAct_EveRst_InCmd|1|VEMS_R_08_05879_004.01
VlvAct_EveRst_InCmd|1|VEMS_R_08_05879_007.01
VlvAct_EveRst_InCmd|1|VEMS_R_08_05879_009.01
VlvAct_SdlFast_InCmd|1|VEMS_R_08_05879_002.01
VlvAct_SdlFast_InCmd|1|VEMS_R_08_05879_003.01
VlvAct_SdlFast_InCmd|1|VEMS_R_08_05879_004.01
VlvAct_SdlFast_InCmd|1|VEMS_R_08_05879_007.01
VlvAct_SdlFast_InCmd|1|VEMS_R_08_05879_009.01
VlvAct_SdlMid_InCmd|1|VEMS_R_08_05879_002.01
VlvAct_SdlMid_InCmd|1|VEMS_R_08_05879_003.01
VlvAct_SdlMid_InCmd|1|VEMS_R_08_05879_004.01
VlvAct_SdlMid_InCmd|1|VEMS_R_08_05879_007.01
VlvAct_SdlMid_InCmd|1|VEMS_R_08_05879_009.01
VLVACTINCMD_vidDiagnostic|1|VEMS_R_08_05879_005.01
VLVACTINCMD_vidDiagnostic|1|VEMS_R_08_05879_006.01
VLVACTINCMD_vidPwmCommand|1|VEMS_R_08_05879_001.01
VLVACTINCMD_vidPwmCommand|1|VEMS_R_08_05879_008.01
