Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|B|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_tenuGetStDgo|C|func_GDGAR_tenuGetStDgo|3|HEADER|1|NONE||||0|0|0|0|Value of the GDU states|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0|API permettant d'appeler la fonction de gestion du GDU. Elle verifie les paramètres passés en arguments et si il y un problème, elle sort sans executer la fonction.|
VlvAct_EveCkSnOn_InEndStop|K|();|SCH.4|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Evénement de synchronisation|
VlvAct_EveInCmToo_InEndStop|L|();|SCH.5|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Evènement dent AAC  admission.|
VlvAct_EveKOn_InEndStop|K|();|SCH.2|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Evénement associé au passage de clef OFF à clef ON|
VlvAct_EvePwrl_InEndStop|D|();|SCH.8|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Evénement powerlatch|
VlvAct_EveRst_InEndStop|J|();|SCH.1|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Evènement reset du calculateur.|
VlvAct_EveRstVVT_InEndStop|D|();|SCH.7|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Runnable Demande de reset apprentissage VVT.|
VlvAct_SdlFast_InEndStop|I|();|SCH.6|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Moniteur rapide pour la fonction VVT.|
VlvAct_SdlSlow_InEndStop|K|();|SCH.3|VLVACTINENDSTOP|1|PTS_DOC_5883893||||0|0|0|0|Moniteur Lent pour la fonction VVT|
VLVACTINENDSTOP_IntOffIndUpdate|C|();|FCT2.10|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Mise à jour de l'etat de l'apprentissage des butées de l'AAC admission|
VLVACTINENDSTOP_IntOffIndUpdate1|F|();|FCT3.2|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Cette fonction permet le forçage à 1 de l'indicateur Vcpi_cam_offsets_are_learned lorsque les conditions d'apprentissage sont perdues.|
VLVACTINENDSTOP_vidEepromWrite|C|();|FCT3.1|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Fonction d'écriture dans EEPROM|
VLVACTINENDSTOP_vidFrstOffLrnCon|K|();|FCT2.9|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Le premier apprentissage est réalisé si et seulement si plusieurs conditions (température  et pression d’huile, température d’eau, régime et pas de mode dégradé pour la VVT  admission)  sont réalisées.|
VLVACTINENDSTOP_vidFrtLrnWtDfCpt|B|();|FCT3.3|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Cette fonction est active si la variable FRM_bInhVlvActInFrstLrnIdc prend 0.|
VLVACTINENDSTOP_vidInitDiagSrv|D|();|FCT1.10|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Ce bloc procède à l’initialisation des variables suivantes suite à une demande APV : - Valeur apprentissage butée basse déphaseur AAC admission - Etat apprentissage déphaseur AAC admission - Etat apprentissage roulage en cours admission|
VLVACTINENDSTOP_vidInitFailure|D|();|FCT1.2|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Les pannes VVT présentes sont initialisées sur clé off-on afin de ne pas rester figées entre le clé on et le démarrage du moteur.|
VLVACTINENDSTOP_vidInitOutput|G|();|FCT1.1|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Initialisation des sorties au reset.|
VLVACTINENDSTOP_vidInOffReset|F|();|FCT1.9|VLVACTINENDSTOP|0|PTS_DOC_5883893||||0|0|0|0|Intake offset reset.|
