Name|Type|Requirement
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_003.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_015.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_016.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_017.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_018.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_019.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_020.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_021.01
VlvAct_agInMesLrnLim_C|0|VEMS_R_08_06255_022.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_001.02
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_014.01
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_015.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_008.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_012.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_013.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_014.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_015.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_016.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_017.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_018.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_019.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_020.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_021.01
VlvAct_bInLrnEndStopLimEna_C|0|VEMS_R_08_06255_022.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_001.02
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_008.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_012.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_013.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_014.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_020.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_016.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_019.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_007.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_009.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_011.001
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_012.001
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_001.02
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_008.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_012.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_013.001
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_014.001
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_015.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_016.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_017.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_018.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_019.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_020.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_021.01
VlvAct_bInLrnFrstOfsAuthByp_C|0|VEMS_R_08_06255_022.01
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_001.02
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_008.01
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_012.01
VlvAct_bInLrnFrstOfsAuthMan_C|0|VEMS_R_08_06255_013.01
VlvAct_bInOfsFrstLrnMan_C|0|VEMS_R_08_06255_022.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_001.02
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_008.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_013.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_001.02
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_018.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_012.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_015.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_008.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_E_08_06255_024.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_017.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_001.02
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_008.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_012.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_013.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_014.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_015.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_016.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_017.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_018.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_019.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_020.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_021.01
VlvAct_bInOfsClcnInh|0|VEMS_R_08_06255_022.01
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_001.02
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_008.01
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_012.01
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_013.01
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_014.01
VlvAct_bInOfsFrstLrn|0|VEMS_R_08_06255_015.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_001.02
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_0012.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_008.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_013.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_014.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_015.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_016.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_017.01
Ext_stAgCmInFrstAdapt_eep|0|VEMS_R_08_06255_018.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_012.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_013.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_014.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_015.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_016.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_017.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_018.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_015.001
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_016.001
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_016.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_09_02065_019.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_003.01
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_007.01
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_009.01
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_011.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_012.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_013.001
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_013.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_014.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_015.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_016.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_017.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_018.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_019.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_020.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_021.01
Ext_stAgCmInAdapt|0|VEMS_R_08_06255_022.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_001.02
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_008.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_012.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_013.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_014.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_015.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_016.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_017.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_018.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_019.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_020.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_021.01
Ext_stAgCmInFrstAdapt|0|VEMS_R_08_06255_022.01
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_014.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_015.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_016.001
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_016.01
Vta_intake_learning_reg_max|0|VEMS_R_09_02065_019.001
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_001.02
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_0012.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_008.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_013.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_014.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_019.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_020.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_021.01
VlvAct_CtInLrnEndStopRelzdThd_C|0|VEMS_R_08_06255_022.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_001.02
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_008.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_012.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_013.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_014.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_015.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_016.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_017.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_018.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_019.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_020.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_021.01
Kcvcpi_learn_zero_offsets|0|VEMS_R_08_06255_022.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_001.02
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_008.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_012.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_013.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_014.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_015.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_016.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_017.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_018.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_015.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_016.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_017.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_018.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_019.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_020.01
VlvAct_bInLrnEndStopEna_C|0|VEMS_R_08_06255_021.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_019.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_020.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_021.01
Kfvcpi_k_offset_filter|0|VEMS_R_08_06255_022.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_001.02
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_008.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_012.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_013.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_014.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_015.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_016.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_017.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_018.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_019.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_020.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_021.01
Kfvcpi_t_offset_learn_delay|0|VEMS_R_08_06255_022.01
Kfvcpi_t_zero_set_time|0|VEMS_R_08_06255_001.02
Kfvcpi_t_zero_set_time|0|VEMS_R_08_06255_008.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_E_08_06255_025.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_021.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_E_08_06255_026.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_014.01
VlvAct_EveCkSnOn_InEndStop|1|VEMS_R_08_06255_022.01
