Name|Type|Requirement
VlvAct_InCmPosnOfs|0|VEMS_R_08_07049_019.01
VlvAct_InCmSpMax|0|VEMS_R_08_07049_019.01
VlvAct_InCmSpMin|0|VEMS_R_08_07049_019.01
VlvAct_SdlFast_InIf|1|VEMS_R_08_07049_019.01
VlvAct_SdlFast_InIf|1|VEMS_R_08_07049_019.02
VLVACTINIF_vidEntryInit|1|VEMS_R_08_07049_019.02
Ext_agCkOpInVlvEstimRef0|0|VEMS_R_08_06183_002.01
Ext_agCkOpInVlvEstimRef0|0|VEMS_R_08_06183_003.01
VlvAct_agCkOpInVlvReqRef0Max|0|VEMS_R_08_06183_002.01
VlvAct_agCkOpInVlvReqRef0Max|0|VEMS_R_08_06183_003.01
VlvAct_agCkOpInVlvReqRef0Min|0|VEMS_R_08_06183_002.01
VlvAct_prm_agCkOpInVlvMax|0|VEMS_R_08_06183_002.01
VlvAct_agInMaxSlopVlvSpPos_C|0|VEMS_R_08_06183_002.01
VlvAct_agInMinSlopVlvSpPos_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmRefOfs_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmRefOfs_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkInCmSpMax_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmSpMax_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkInCmSpMin_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmSpMin_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkInCmToothOfsMax_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmToothOfsMax_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThd_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThd_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdHys_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdHys_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdHysInf_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdHysInf_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdMax_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdMax_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdMaxHys_C|0|VEMS_R_08_06183_002.01
VlvAct_EveInCmToo_InIf|1|VEMS_R_08_06183_002.01
VlvAct_EveInCmToo_InIf|1|VEMS_R_08_06183_003.01
VLVACTINIF_vidEntryInit|1|VEMS_R_08_06183_002.01
Vxx_vvtc_in_angl_sp|0|VEMS_R_08_06183_002.01
Vxx_vvtc_in_angl_sp|0|VEMS_R_08_06183_003.01
VlvAct_prm_agCkOpInVlvMax|0|VEMS_R_08_06183_003.01
VlvAct_agCkOpInVlvReqRef0Min|0|VEMS_R_08_06183_003.01
VlvAct_agCkInCmVlvActOfs|0|VEMS_R_08_06183_002.01
VlvAct_agCkInCmVlvActOfs|0|VEMS_R_08_06183_003.01
Ext_agCkOpInVlvEstimRef0Ini_C|0|VEMS_R_08_06183_002.01
Ext_agCkOpInVlvEstimRef0Ini_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkOpInVlvReqRef0Max_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkOpInVlvReqRef0Max_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkOpInVlvReqRef0Min_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkOpInVlvReqRef0Min_C|0|VEMS_R_08_06183_003.01
VlvAct_agInLihPos_C|0|VEMS_R_08_06183_002.01
VlvAct_agInLihPos_C|0|VEMS_R_08_06183_003.01
VlvAct_agInMaxSlopVlvSpPos_C|0|VEMS_R_08_06183_003.01
VlvAct_agInMinSlopVlvSpPos_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdHi_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdHi_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdHiHys_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdHiHys_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdLo_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdMaxHys_C|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntThdMaxHys1_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntThdMaxHys1_C|0|VEMS_R_08_06183_003.01
VlvAct_bInCmVlvActOfsEna_C|0|VEMS_R_08_06183_002.01
VlvAct_bInCmVlvActOfsEna_C|0|VEMS_R_08_06183_003.01
Vxx_vvtc_in_angl_sp_cal|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdLo_C|0|VEMS_R_08_06183_003.01
VlvAct_EveRst_InIf|1|VEMS_R_08_06183_002.01
VlvAct_EveRst_InIf|1|VEMS_R_08_06183_003.01
VlvAct_SdlFast_InIf_1|1|VEMS_R_08_06183_002.01
VlvAct_SdlFast_InIf_1|1|VEMS_R_08_06183_003.01
VlvAct_bInSpFuncIntlHiOutIdc|0|VEMS_R_08_06183_002.01
VlvAct_bInSpFuncIntlHiOutIdc|0|VEMS_R_08_06183_003.01
VlvAct_bInSpFuncIntlLoOutIdc|0|VEMS_R_08_06183_002.01
VlvAct_bInSpFuncIntlLoOutIdc|0|VEMS_R_08_06183_003.01
VlvSys_bAcvInVlvBedMod_C|0|VEMS_R_08_06183_002.01
VlvSys_bAcvInVlvBedMod_C|0|VEMS_R_08_06183_003.01
VlvAct_bInhDiagPresScav|0|VEMS_R_08_06183_002.01
VlvAct_bInhDiagPresScav|0|VEMS_R_08_06183_003.01
VlvAct_prm_agCkOpInVlvBol|0|VEMS_R_08_06183_002.01
VlvAct_prm_agCkOpInVlvBol|0|VEMS_R_08_06183_003.01
VlvAct_agInSpFuncIntlThdLoHys_C|0|VEMS_R_08_06183_002.01
VlvAct_agInSpFuncIntlThdLoHys_C|0|VEMS_R_08_06183_003.01
VlvAct_bInSelDefPos_C|0|VEMS_R_08_06183_002.01
VlvAct_bInSelDefPos_C|0|VEMS_R_08_06183_003.01
VlvAct_tiInLihPosDly_C|0|VEMS_R_08_06183_002.01
VlvAct_tiInLihPosDly_C|0|VEMS_R_08_06183_003.01
VlvAct_agCkInExVlvDif_T|0|VEMS_R_08_06183_002.01
VlvAct_agCkInExVlvDif_T|0|VEMS_R_08_06183_003.01
Vxx_vvtc_in_angl_sp_cal|0|VEMS_R_08_06183_003.01
Vxx_vvtc_in_angl_test_bed|0|VEMS_R_08_06183_002.01
Vxx_vvtc_in_angl_test_bed|0|VEMS_R_08_06183_003.01
VlvAct_bInhDiagPresScavIdc_C|0|VEMS_R_08_06183_002.01
VlvAct_bInhDiagPresScavIdc_C|0|VEMS_R_08_06183_003.01
VlvAct_pInhDiagPresScavDif_M|0|VEMS_R_08_06183_002.01
VlvAct_pInhDiagPresScavDif_M|0|VEMS_R_08_06183_003.01
VlvAct_tiDlyInhDiagPresScavOff_C|0|VEMS_R_08_06183_002.01
VlvAct_agCkOpInVlvReqRef0|0|VEMS_R_08_06183_002.01
VlvAct_agCkOpInVlvReqRef0|0|VEMS_R_08_06183_003.01
VlvAct_bCmdInServoLocLop|0|VEMS_R_08_06183_002.01
VlvAct_bCmdInServoLocLop|0|VEMS_R_08_06183_003.01
VlvAct_tiDlyInhDiagPresScavOff_C|0|VEMS_R_08_06183_003.01
VlvAct_SdlFast_InIf_2|1|VEMS_R_08_06183_002.01
VlvAct_SdlFast_InIf_2|1|VEMS_R_08_06183_003.01
VlvAct_SdlFast_InIf_3|1|VEMS_R_08_06183_002.01
VlvAct_SdlFast_InIf_3|1|VEMS_R_08_06183_003.01
VLVACTINIF_vidVVTPosition|1|VEMS_R_08_06183_004.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_E_08_06183_007.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_E_08_06183_008.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_E_08_06183_009.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_E_08_06183_010.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_R_08_06183_001.02
VLVACTINIF_vidVVTSetpoint|1|VEMS_R_08_06183_005.01
VLVACTINIF_vidVVTSetpoint|1|VEMS_R_08_06183_006.01
