Name|Type|Requirement
VlvAct_bInClnEna|0|VEMS_R_08_07174_008.01
VlvAct_bInClnEna|0|VEMS_R_08_07174_010.01
VlvAct_bInClnEna|0|VEMS_R_08_07174_011.01
VlvAct_bInCmdAuth|0|VEMS_R_08_07174_008.01
VlvAct_bInCmdAuth|0|VEMS_R_08_07174_010.01
VlvAct_bInCmdAuth|0|VEMS_R_08_07174_011.01
VlvAct_bInEngStopAuth|0|VEMS_R_08_07174_008.01
VlvAct_bInEngStopAuth|0|VEMS_R_08_07174_010.01
VlvAct_bInEngStopAuth|0|VEMS_R_08_07174_011.01
VlvAct_bInLrnEna|0|VEMS_R_08_07174_008.01
VlvAct_bInLrnEna|0|VEMS_R_08_07174_010.01
VlvAct_bInLrnEna|0|VEMS_R_08_07174_011.01
VlvAct_bInMngClnBenchEna_C|0|VEMS_R_08_07174_008.01
VlvAct_bInMngClnBenchEna_C|0|VEMS_R_08_07174_010.01
VlvAct_bInMngClnBenchEna_C|0|VEMS_R_08_07174_011.01
VlvAct_bInMngLrnStEna|0|VEMS_R_08_07174_008.01
VlvAct_bInMngLrnStEna|0|VEMS_R_08_07174_010.01
VlvAct_bInMngLrnStEna|0|VEMS_R_08_07174_011.01
VlvAct_bInMngServoStEna|0|VEMS_R_08_07174_008.01
VlvAct_bInMngServoStEna|0|VEMS_R_08_07174_010.01
VlvAct_bInMngServoStEna|0|VEMS_R_08_07174_011.01
VlvAct_bInMngUnlckStEna_C|0|VEMS_R_08_07174_008.01
VlvAct_bInMngUnlckStEna_C|0|VEMS_R_08_07174_010.01
VlvAct_bInMngUnlckStEna_C|0|VEMS_R_08_07174_011.01
VlvAct_bInServoEna|0|VEMS_R_08_07174_008.01
VlvAct_bInServoEna|0|VEMS_R_08_07174_010.01
VlvAct_bInServoEna|0|VEMS_R_08_07174_011.01
VlvAct_InEngStopCmdThd_C|0|VEMS_R_08_07174_008.01
VlvAct_InEngStopCmdThd_C|0|VEMS_R_08_07174_010.01
VlvAct_InEngStopCmdThd_C|0|VEMS_R_08_07174_011.01
VlvAct_InEngStopPosnMax_C|0|VEMS_R_08_07174_008.01
VlvAct_InEngStopPosnMax_C|0|VEMS_R_08_07174_010.01
VlvAct_InEngStopPosnMax_C|0|VEMS_R_08_07174_011.01
VLVACTINMNG_vidClnStEnaCdn|1|VEMS_R_08_07174_006.01
VLVACTINMNG_vidEngStopAuth|1|VEMS_R_08_07174_007.01
VLVACTINMNG_vidInitStEnaCdn|1|VEMS_R_08_07174_002.02
