Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Eng_tOilEstim|sint16|HEADER|1|0|0|Eng_tOilEstim|0|0|Phys|°C|1|0.25|0|Structure Couple|Structure Couple||Eng_tOilEstim||1||||||||0|1||||1|0|0||0|-200|800|-50|200|0|
Ext_agCkOpInVlvEstimRef0|sint16|HEADER|1|0|0|Ext_agCkOpInVlvEstimRef0|0|0|Phys|°Vil|1|6/64|0|VVT_Acq_In|VVT_Acq_In||Ext_agCkOpInVlvEstimRef0||1||||||||0|1||||1|0|0||0|-1024|1023|-96|95.90625|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
FRM_FRM_INHVLVACTINMON|uint16|HEADER|1|0|0|FRM_FRM_INHVLVACTINMON|0|0|Phys|-|||||||FRM_FRM_INHVLVACTINMON||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_CMDCVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_CMDCVLVACTIN|0|0|Phys|-|||||||GD_DFT_CMDCVLVACTIN||3||||||||0|1|||2|0|0|0||0|||||0|
GD_DFT_CMDHVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_CMDHVLVACTIN|0|0|Phys|-|||||||GD_DFT_CMDHVLVACTIN||3||||||||0|1|||3|0|0|0||0|||||0|
GD_DFT_DFTCVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_DFTCVLVACTIN|0|0|Phys|-|||||||GD_DFT_DFTCVLVACTIN||3||||||||0|1|||4|0|0|0||0|||||0|
GD_DFT_DFTHVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_DFTHVLVACTIN|0|0|Phys|-|||||||GD_DFT_DFTHVLVACTIN||3||||||||0|1|||5|0|0|0||0|||||0|
GD_DFT_DIFNEG1VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_NEGPOS1VLVACTIN|0|0|Phys|-|||||||GD_DFT_NEGPOS1VLVACTIN||3||||||||0|1|||18|0|0|1||0|||||0|
GD_DFT_DIFNEG2VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_NEGPOS2VLVACTIN|0|0|Phys|-|||||||GD_DFT_NEGPOS2VLVACTIN||3||||||||0|1|||19|0|0|1||0|||||0|
GD_DFT_DIFPOS1VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_DIFPOS1VLVACTIN|0|0|Phys|-|||||||GD_DFT_DIFPOS1VLVACTIN||3||||||||0|1|||16|0|0|1||0|||||0|
GD_DFT_DIFPOS2VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_DIFPOS2VLVACTIN|0|0|Phys|-|||||||GD_DFT_DIFPOS2VLVACTIN||3||||||||0|1|||17|0|0|1||0|||||0|
GD_DFT_ORNGCVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_ORNGCVLVACTIN|0|0|Phys|-|||||||GD_DFT_ORNGCVLVACTIN||3||||||||0|1|||6|0|0|0||0|||||0|
GD_DFT_ORNGHVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_ORNGHVLVACTIN|0|0|Phys|-|||||||GD_DFT_ORNGHVLVACTIN||3||||||||0|1|||7|0|0|0||0|||||0|
GD_DFT_SLOWC1VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_SLOWC1VLVACTIN|0|0|Phys|-|||||||GD_DFT_SLOWC1VLVACTIN||3||||||||0|1|||8|0|0|0||0|||||0|
GD_DFT_SLOWC2VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_SLOWC2VLVACTIN|0|0|Phys|-|||||||GD_DFT_SLOWC2VLVACTIN||3||||||||0|1|||9|0|0|0||0|||||0|
GD_DFT_SLOWH1VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_SLOWH1VLVACTIN|0|0|Phys|-|||||||GD_DFT_SLOWH1VLVACTIN||3||||||||0|1|||10|0|0|0||0|||||0|
GD_DFT_SLOWH2VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_SLOWH2VLVACTIN|0|0|Phys|-|||||||GD_DFT_SLOWH2VLVACTIN||3||||||||0|1|||11|0|0|0||0|||||0|
GD_DFT_STUCKH1VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_STUCKH1VLVACTIN|0|0|Phys|-|||||||GD_DFT_STUCKH1VLVACTIN||3||||||||0|1|||12|0|0|0||0|||||0|
GD_DFT_STUCKH2VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_STUCKH2VLVACTIN|0|0|Phys|-|||||||GD_DFT_STUCKH2VLVACTIN||3||||||||0|1|||13|0|0|0||0|||||0|
GD_DFT_STUCKH3VLVACTIN|uint16|HEADER|1|0|0|GD_DFT_STUCKH3VLVACTIN|0|0|Phys|-|||||||GD_DFT_STUCKH3VLVACTIN||3||||||||0|1|||14|0|0|0||0|||||0|
GD_DFT_STUCKHVLVACTIN|uint16|HEADER|1|0|0|GD_DFT_STUCKHVLVACTIN|0|0|Phys|-|||||||GD_DFT_STUCKHVLVACTIN||3||||||||0|1|||15|0|0|0||0|||||0|
VlvAct_agInVlvAmp|uint8|VLVACTINMON|0|0|0|VlvAct_agInVlvAmp|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvAmp||1||||||||0|1||||1|0|0||0|0|255|0|191.25|0|
VlvAct_agInVlvAmpThdMin_C|uint8|VLVACTINMON|1|0|0|VlvAct_agInVlvAmpThdMin_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvAmpThdMin_C||2|||||||V02 NT 09 06381|1|1||||1|0|0|Seuil min de déphasage délimitant la borne supérieure de la zone décroisée pour le test déphaseur bloqué|0|0|255|0|191.25|0|
VlvAct_agInVlvAmpThdMinC_C|uint8|VLVACTINMON|1|0|0|VlvAct_agInVlvAmpThdMinC_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvAmpThdMinC_C||2|||||||V02 NT 09 06381|1|1||||1|0|0|Seuil min de déphasage pour activer le diagnostic temps de réponse à froid|0|0|255|0|191.25|0|
VlvAct_agInVlvAmpThdMinH_C|uint8|VLVACTINMON|1|0|0|VlvAct_agInVlvAmpThdMinH_C|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvAmpThdMinH_C||2|||||||V02 NT 09 06381|1|1||||1|0|0|Seuil min de déphasage pour activer le diagnostic temps de réponse à chaud|0|0|255|0|191.25|0|
VlvAct_agInVlvC1|sint8|VLVACTINMON|0|0|0|VlvAct_agInVlvC1|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvC1||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agInVlvC2|sint8|VLVACTINMON|0|0|0|VlvAct_agInVlvC2|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvC2||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agInVlvC3|sint8|VLVACTINMON|0|0|0|VlvAct_agInVlvC3|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvC3||1||||||||0|1||||1|0|0||0|-128|127|-96|95.25|0|
VlvAct_agInVlvDifC1|uint8|VLVACTINMON|0|0|0|VlvAct_agInVlvDifC1|0|0|Phys|°Vil|1|3/4|0|Divers|Divers||VlvAct_agInVlvDifC1||1||||||||0|1||||1|0|0||0|0|255|0|191.25|0|
