Name|Type|Requirement
Vta_intake_der_gain|0|VEMS_R_08_07049_032.01
Vta_intake_int_gain|0|VEMS_R_08_07049_032.01
Vta_intake_prop_gain_bkpt|0|VEMS_R_08_07049_032.01
VlvAct_EveCkSnOf_InServo|1|VEMS_R_08_07049_032.01
Vta_intake_width_band_thrust|0|VEMS_R_08_06254_001.01
Consigne_rco_vvt_adm|0|VEMS_R_08_06254_001.01
Consigne_rco_vvt_adm|0|VEMS_R_08_06254_002.01
Vcpi_cam_position_error|0|VEMS_R_08_06254_001.01
Vcpi_cam_position_error|0|VEMS_R_08_06254_002.01
Vcpi_integral_value|0|VEMS_R_08_06254_001.01
Vcpi_integral_value|0|VEMS_R_08_06254_002.01
Vcpi_learning_finished|0|VEMS_R_08_06254_001.01
Vcpi_learning_finished|0|VEMS_R_08_06254_002.01
VlvAct_bAcvInServo|0|VEMS_R_08_06254_001.01
VlvAct_bAcvInServo|0|VEMS_R_08_06254_002.01
Cbx_vvtc_pwm_bch|0|VEMS_R_08_06254_001.01
Cbx_vvtc_pwm_bch|0|VEMS_R_08_06254_002.01
Cxx_vvtc_pwm_bch|0|VEMS_R_08_06254_001.01
Cxx_vvtc_pwm_bch|0|VEMS_R_08_06254_002.01
Kfvcpi_initial_current_int|0|VEMS_R_08_06254_001.01
Kfvcpi_initial_current_int|0|VEMS_R_08_06254_002.01
Kfvcpi_initial_int_step_size|0|VEMS_R_08_06254_001.01
Kfvcpi_initial_int_step_size|0|VEMS_R_08_06254_002.01
Kfvcpi_noise_learn_count|0|VEMS_R_08_06254_001.01
Kfvcpi_noise_learn_count|0|VEMS_R_08_06254_002.01
Kfvcpi_phi_maximum_cam_advance|0|VEMS_R_08_06254_001.01
Kfvcpi_phi_maximum_cam_advance|0|VEMS_R_08_06254_002.01
Kfvcpi_phi_peak_to_peak_noise|0|VEMS_R_08_06254_001.01
Kfvcpi_phi_peak_to_peak_noise|0|VEMS_R_08_06254_002.01
Kfvcpi_set_edge_count|0|VEMS_R_08_06254_001.01
Kfvcpi_set_edge_count|0|VEMS_R_08_06254_002.01
