Name|Type|Requirement
VSCtl_bVSregDeacAcceNotCoh|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacAutBrk|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacBrkPedPress|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacDrvCmd|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacEngNotAvl|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacGBxGearDft|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacGBxLev|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacGear|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacPtOp|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacSecuLvl|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacVehReg|0|VEMS_E_12_04370_002.01
VSCtl_bVSregDeacVhlSpdGap|0|VEMS_E_12_04370_002.01
VSCtl_nEng|0|VEMS_E_12_04370_002.01
VSCtl_noEgdGearCord|0|VEMS_E_12_04370_002.01
VSCtl_rAccP|0|VEMS_E_12_04370_002.01
VSCtl_spdVehVSRegReq|0|VEMS_E_12_04370_002.01
VSCtl_spdVehicle|0|VEMS_E_12_04370_002.01
VSCtl_tiCurVehTmr|0|VEMS_E_12_04370_002.01
VSCTL_EveRst_LstCrsCtlDeacCaus|1|VEMS_E_12_04370_002.01
VSCTL_SdlMid_LstCrsCtlDeacCaus|1|VEMS_E_12_04370_002.01
VSC_vidRecHis|1|VEMS_E_12_04370_001.01
VSC_vidRecLstCrsCtlDeacCaus|1|VEMS_E_12_04370_003.01
VSC_vidRecLstCrsCtlDeacCaus1|1|VEMS_E_12_04370_003.01
VSC_vidRecLstCrsCtlDeacCaus2|1|VEMS_E_12_04370_003.01
VSC_vidRecHis1|1|VEMS_E_12_04370_001.01
VSC_vidRecHis2|1|VEMS_E_12_04370_001.01
