Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Clef_de_contact|boolean|WKU|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clef_de_contact_ss_coh|boolean|WKU|0|0|0|Clef_de_contact_ss_coh|0|0|Phys|bool|2|0||Fonctions annexes|Fonctions annexes||Clef_de_contact_ss_coh||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clef_signal_filt|boolean|HEADER|1|0|0|Clef_signal_filt|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_signal_filt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DIAGCAN_bIntegratioElectronique|boolean|HEADER|1|0|0|DIAGCAN_bIntegratioElectronique|0|0|Phys|bool|2|0||DIAGCAN|DIAGCAN||DIAGCAN_bIntegratioElectronique||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bImmoUnlockWkuSt|boolean|WKU|1|0|0|ECU_bImmoUnlockWkuSt|0|0|Phys|bool|2|0||Divers|Divers||ECU_bImmoUnlockWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bOilWkuSt|boolean|WKU|1|0|0|ECU_bOilWkuSt|0|0|Phys|bool|2|0||Divers|Divers||ECU_bOilWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bPrepIgEngWkuSt|boolean|WKU|1|0|0|ECU_bPrepIgEngWkuSt|0|0|Phys|bool|2|0||Divers|Divers||ECU_bPrepIgEngWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bStopEngCoWkuSt|boolean|WKU|1|0|0|ECU_bStopEngCoWkuSt|0|0|Phys|bool|2|0||Divers|Divers||ECU_bStopEngCoWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bUcapWkuSt|boolean|WKU|1|0|0|ECU_bUcapWkuSt|0|0|Phys|bool|2|0||Cf|Cf||ECU_bUcapWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bWkuChDchaUcap|boolean|WKU|1|0|0|ECU_bWkuChDchaUcap|0|0|Phys|bool|2|0||Divers|Divers||ECU_bWkuChDchaUcap||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bWkuMain|boolean|WKU|1|0|0|ECU_bWkuMain|0|0|Phys|bool|2|0||Divers|Divers||ECU_bWkuMain||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bWkuPtEngStrt|boolean|WKU|1|0|0|ECU_bWkuPtEngStrt|0|0|Phys|bool|2|0||Divers|Divers||ECU_bWkuPtEngStrt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bAcvRcdMod_EcuMng|boolean|HEADER|1|0|0|EcuSt_bAcvRcdMod_EcuMng|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bAcvRcdMod_EcuMng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bDgoF432Lost|boolean|WKU|0|0|0|EcuSt_bDgoF432Lost|0|0|Phys|bool|2|0||pannes|pannes||EcuSt_bDgoF432Lost||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bDgoMainWkuDisrd|boolean|WKU|0|0|0|EcuSt_bDgoMainWkuDisrd|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bDgoMainWkuDisrd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bDgoMainWkuIncst|boolean|WKU|0|0|0|EcuSt_bDgoMainWkuIncst|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bDgoMainWkuIncst||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bEngFanReq|boolean|WKU|0|0|0|EcuSt_bEngFanReq|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bEngFanReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bEngPrep|boolean|WKU|0|0|0|EcuSt_bEngPrep|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bEngPrep||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bImmoUnlockReq|boolean|WKU|0|0|0|EcuSt_bImmoUnlockReq|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bImmoUnlockReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bKeyOffForce|boolean|HEADER|1|0|0|EcuSt_bKeyOffForce|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bKeyOffForce||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bMonRunF432Lost|boolean|WKU|0|0|0|EcuSt_bMonRunF432Lost|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bMonRunF432Lost||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bMonRunMainWkuDisrd|boolean|WKU|0|0|0|EcuSt_bMonRunMainWkuDisrd|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bMonRunMainWkuDisrd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bMonRunMainWkuIncst|boolean|WKU|0|0|0|EcuSt_bMonRunMainWkuIncst|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bMonRunMainWkuIncst||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_bOilMesEng|boolean|WKU|0|0|0|EcuSt_bOilMesEng|0|0|Phys|bool|2|0||Divers|Divers||EcuSt_bOilMesEng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
