Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ADCHAL_ku16HeatingMosOffsDWN|uint16|ADCHAL|1|0|0|ADCHAL_ku16HeatingMosOffsDWN|0|0|Phys|V|1|0.001220703|0|Divers|Divers||ADCHAL_ku16HeatingMosOffsDWN||2|||||||NONE|1|1||||1|0|0||0|||||0|
ADCHAL_ku16HeatingMosOffsUPS|uint16|ADCHAL|1|0|0|ADCHAL_ku16HeatingMosOffsUPS|0|0|Phys|V|1|0.001220703|0|Divers|Divers||ADCHAL_ku16HeatingMosOffsUPS||2|||||||NONE|1|1||||1|0|0||0|||||0|
ADCHAL_ku16ShuntResistorDWN|uint16|ADCHAL|1|0|0|ADCHAL_ku16ShuntResistorDWN|0|0|Phys|mOhm|1|0.0762939453125|0|Divers|Divers||ADCHAL_ku16ShuntResistorDWN||2|||||||NONE|1|1||||1|0|0||0|||||0|
ADCHAL_ku16ShuntResistorUPS|uint16|ADCHAL|1|0|0|ADCHAL_ku16ShuntResistorUPS|0|0|Phys|mOhm|1|0.0762939453125|0|Divers|Divers||ADCHAL_ku16ShuntResistorUPS||2|||||||NONE|1|1||||1|0|0||0|||||0|
ADCHAL_s8BatTrimGain|sint8|ADCHAL|1|0|0|ADCHAL_s8BatTrimGain|0|0|Phys|-|1|1/1024|1|Divers|Divers||ADCHAL_s8BatTrimGain||1||||||||0|1||||1|0|0||0||||||
ADCHAL_s8BatTrimOffset|sint8|ADCHAL|1|0|0|ADCHAL_s8BatTrimOffset|0|0|Phys|-|1|128/1024|0|Divers|Divers||ADCHAL_s8BatTrimOffset||1||||||||0|1||||1|0|0||0||||||
Calibration_debut|uint16|CALIB|0|0|0|Calibration_debut|0|0|Déci|-||||Divers|Divers||Calibration_debut||2|||||||NONE|0|0||||1|0|0||0||||||
Calibration_fin|uint16|CALIB|0|0|0|Calibration_fin|0|0||-||||Divers|Divers||Calibration_fin||4||||||||0|1||||0|0|0||0||||||
Compteur_defaut_except_eep|uint16|KRN|1|0|0|Compteur_defaut_except_eep|0|0|Déci|-||||KRN|KRN||Compteur_defaut_except_eep||4||||||||0|1||||1|0|0||0||||||
Compteur_defaut_pile_eep|uint16|KRN|1|0|0|Compteur_defaut_pile_eep|0|0|Déci|-||||KRN|KRN||Compteur_defaut_pile_eep||4||||||||0|1||||1|0|0||0||||||
ErrorAddress_eep|uint32|KRN|1|0|0|ErrorAddress_eep|0|0|Hexa|-||||KRN|KRN||ErrorAddress_eep||4||||||||0|1||||1|0|0||0||||||
IGNHAL_s8TrimGainOutput_CM_24|sint8|IGNHAL|1|0|0|IGNHAL_s8TrimGainOutput_CM_24|0|0|Déci|-||||Generale|Generale||IGNHAL_s8TrimGainOutput_CM_24||1||||||||0|1||||1|0|0||0||||||
IGNHAL_s8TrimGainOutput_CM_3|sint8|IGNHAL|1|0|0|IGNHAL_s8TrimGainOutput_CM_3|0|0|Déci|-||||Generale|Generale||IGNHAL_s8TrimGainOutput_CM_3||1||||||||0|1||||1|0|0||0||||||
IGNHAL_s8TrimGainOutput_CM_45|sint8|IGNHAL|1|0|0|IGNHAL_s8TrimGainOutput_CM_45|0|0|Déci|-||||Generale|Generale||IGNHAL_s8TrimGainOutput_CM_45||1||||||||0|1||||1|0|0||0||||||
IGNHAL_s8TrimGainOutput_CM_66|sint8|IGNHAL|1|0|0|IGNHAL_s8TrimGainOutput_CM_66|0|0|Déci|-||||Generale|Generale||IGNHAL_s8TrimGainOutput_CM_66||1||||||||0|1||||1|0|0||0||||||
KRN_bFirstCalibChecksumDone|boolean|KRN|0|0|0|KRN_bFirstCalibChecksumDone|0|0|Phys|bool|2|0||Noyau|Noyau||KRN_bFirstCalibChecksumDone||1||||||||0|1||||1|0|0||0||||||<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
KRN_bFirstSoftChecksumDone|boolean|KRN|0|0|0|KRN_bFirstSoftChecksumDone|0|0|Phys|bool|2|0||Noyau|Noyau||KRN_bFirstSoftChecksumDone||1||||||||0|1||||1|0|0||0||||||<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
KRN_bInitTmsChecksumOK|boolean|KRN|0|0|0|KRN_bInitTmsChecksumOK|0|0|Phys|bool|2|0||Noyau|Noyau||KRN_bInitTmsChecksumOK||1||||||||0|1||||1|0|0||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
