Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CAMHAL_bACGInhibitFirstManager|boolean|CAMHAL|0|0|0|CAMHAL_bACGInhibitFirstManager|0|0|Phys|bool|2|0||CAM Management|CAM Management||CAMHAL_bACGInhibitFirstManager||1||||||||0|1||||1|0|1||0||||||<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
CAMHAL_bBackwardRotationDetected|boolean|CAMHAL|0|0|0|CAMHAL_bBackwardRotationDetected|0|0|Phys|bool|2|0||CAM Management|CAM Management||CAMHAL_bBackwardRotationDetected||1||||||||0|1||||1|0|1||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
CAMHAL_bFALLING_EDGE|boolean|CAMHAL|1|0|0|CAMHAL_bFALLING_EDGE|0|0|Phys|bool|2|0||CAM Management|CAM Management||CAMHAL_bFALLING_EDGE||3||||||||0|1|||0|0|0|0||0|||||0|
CAMHAL_bLONG_TOOTH||CAMHAL|0|0|0|CAMHAL_bLONG_TOOTH|0|0||-|||||||CAMHAL_bLONG_TOOTH||3||||||||0|1|||1|0|0|0||0||||||
CAMHAL_bRISING_EDGE|boolean|CAMHAL|1|0|0|CAMHAL_bRISING_EDGE|0|0|Phys|bool|2|0||CAM Management|CAM Management||CAMHAL_bRISING_EDGE||3||||||||0|1|||1|0|0|0||0|||||0|
CAMHAL_bSHORT_TOOTH||CAMHAL|0|0|0|CAMHAL_bSHORT_TOOTH|0|0||-|||||||CAMHAL_bSHORT_TOOTH||3||||||||0|1|||0|0|0|0||0||||||
CAMHAL_TBU_OFFSET||CAMHAL|0|0|0|CAMHAL_TBU_OFFSET|0|0|Phys|-|||||||CAMHAL_TBU_OFFSET||3||||||||0|1|||0x01000000|0|0|0||0||||||
CAMHAL_u16CAM_TOOTH_PER_RESOL||CAMHAL|0|0|0|CAMHAL_u16CAM_TOOTH_PER_RESOL|0|0||-|||||||CAMHAL_u16CAM_TOOTH_PER_RESOL||3||||||||0|1|||200|0|0|0||0||||||
CAMHAL_u16NO_CAMSHAFT|uint16|CAMHAL|0|0|0|CAMHAL_u16NO_CAMSHAFT|0|0||-|||||||CAMHAL_u16NO_CAMSHAFT||3||||||||0|1|||0x01|0|0|0||0|||||0|
CAMHAL_u16NSN_4CYL_CAMSHAFT|uint16|CAMHAL|0|0|0|CAMHAL_u16NSN_4CYL_CAMSHAFT|0|0|Phys|-|||||||CAMHAL_u16NSN_4CYL_CAMSHAFT||3||||||||0|1|||0x02|0|0|0||0|||||0|
CAMHAL_u16PERIOD_ANGLE||CAMHAL|0|0|0|CAMHAL_u16PERIOD_ANGLE|0|0||-|||||||CAMHAL_u16PERIOD_ANGLE||3||||||||0|1|||240*CRKHAL_u16COMMON_ANGLE_RESOL|0|0|0||0||||||
CAMHAL_u16PSA_3CYL_CAMSHAFT|uint16|CAMHAL|0|0|0|CAMHAL_u16PSA_3CYL_CAMSHAFT|0|0|Phys|-|||||||CAMHAL_u16PSA_3CYL_CAMSHAFT||3||||||||0|1|||0x10|0|0|0||0|||||0|
