Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CJ135_ku16RegConfigDsp|uint16|CJ135|0|0|0|CJ135_ku16RegConfigDsp|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegConfigDsp||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegFree|uint16|CJ135|0|0|0|CJ135_ku16RegFree|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegFree||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegIpOff|uint16|CJ135|0|0|0|CJ135_ku16RegIpOff|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegIpOff||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegMode|uint16|CJ135|0|0|0|CJ135_ku16RegMode|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegMode||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegRefpat|uint16|CJ135|0|0|0|CJ135_ku16RegRefpat|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegRefpat||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegSteerpat|uint16|CJ135|0|0|0|CJ135_ku16RegSteerpat|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegSteerpat||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegTrim|uint16|CJ135|0|0|0|CJ135_ku16RegTrim|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegTrim||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego0|uint16|CJ135|0|0|0|CJ135_ku16RegUego0|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego0||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego1|uint16|CJ135|0|0|0|CJ135_ku16RegUego1|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego1||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego2|uint16|CJ135|0|0|0|CJ135_ku16RegUego2|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego2||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego3|uint16|CJ135|0|0|0|CJ135_ku16RegUego3|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego3||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego4|uint16|CJ135|0|0|0|CJ135_ku16RegUego4|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego4||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUego5|uint16|CJ135|0|0|0|CJ135_ku16RegUego5|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUego5||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUnset|uint16|CJ135|0|0|0|CJ135_ku16RegUnset|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUnset||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUp0lean|uint16|CJ135|0|0|0|CJ135_ku16RegUp0lean|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUp0lean||2|||||||NONE|1|1||||1|0|1||0|||||0|
CJ135_ku16RegUp0rich|uint16|CJ135|0|0|0|CJ135_ku16RegUp0rich|0|0|Bin|-||||CJ135|CJ135||CJ135_ku16RegUp0rich||2|||||||NONE|1|1||||1|0|1||0|||||0|
