Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CRKHAL_bAptPtrReset|boolean|CRKHAL|0|0|0|CRKHAL_bAptPtrReset|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bAptPtrReset||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bBwdRotationPhase|boolean|CRKHAL|0|0|0|CRKHAL_bBwdRotationPhase|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bBwdRotationPhase||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bChangeOfMindEnabled|boolean|CRKHAL|0|0|0|CRKHAL_bChangeOfMindEnabled|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bChangeOfMindEnabled||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bDesynchroForcee|boolean|CRKHAL|0|0|0|CRKHAL_bDesynchroForcee|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bDesynchroForcee||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bDesynchroThdEnabled|boolean|CRKHAL|0|0|0|CRKHAL_bDesynchroThdEnabled|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bDesynchroThdEnabled||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bDetected|boolean|CRKHAL|0|0|0|CRKHAL_bDetected|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bDetected||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bDetection|boolean|CRKHAL|0|0|0|CRKHAL_bDetection|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bDetection||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bDirectionChangeDet|boolean|CRKHAL|0|0|0|CRKHAL_bDirectionChangeDet|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bDirectionChangeDet||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bEnaBwdRotationDetection|boolean|CRKHAL|0|0|0|CRKHAL_bEnaBwdRotationDetection|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bEnaBwdRotationDetection||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bEnaLtooSearchAftRestart|boolean|CRKHAL|0|0|0|CRKHAL_bEnaLtooSearchAftRestart|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bEnaLtooSearchAftRestart||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bEnaStopPosAfterCalc|boolean|CRKHAL|0|0|0|CRKHAL_bEnaStopPosAfterCalc|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bEnaStopPosAfterCalc||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bEngPositionKnown|boolean|CRKHAL|0|0|0|CRKHAL_bEngPositionKnown|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bEngPositionKnown||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bEngSynchronized|boolean|CRKHAL|0|0|0|CRKHAL_bEngSynchronized|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bEngSynchronized||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bFirstLtoo1Event|boolean|CRKHAL|0|0|0|CRKHAL_bFirstLtoo1Event|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bFirstLtoo1Event||1||||||||0|1||||1|0|1||0||||||
CRKHAL_bLtooFaultOccur|boolean|CRKHAL|0|0|0|CRKHAL_bLtooFaultOccur|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bLtooFaultOccur||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bMcsFirstEdge|boolean|CRKHAL|0|0|0|CRKHAL_bMcsFirstEdge|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bMcsFirstEdge||1||||||||0|1||||1|0|1||0||||||
CRKHAL_bQuickSynchroEnabled|boolean|CRKHAL|0|0|0|CRKHAL_bQuickSynchroEnabled|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bQuickSynchroEnabled||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bRestartPhase|boolean|CRKHAL|0|0|0|CRKHAL_bRestartPhase|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bRestartPhase||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bRotationDirection|boolean|CRKHAL|0|0|0|CRKHAL_bRotationDirection|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bRotationDirection||1||||||||0|1||||1|0|1||0||||||
CRKHAL_bRunning|boolean|CRKHAL|0|0|0|CRKHAL_bRunning|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bRunning||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bSingularityDetected|boolean|CRKHAL|0|0|0|CRKHAL_bSingularityDetected|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bSingularityDetected||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bStopPosAfterCalculation|boolean|CRKHAL|0|0|0|CRKHAL_bStopPosAfterCalculation|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bStopPosAfterCalculation||1||||||||0|1||||1|0|1||0||||||
CRKHAL_bStopPosCalculation|boolean|CRKHAL|0|0|0|CRKHAL_bStopPosCalculation|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bStopPosCalculation||1||||||||0|1||||1|0|0||0|||||0|
CRKHAL_bSynchroEnable|boolean|CRKHAL|0|0|0|CRKHAL_bSynchroEnable|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bSynchroEnable||1||||||||0|1||||1|0|0||0||||||
CRKHAL_bSynchronized|boolean|CRKHAL|0|0|0|CRKHAL_bSynchronized|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_bSynchronized||1||||||||0|1||||1|0|0||0||||||
CRKHAL_enuCylinderNumber|CRKHAL_tenuCylinderNumber|CRKHAL|0|0|0|CRKHAL_enuCylinderNumber|0|0|Déci|-||||Tooth Management|Tooth Management||CRKHAL_enuCylinderNumber||1||||||||0|1||||1|0|0||0||||||
CRKHAL_enuMode|CRKHAL_tenuMode|CRKHAL|0|0|0|CRKHAL_enuMode|0|0|Phys|-|0|||Tooth Management|Tooth Management||CRKHAL_enuMode||1||||||||0|1||||1|0|0||0||||||
CRKHAL_kbBidirSensorUsed|boolean|CRKHAL|0|0|0|CRKHAL_kbBidirSensorUsed|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||CRKHAL_kbBidirSensorUsed||2|||||||V03 NT 11 04452|1|1||||1|0|0|Bidirectional Sensor is managed if TRUE.|0|||||0|
