Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
KNWHAL_bDigitalWindow|boolean|KNWHAL|0|0|0|KNWHAL_bDigitalWindow|0|0|Phys|bool|2|0||Knock Sensor|Knock Sensor||KNWHAL_bDigitalWindow||1||||||||0|1||||1|0|1||1||||||
KNWHAL_bKnwAcquisitionRunning|boolean|KNWHAL|0|0|0|KNWHAL_bKnwAcquisitionRunning|0|0|Phys|bool|2|0||Knock Sensor|Knock Sensor||KNWHAL_bKnwAcquisitionRunning||1||||||||0|1||||1|0|1||1|||||0|
KNWHAL_bKnwInitialized|boolean|KNWHAL|0|0|0|KNWHAL_bKnwInitialized|0|0|Phys|bool|2|0||Knock Sensor|Knock Sensor||KNWHAL_bKnwInitialized||1||||||||0|1||||1|0|1||0|||||0|
KNWHAL_bKnwModulatorOnWindow|boolean|KNWHAL|0|0|0|KNWHAL_bKnwModulatorOnWindow|0|0|Phys|bool|2|0||Knock Sensor|Knock Sensor||KNWHAL_bKnwModulatorOnWindow||1||||||||0|1||||1|0|1||0|||||0|
KNWHAL_u32SampleTblAddress|uint32|KNWHAL|0|0|0|KNWHAL_u32SampleTblAddress|0|0|Hexa|-||||Knock Sensor|Knock Sensor||KNWHAL_u32SampleTblAddress||1||||||||0|1||||1|0|1||0|||||0|
KNWHAL_u32SampleTblMaxSize|uint32|KNWHAL|0|0|0|KNWHAL_u32SampleTblMaxSize|0|0|Déci|-||||Knock Sensor|Knock Sensor||KNWHAL_u32SampleTblMaxSize||1||||||||0|1||||1|0|1||1|||||0|
KNWHAL_u32SamplingWinIdxTblAddr|uint32|KNWHAL|0|0|0|KNWHAL_u32SamplingWinIdxTblAddr|0|0|Hexa|-||||Knock Sensor|Knock Sensor||KNWHAL_u32SamplingWinIdxTblAddr||1||||||||0|1||||1|0|1||1|||||0|
KNWHAL_u32SamplingWinTblAddress|uint32|KNWHAL|0|0|0|KNWHAL_u32SamplingWinTblAddress|0|0|Hexa|-||||Knock Sensor|Knock Sensor||KNWHAL_u32SamplingWinTblAddress||1||||||||0|1||||1|0|1||1|||||0|
KNWHAL_u8KnockClockDividor|uint8|KNWHAL|0|0|0|KNWHAL_u8KnockClockDividor|0|0|Déci|-||||Knock Sensor|Knock Sensor||KNWHAL_u8KnockClockDividor||1||||||||0|1||||1|0|1||0|||||0|
KNWHAL_u8KnockOverSamplingRate|uint8|KNWHAL|0|0|0|KNWHAL_u8KnockOverSamplingRate|0|0|Déci|-||||Knock Sensor|Knock Sensor||KNWHAL_u8KnockOverSamplingRate||1||||||||0|1||||1|0|1||0|||||0|
KNWHAL_u8SamplingWinIdx|uint8|KNWHAL|0|0|0|KNWHAL_u8SamplingWinIdx|0|0|Déci|-||||Knock Sensor|Knock Sensor||KNWHAL_u8SamplingWinIdx||1||||||||0|1||||1|0|1||1|||||0|
KNWHAL_u8SamplingWinNr|uint8|KNWHAL|0|0|0|KNWHAL_u8SamplingWinNr|0|0|Déci|-||||Knock Sensor|Knock Sensor||KNWHAL_u8SamplingWinNr||1||||||||0|1||||1|0|1||1|||||0|
