Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DGOHAL_bfFAULT_SPI_FAILURE||HEADER|0|0|0|DGOHAL_bfFAULT_SPI_FAILURE|0|0|Phys|-|||||||DGOHAL_bfFAULT_SPI_FAILURE||3||||||||0|1|||2|0|0|0||0|||||0|
DGOHAL_bfVALID_SPI_FAILURE||HEADER|0|0|0|DGOHAL_bfVALID_SPI_FAILURE|0|0|Phys|-|||||||DGOHAL_bfVALID_SPI_FAILURE||3||||||||0|1|||1|0|0|0||0|||||0|
DGOHAL_udtL9781_ASIC_GDI||HEADER|0|0|0|DGOHAL_udtL9781_ASIC_GDI|0|0|Phys|-|||||||DGOHAL_udtL9781_ASIC_GDI||3||||||||0|1|||3|0|0|0||0|||||0|
E_NOT_OK||HEADER|0|0|0|E_NOT_OK|0|0|Phys|-|||||||E_NOT_OK||3||||||||0|1|||0|0|0|0||0|||||0|
E_OK||HEADER|0|0|0|E_OK|0|0|Phys|-|||||||E_OK||3||||||||0|1|||1|0|0|0||0|||||0|
FALSE||HEADER|0|0|0|FALSE|0|0|Phys|-|||||||FALSE||3||||||||0|1|||0|0|0|0||0|||||0|
L9781_abActStatus|boolean|L9781|0|1|L9781_u8NB_BANK|L9781_abActStatus|0|0|Phys|bool|2|0||Injection|Injection||L9781_abActStatus||1||||||||0|1||||1|0|0||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
L9781_abBankLock|boolean|L9781|0|1|L9781_u8NB_BANK|L9781_abBankLock|0|0|Phys|bool|2|0||Injection|Injection||L9781_abBankLock||4||||||||0|1||||1|0|0||0|||||0|
L9781_abFirstDiagRead|boolean|L9781|0|1|L9781_u8NB_ASIC|L9781_abFirstDiagRead|0|0|Phys|bool|2|0||Injection|Injection||L9781_abFirstDiagRead||4||||||||0|1||||1|0|0||0|||||0|
L9781_abIrqActStatus|boolean|L9781|0|1|L9781_u8NB_BANK|L9781_abIrqActStatus|0|0|Phys|bool|2|0||Injection|Injection||L9781_abIrqActStatus||1||||||||0|1||||1|0|0||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
