Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CRKHAL_u16ENGINE_CYCLE||HEADER|1|0|0|CRKHAL_u16ENGINE_CYCLE|0|0|Phys|-|||||||CRKHAL_u16ENGINE_CYCLE||3||||||||0|1|||0|0|0|0||0|||||0|
PTMHAL_au32DurationPack|uint32|HEADER|0|1|PTMHAL_u8MAX_NB_PACKS|PTMHAL_au32DurationPack|0|0|Phys|ms|1|0.0001|0|Tooth Management|Tooth Management||PTMHAL_au32DurationPack||1||||||||0|1||||1|0|1||0|||||0|
PTMHAL_bEnabled|boolean|PTMHAL|0|0|0|PTMHAL_bEnabled|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||PTMHAL_bEnabled||1||||||||0|1||||1|0|0||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
PTMHAL_bFirstCalculEvtOccured|boolean|PTMHAL|0|0|0|PTMHAL_bFirstCalculEvtOccured|0|0|Phys|-|0|||Tooth Management|Tooth Management||PTMHAL_bFirstCalculEvtOccured||1||||||||0|1||||1|0|0||0|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
PTMHAL_EVENT||HEADER|0|0|0|PTMHAL_EVENT|0|0|Phys|-|||||||PTMHAL_EVENT||3||||||||0|1|||0x00|0|0|0||0|||||0|
PTMHAL_kau16AlarmAngle|uint16|HEADER|0|1|PTMHAL_u8MAX_ALARM_NB_PER_CYCLE|PTMHAL_kau16AlarmAngle|0|0|Phys|°Vil|1|0.015625|0|Tooth Management|Tooth Management||PTMHAL_kau16AlarmAngle||2|||||||V03 NT 11 07330|1|1||||1|0|0||0|||||0|
PTMHAL_ku16DurationsAlgo|uint16|PTMHAL|0|0|0|PTMHAL_ku16DurationsAlgo|0|0|Hexa|-||||Tooth Management|Tooth Management||PTMHAL_ku16DurationsAlgo||2|||||||V03 NT 11 07330|1|1||||1|0|0||0|||||0|
PTMHAL_ku8AlarmNbPerCycle|uint8|PTMHAL|0|0|0|PTMHAL_ku8AlarmNbPerCycle|0|0|Phys|-|0|||Tooth Management|Tooth Management||PTMHAL_ku8AlarmNbPerCycle||2|||||||V03 NT 11 07330|1|1||||1|0|0||0|||||0|
PTMHAL_u16COEF_DESIRED_RESOL||HEADER|0|0|0|PTMHAL_u16COEF_DESIRED_RESOL|0|0|Phys|-||||Tooth Management|Tooth Management||PTMHAL_u16COEF_DESIRED_RESOL||3||||||||0|1|||1|0|0|0||0|||||0|
PTMHAL_u16COEF_TIMER_RESOL||HEADER|0|0|0|PTMHAL_u16COEF_TIMER_RESOL|0|0|Phys|-||||Tooth Management|Tooth Management||PTMHAL_u16COEF_TIMER_RESOL||3||||||||0|1|||32|0|0|0||0|||||0|
