Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
TDCHAL_kau16SetPointAngles|uint16|HEADER|0|1|TDCHAL_u8MAX_NB_SETPOINTS|TDCHAL_kau16SetPointAngles|0|0|Phys|°Vil|1|0.015625|0|Tooth Management|Tooth Management||TDCHAL_kau16SetPointAngles||2||*||*||*|PTS DOC 5038320|1|1||||1|0|0||0|||||0|
TDCHAL_kau8OnSetPointIdx|uint8|HEADER|0|1|TDCHAL_u8MAX_NB_SETPOINTS|TDCHAL_kau8OnSetPointIdx|0|0|Phys|-|0|||Tooth Management|Tooth Management||TDCHAL_kau8OnSetPointIdx||2||*||*||*|PTS DOC 5038320|1|1||||1|0|0||0|||||0|
TDCHAL_kau8TDCCounter|uint8|HEADER|0|1|TDCHAL_u8MAX_NB_SETPOINTS|TDCHAL_kau8TDCCounter|0|0|Phys|-|0|||Tooth Management|Tooth Management||TDCHAL_kau8TDCCounter||2|||||||PTS DOC 5038320|1|1||||1|0|0||0|||||0|
TDCHAL_ku8NbSetPoints|uint8|TDCHAL|0|0|0|TDCHAL_ku8NbSetPoints|0|0|Phys|-|0|||Tooth Management|Tooth Management||TDCHAL_ku8NbSetPoints||2|||||||PTS DOC 5038320|1|1||||1|0|0||0|||||0|
TDCHAL_ku8NumberOfCylinders|uint8|TDCHAL|0|0|0|TDCHAL_ku8NumberOfCylinders|0|0|Déci|-||||Tooth Management|Tooth Management||TDCHAL_ku8NumberOfCylinders||2|||||||PTS DOC 5038320|1|1||||1|0|0|Number of cylinders|0|||||0|
TDCHAL_u32LastBdcDate|uint32|TDCHAL|0|0|0|TDCHAL_u32LastBdcDate|0|0|Déci|-||||Tooth Management|Tooth Management||TDCHAL_u32LastBdcDate||1||||||||0|1||||1|0|1||0|||||0|<COMP>_START_SEC_VAR_CLEARED_<SIZE>
TDCHAL_u32LastTdcDate|uint32|TDCHAL|0|0|0|TDCHAL_u32LastTdcDate|0|0|Déci|-||||Tooth Management|Tooth Management||TDCHAL_u32LastTdcDate||1||||||||0|1||||1|0|1||0|||||0|<COMP>_START_SEC_VAR_CLEARED_<SIZE>
TDCHAL_u8CurrentSetpoint|uint8|TDCHAL|0|0|0|TDCHAL_u8CurrentSetpoint|0|0|Déci|-||||Tooth Management|Tooth Management||TDCHAL_u8CurrentSetpoint||1||||||||0|1||||1|0|1||0|||||0|<COMP>_START_SEC_VAR_CLEARED_<SIZE>
TDCHAL_u8FOUR_CYLINDERS||TDCHAL|0|0|0|TDCHAL_u8FOUR_CYLINDERS|0|0|Phys|-|||||||TDCHAL_u8FOUR_CYLINDERS||3||||||||0|1|||4|0|0|0||0|||||0|
TDCHAL_u8MAX_NB_SETPOINTS||HEADER|0|0|0|TDCHAL_u8MAX_NB_SETPOINTS|0|0|Phys|-|||||||TDCHAL_u8MAX_NB_SETPOINTS||3||||||||0|1|||6|0|0|0||0||||||
TDCHAL_u8THREE_CYLINDERS||TDCHAL|0|0|0|TDCHAL_u8THREE_CYLINDERS|0|0|Phys|-|||||||TDCHAL_u8THREE_CYLINDERS||3||||||||0|1|||3|0|0|0||0|||||0|
TDCHAL_u8TOOTH_INFO_BUF_SIZE||TDCHAL|0|0|0|TDCHAL_u8TOOTH_INFO_BUF_SIZE|0|0|Phys|-|||||||TDCHAL_u8TOOTH_INFO_BUF_SIZE||3||||||||0|1|||3|0|0|0||0|||||0|
TDCHAL_vbEnabled|boolean|TDCHAL|0|0|0|TDCHAL_vbEnabled|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||TDCHAL_vbEnabled||1||||||||0|1||||1|0|1||1|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
TDCHAL_vbFirstBdc|boolean|TDCHAL|0|0|0|TDCHAL_vbFirstBdc|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||TDCHAL_vbFirstBdc||1||||||||0|1||||1|0|1||1|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
TDCHAL_vbFirstTdc|boolean|TDCHAL|0|0|0|TDCHAL_vbFirstTdc|0|0|Phys|bool|2|0||Tooth Management|Tooth Management||TDCHAL_vbFirstTdc||1||||||||0|1||||1|0|1||1|||||0|<COMP>_START_SEC_VAR_CLEARED_BOOLEAN
TDCHAL_vu32Period|uint32|TDCHAL|0|0|0|TDCHAL_vu32Period|0|0|Phys|µs|1|0.2|0|Tooth Management|Tooth Management||TDCHAL_vu32Period||1||||||||0|1||||1|0|1||1|||||0|<COMP>_START_SEC_VAR_CLEARED_<SIZE>
TDCHAL_vu8Counter|uint8|TDCHAL|0|0|0|TDCHAL_vu8Counter|0|0|Phys|Tdc|1|1|0|Tooth Management|Tooth Management||TDCHAL_vu8Counter||1||||||||0|1||||1|0|1||1|||||0|<COMP>_START_SEC_VAR_CLEARED_<SIZE>
