TYPE|VALUE|EQUIVALENCES
COEF|0.03125|2^-5|
COEF|1/2^4|2^-4|
COEF|(10^-6)*2^-13|2^-13*10^-6|
COEF|(512*10^5)/2^16|781.25|
COEF|(7.812*10^-3)/2^16|7.812*10^-3*2^-16|
COEF|(8*10^-6)/2^16|2^-13*10^-6|
COEF|-((2-2^-14))|-(2-2^-14)|
COEF|-(0.0019531)|-0.0019531|
COEF|-(0.0625)|-(2^-4)|
COEF|-(12)|-12|
COEF|-(2000)|-2000|
COEF|-(276)|-276|
COEF|-(36)|-36|
COEF|-(40)|-40|
COEF|-(50)|-50|
COEF|-(96)|-96|
COEF|-(n/a)| |
COEF|-(n/a)|1|
COEF|-0.0625|-(2^-4)|
COEF|-20000/(1000*1000000)|-2*10^-5|
COEF|-| |
COEF|0,00011921|7.812*2^-16|
COEF|0,0001192|7.812*2^-16|
COEF|0,0001|0.0001|
COEF|0,000244140625|2^-12|
COEF|0,00025|2.5*10^-4|
COEF|0,0032|32/10000|
COEF|0,0078125|2^-7|
COEF|0,008|8/1000|
COEF|0,09375|3*2^-5|
COEF|0,1|1/10|
COEF|0.0000000001220703125|2^-13*10^-6|
COEF|0.000001|10^-6|
COEF|0.0000032|2^5*10^-7|
COEF|0.0000064|64/10000000|
COEF|0.000030517578125|2^-15|
COEF|0.00006103515625|2^-14|
COEF|0.000119202|7.812*2^-16|
COEF|0.00011921|7.812*2^-16|
COEF|0.0001192|7.812*2^-16|
COEF|0.000244140625|2^-12|
COEF|0.0002|2/10000|
COEF|0.000762939453125|50/65536|
COEF|0.0009765625|2^-10|
COEF|0.0010|1/1000|
COEF|0.001220703125|5/4096|
COEF|0.001953125|2^-9|
COEF|0.001|1/1000|
COEF|0.0030517578125|100*2^-15|
COEF|0.0032|32/10000|
COEF|0.00390625|2^-8|
COEF|0.00457763671875|300/65536|
COEF|0.0048828125|5/1024|
COEF|0.007450580596923828|10^6*2^-27|
COEF|0.00745058|10^6*2^-27|
COEF|0.007812/65536|7.812*10^-3*2^-16|
