Writer channel;Writer fault;Reader channel;Reader fault;Callback
DGOHAL_udtMMCDGN;MMCDGN_CKS;DGOHAL_udtMMCDGN;MMCDGN_CKS;NONE
DGOHAL_udtTMS;TMSDGN_CALIB_CKS;DGOHAL_udtRTMCKS_TMS;TMSDGN_CALIB_CKS;NONE
DGOHAL_udtTMS;TMSDGN_CODE_CKS;DGOHAL_udtRTMCKS_TMS;TMSDGN_CODE_CKS;NONE
DGOHAL_udtL9781_INJECTOR_1;SUPPLY;DGOHAL_udtINJ_1;SUPPLY;NONE
DGOHAL_udtL9781_INJECTOR_1;GROUND;DGOHAL_udtINJ_1;GROUND;NONE
DGOHAL_udtL9781_INJECTOR_1;OPEN;DGOHAL_udtINJ_1;OPEN;NONE
DGOHAL_udtL9781_INJECTOR_1;OVERLOAD;DGOHAL_udtINJ_1;OVERLOAD;NONE
DGOHAL_udtL9781_INJECTOR_2;SUPPLY;DGOHAL_udtINJ_2;SUPPLY;NONE
DGOHAL_udtL9781_INJECTOR_2;GROUND;DGOHAL_udtINJ_2;GROUND;NONE
DGOHAL_udtL9781_INJECTOR_2;OPEN;DGOHAL_udtINJ_2;OPEN;NONE
DGOHAL_udtL9781_INJECTOR_2;OVERLOAD;DGOHAL_udtINJ_2;OVERLOAD;NONE
DGOHAL_udtL9781_INJECTOR_3;SUPPLY;DGOHAL_udtINJ_3;SUPPLY;NONE
DGOHAL_udtL9781_INJECTOR_3;GROUND;DGOHAL_udtINJ_3;GROUND;NONE
DGOHAL_udtL9781_INJECTOR_3;OPEN;DGOHAL_udtINJ_3;OPEN;NONE
DGOHAL_udtL9781_INJECTOR_3;OVERLOAD;DGOHAL_udtINJ_3;OVERLOAD;NONE
DGOHAL_udtL9781_FUEL_PUMP;SUPPLY;DGOHAL_udtSPILL_VALVE;SUPPLY;NONE
DGOHAL_udtL9781_FUEL_PUMP;GROUND;DGOHAL_udtSPILL_VALVE;GROUND;NONE
DGOHAL_udtL9781_FUEL_PUMP;OPEN;DGOHAL_udtSPILL_VALVE;OPEN;NONE
DGOHAL_udtL9781_FUEL_PUMP;OVERLOAD;DGOHAL_udtSPILL_VALVE;OVERLOAD;NONE
DGOHAL_udtL9781_ASIC_GDI;VBAT_OVER_VOLTAGE;DGOHAL_udtASIC_GDI;VBAT_OVER_VOLTAGE;NONE
DGOHAL_udtL9781_ASIC_GDI;VBAT_UNDER_VOLTAGE;DGOHAL_udtASIC_GDI;VBAT_UNDER_VOLTAGE;NONE
DGOHAL_udtL9781_ASIC_GDI;SPI_FAILURE;DGOHAL_udtASIC_GDI;SPI_FAILURE;NONE
