Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
GD_CLAS_DET|uint8|GD|1|0|0|GD_CLAS_DET|0|0||-|||||||GD_CLAS_DET||3||||||||0|1|||32|0|0|0||0|||||0
GD_CLAS_OBD|uint8|GD|1|0|0|GD_CLAS_OBD|0|0||-|||||||GD_CLAS_OBD||3||||||||0|1|||20|0|0|0||0|||||0
GD_CLAS_FRF|uint8|GD|1|0|0|GD_CLAS_FRF|0|0||-|||||||GD_CLAS_FRF||3||||||||0|1|||60|0|0|0||0|||||0
GD_CLAS_DID|uint8|GD|1|0|0|GD_CLAS_DID|0|0||-|||||||GD_CLAS_DID||3||||||||0|1|||60|0|0|0||0|||||0
GD_astrClasDet|GD_strClasDet|GD|1|GD_CLAS_DET|1|GD_astrClasDet|0|0|Déci|-||||GD|GD||GD_astrClasDet||2|||||||V02 NT 08 05814|0|0||||0|0|0||0|||||0
GD_astrClasObd|GD_strClasObd|GD|1|GD_CLAS_OBD|1|GD_astrClasObd|0|0|Déci|-||||GD|GD||GD_astrClasObd||2|||||||V02 NT 08 05814|0|0||||0|0|0||0|||||0
GD_astrClasFrf|GD_tstrClasFrf|GD|1|GD_CLAS_FRF|1|GD_astrClasFrf|0|0|Déci|-||||GD|GD||GD_astrClasFrf||2|||||||V02 NT 08 05814|0|0||||0|0|0||0|||||0
GD_astrClasDID|GD_strClasDID|GD|1|GD_CLAS_DID|1|GD_astrClasDID|0|0|Déci|-||||GD|GD||GD_astrClasDID||2|||||||V02 NT 10 03082|0|0||||0|0|0||0|||||0
GD_bEnaSaveFrfClasDet_000|boolean|GD|1|0|0|GD_astrClasDet[0].bEnaSaveFrfClasDet|0|0|Phys|bool|2|4||GD|GD||GD_bEnaSaveFrfClasDet_000||2|||||||V02 NT 08 05814|1|1||||1|0|0|Table that defines if DTC and Freeze Frames are saved or not|0|||||0
GD_bRstCntClasDet_000|boolean|GD|1|0|0|GD_astrClasDet[0].bRstCntClasDet|0|0|Phys|bool|2|4||GD|GD||GD_bRstCntClasDet_000||2|||||||V02 NT 08 05814|1|1||||1|0|0|Table that defines if the fault detection counter is initialised when the diagnostic’s status is GD_INIT.|0|||||0
GD_bUpDownClasDet_000|boolean|GD|1|0|0|GD_astrClasDet[0].bUpDownClasDet|0|0|Phys|bool|2|4||GD|GD||GD_bUpDownClasDet_000||2|||||||V02 NT 08 05814|1|1||||1|0|0|Table that defines if the fault detection counter is initialised before it decrements|0|||||0
GD_bLockDftClasDet_000|boolean|GD|1|0|0|GD_astrClasDet[0].bLockDftClasDet|0|0|Phys|bool|2|4||GD|GD||GD_bLockDftClasDet_000||2|||||||V02 NT 08 05814|1|1||||1|0|0|Table that defines if the failure is disconfirmed when the fault detection counter reach its minimum threshold or by a Key ON event.|0|||||0
