Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Iupr_bFrzRat001|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[0]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat001||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat002|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[1]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat002||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat003|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[2]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat003||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat004|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[3]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat004||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat005|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[4]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat005||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat006|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[5]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat006||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat007|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[6]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat007||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat008|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[7]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat008||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat009|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[8]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat009||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat010|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[9]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat010||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat011|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[10]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat011||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Iupr_bFrzRat012|boolean|IUPRFRZ|1|0|0|Iupr_bFrzRat[11]|0|0|Phys|bool|2|0||IUPRFRZ|IUPRFRZ||Iupr_bFrzRat012||1||||||||0|1||||1|0|0||0|0|1|0|1|0
