Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
KNWHAL_u8INPUT_STAGE_IDX_0|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_0|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_0||3||||||||0|1|||0|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_1|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_1|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_1||3||||||||0|1|||1|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_2|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_2|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_2||3||||||||0|1|||2|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_3|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_3|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_3||3||||||||0|1|||3|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_4|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_4|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_4||3||||||||0|1|||4|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_5|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_5|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_5||3||||||||0|1|||5|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_6|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_6|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_6||3||||||||0|1|||6|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_7|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_7|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_7||3||||||||0|1|||7|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_8|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_8|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_8||3||||||||0|1|||8|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_9|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_9|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_9||3||||||||0|1|||9|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_10|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_10|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_10||3||||||||0|1|||10|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_11|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_11|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_11||3||||||||0|1|||11|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_12|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_12|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_12||3||||||||0|1|||12|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_13|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_13|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_13||3||||||||0|1|||13|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_14|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_14|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_14||3||||||||0|1|||14|0|0|0||0|||||0
KNWHAL_u8INPUT_STAGE_IDX_15|uint8|KNWHAL|1|0|0|KNWHAL_u8INPUT_STAGE_IDX_15|0|0|Phys|-|||||||KNWHAL_u8INPUT_STAGE_IDX_15||3||||||||0|1|||15|0|0|0||0|||||0
KNWHAL_u16KnockSamplePeriod|uint16|KNWHAL|0|0|0|KNWHAL_u16KnockSamplePeriod|0|0|Phys|ns|1|10|0|Knock Sensor|Knock Sensor||KNWHAL_u16KnockSamplePeriod||1||||||||0|1||||1|0|0||0|||||
