Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
TDCHAL_u8MAX_NB_SETPOINTS||TDCHAL|0|0|0|TDCHAL_u8MAX_NB_SETPOINTS|0|0|Phys|-|||||||TDCHAL_u8MAX_NB_SETPOINTS||3||||||||0|1|||6|0|0|0||0||||||
TDCHAL_u8NB_ACTIONS_ON_SETPOINT||TDCHAL|0|0|0|TDCHAL_u8NB_ACTIONS_ON_SETPOINT|0|0|Phys|-|||||||TDCHAL_u8NB_ACTIONS_ON_SETPOINT||3||||||||0|1|||2|0|0|0||0||||||
TDCHAL_u16ANGLE_RESOL||TDCHAL|0|0|0|TDCHAL_u16ANGLE_RESOL|0|0|Phys|-|||||||TDCHAL_u16ANGLE_RESOL||3||||||||0|1|||CRKHAL_u16COMMON_ANGLE_RESOL|0|0|0||0||||||
TDCHAL_u16ANGULAR_MARGIN||TDCHAL|0|0|0|TDCHAL_u16ANGULAR_MARGIN|0|0|Phys|-|||||||TDCHAL_u16ANGULAR_MARGIN||3||||||||0|1|||4*CRKHAL_u16COMMON_ANGLE_RESOL|0|0|0||0|||||0|
TDCHAL_u16ENGINE_CYCLE||TDCHAL|0|0|0|TDCHAL_u16ENGINE_CYCLE|0|0|Phys|-|||||||TDCHAL_u16ENGINE_CYCLE||3||||||||0|1|||CRKHAL_u16ENGINE_CYCLE|0|0|0||0||||||
TDCHAL_coBDC_ENABLED||TDCHAL|0|0|0|TDCHAL_coBDC_ENABLED|0|0|Phys|-|||||||TDCHAL_coBDC_ENABLED||3||||||||0|1|||1|0|0|0||0||||||
TDCHAL_coBDC_CALC_PER_ON_ENABLED||TDCHAL|0|0|0|TDCHAL_coBDC_CALC_PER_ON_ENABLED|0|0|Phys|-|||||||TDCHAL_coBDC_CALC_PER_ON_ENABLED||3||||||||0|1|||1|0|0|0||0|||||
TDCHAL_u16COEF_TIMER_RESOL||TDCHAL|0|0|0|TDCHAL_u16COEF_TIMER_RESOL|0|0|Phys|-|||||||TDCHAL_u16COEF_TIMER_RESOL||3||||||||0|1|||1|0|0|0||0||||||
TDCHAL_u16COEF_DESIRED_RESOL||TDCHAL|0|0|0|TDCHAL_u16COEF_DESIRED_RESOL|0|0|Phys|-|||||||TDCHAL_u16COEF_DESIRED_RESOL||3||||||||0|1|||2|0|0|0||0||||||
TDCHAL_u16COEF_TOOTH_DURATION_RESOL||TDCHAL|0|0|0|TDCHAL_u16COEF_TOOTH_DURATION_RESOL|0|0|Phys|-|||||||TDCHAL_u16COEF_TOOTH_DURATION_RESOL||3||||||||0|1|||1|0|0|0||0||||||
TDCHAL_u32TOOTH_EDGE_DATE_MASK||TDCHAL|0|0|0|TDCHAL_u32TOOTH_EDGE_DATE_MASK|0|0|Phys|-|||||||TDCHAL_u32TOOTH_EDGE_DATE_MASK||3||||||||0|1|||0x00FFFFFF|0|0|0||0||||||
