Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval

GD_stEventStatusAaStart_Bidon|Std_ReturnType|GD|1|0|0|GD_stEventStatus[0]|0|0|Déci|-||||GD|GD||GD_stEventStatusAaStart_Bidon||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusCoh_Ped|Std_ReturnType|GD|1|0|0|GD_stEventStatus[1]|0|0|Déci|-||||GD|GD||GD_stEventStatusCoh_Ped||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScpOc_Ped2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[2]|0|0|Déci|-||||GD|GD||GD_stEventStatusScpOc_Ped2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_Ped2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[3]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_Ped2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScpOc_Ped1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[4]|0|0|Déci|-||||GD|GD||GD_stEventStatusScpOc_Ped1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_Ped1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[5]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_Ped1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusCoh_rAccP|Std_ReturnType|GD|1|0|0|GD_stEventStatus[6]|0|0|Déci|-||||GD|GD||GD_stEventStatusCoh_rAccP||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusStuckAccP|Std_ReturnType|GD|1|0|0|GD_stEventStatus[7]|0|0|Déci|-||||GD|GD||GD_stEventStatusStuckAccP||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScpAccPSwt|Std_ReturnType|GD|1|0|0|GD_stEventStatus[8]|0|0|Déci|-||||GD|GD||GD_stEventStatusScpAccPSwt||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusStuckAccPSwt|Std_ReturnType|GD|1|0|0|GD_stEventStatus[9]|0|0|Déci|-||||GD|GD||GD_stEventStatusStuckAccPSwt||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScgAccPSwt|Std_ReturnType|GD|1|0|0|GD_stEventStatus[10]|0|0|Déci|-||||GD|GD||GD_stEventStatusScgAccPSwt||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusCohAccPSwt|Std_ReturnType|GD|1|0|0|GD_stEventStatus[11]|0|0|Déci|-||||GD|GD||GD_stEventStatusCohAccPSwt||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusGrd_pACMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[12]|0|0|Déci|-||||GD|GD||GD_stEventStatusGrd_pACMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusHi_pACMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[13]|0|0|Déci|-||||GD|GD||GD_stEventStatusHi_pACMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusLo_pACMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[14]|0|0|Déci|-||||GD|GD||GD_stEventStatusLo_pACMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[15]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[16]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[17]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusGrd_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[18]|0|0|Déci|-||||GD|GD||GD_stEventStatusGrd_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusGrd_tCoMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[19]|0|0|Déci|-||||GD|GD||GD_stEventStatusGrd_tCoMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_tCoMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[20]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_tCoMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_tCoMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[21]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_tCoMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_tCoMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[22]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_tCoMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_CTP1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[23]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_CTP1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_CTP1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[24]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_CTP1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_CTP1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[25]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_CTP1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_CTP2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[26]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_CTP2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_CTP2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[27]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_CTP2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_CTP2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[28]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_CTP2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_AirExtPresAcq|Std_ReturnType|GD|1|0|0|GD_stEventStatus[29]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_AirExtPresAcq||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_AirExtPresAcq|Std_ReturnType|GD|1|0|0|GD_stEventStatus[30]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_AirExtPresAcq||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusNegOfs_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[31]|0|0|Déci|-||||GD|GD||GD_stEventStatusNegOfs_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusORng_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[32]|0|0|Déci|-||||GD|GD||GD_stEventStatusORng_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusPosOfs_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[33]|0|0|Déci|-||||GD|GD||GD_stEventStatusPosOfs_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusStallCoh_tAirMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[34]|0|0|Déci|-||||GD|GD||GD_stEventStatusStallCoh_tAirMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_bInhCrkAltHw|Std_ReturnType|GD|1|0|0|GD_stEventStatus[35]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_bInhCrkAltHw||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_bInhCrkAltHw|Std_ReturnType|GD|1|0|0|GD_stEventStatus[36]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_bInhCrkAltHw||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusHi_uBattMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[37]|0|0|Déci|-||||GD|GD||GD_stEventStatusHi_uBattMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusLo_uBattMes|Std_ReturnType|GD|1|0|0|GD_stEventStatus[38]|0|0|Déci|-||||GD|GD||GD_stEventStatusLo_uBattMes||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_uDftStaCmd|Std_ReturnType|GD|1|0|0|GD_stEventStatus[39]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_uDftStaCmd||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_uDftStaCmd|Std_ReturnType|GD|1|0|0|GD_stEventStatus[40]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_uDftStaCmd||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusInvld_uDftStaCmd|Std_ReturnType|GD|1|0|0|GD_stEventStatus[41]|0|0|Déci|-||||GD|GD||GD_stEventStatusInvld_uDftStaCmd||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_BlowBy1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[42]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_BlowBy1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_BlowBy2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[43]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_BlowBy2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_BlowBy1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[44]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_BlowBy1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_BlowBy2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[45]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_BlowBy2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_BlowBy1|Std_ReturnType|GD|1|0|0|GD_stEventStatus[46]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_BlowBy1||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusOc_BlowBy2|Std_ReturnType|GD|1|0|0|GD_stEventStatus[47]|0|0|Déci|-||||GD|GD||GD_stEventStatusOc_BlowBy2||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScp_pBrkAsi|Std_ReturnType|GD|1|0|0|GD_stEventStatus[48]|0|0|Déci|-||||GD|GD||GD_stEventStatusScp_pBrkAsi||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusScg_pBrkAsi|Std_ReturnType|GD|1|0|0|GD_stEventStatus[49]|0|0|Déci|-||||GD|GD||GD_stEventStatusScg_pBrkAsi||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusGrd_pBrkAsi|Std_ReturnType|GD|1|0|0|GD_stEventStatus[50]|0|0|Déci|-||||GD|GD||GD_stEventStatusGrd_pBrkAsi||1||||||||0|1||||1|0|0||0|||||0
GD_stEventStatusCoh_pBrkAsi|Std_ReturnType|GD|1|0|0|GD_stEventStatus[51]|0|0|Déci|-||||GD|GD||GD_stEventStatusCoh_pBrkAsi||1||||||||0|1||||1|0|0||0|||||0
