Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Rdy_bAaStart_Bidon|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bAaStart_Bidon||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bCoh_Ped|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bCoh_Ped||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScpOc_Ped2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bScpOc_Ped2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_Ped2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bScg_Ped2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScpOc_Ped1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bScpOc_Ped1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_Ped1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bScg_Ped1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bCoh_rAccP|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bCoh_rAccP||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bStuckAccP|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[0]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bStuckAccP||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScpAccPSwt|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bScpAccPSwt||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bStuckAccPSwt|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bStuckAccPSwt||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScgAccPSwt|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bScgAccPSwt||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bCohAccPSwt|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bCohAccPSwt||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bGrd_pACMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bGrd_pACMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bHi_pACMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bHi_pACMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bLo_pACMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bLo_pACMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[1]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bOc_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bScg_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bScp_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bGrd_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bGrd_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bGrd_tCoMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bGrd_tCoMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_tCoMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bOc_tCoMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_tCoMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bScg_tCoMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_tCoMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bScp_tCoMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_CTP1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[2]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bScg_CTP1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_CTP1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bScp_CTP1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_CTP1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bOc_CTP1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_CTP2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bScg_CTP2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_CTP2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bScp_CTP2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_CTP2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bOc_CTP2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_AirExtPresAcq|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bScg_AirExtPresAcq||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_AirExtPresAcq|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bScp_AirExtPresAcq||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bNegOfs_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[3]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bNegOfs_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bORng_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bORng_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bPosOfs_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bPosOfs_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bStallCoh_tAirMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bStallCoh_tAirMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_bInhCrkAltHw|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bScp_bInhCrkAltHw||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_bInhCrkAltHw|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bScg_bInhCrkAltHw||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bHi_uBattMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bHi_uBattMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bLo_uBattMes|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bLo_uBattMes||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_uDftStaCmd|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[4]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bScp_uDftStaCmd||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_uDftStaCmd|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|0|Phys|bool|2|0||RC01|RC01||Rdy_bScg_uDftStaCmd||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bInvld_uDftStaCmd|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|1|Phys|bool|2|0||RC01|RC01||Rdy_bInvld_uDftStaCmd||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_BlowBy1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|2|Phys|bool|2|0||RC01|RC01||Rdy_bScg_BlowBy1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScg_BlowBy2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|3|Phys|bool|2|0||RC01|RC01||Rdy_bScg_BlowBy2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_BlowBy1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|4|Phys|bool|2|0||RC01|RC01||Rdy_bScp_BlowBy1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bScp_BlowBy2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|5|Phys|bool|2|0||RC01|RC01||Rdy_bScp_BlowBy2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_BlowBy1|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|6|Phys|bool|2|0||RC01|RC01||Rdy_bOc_BlowBy1||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
Rdy_bOc_BlowBy2|boolean|RC01|1|0|0|Rdy_au8Rdy_EEPROM[5]|0|7|Phys|bool|2|0||RC01|RC01||Rdy_bOc_BlowBy2||1|||||||V02 NT 08 06244|0|1||||1|0|0||0|0|1|0|1|0
