Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
GOBD_bPresDCAaStart_Bidon|boolean|GOBD|0|0|0|GD_astrDftEep[0].u8GduGobdManagement|0|0|Phys|bool|2|||GOBD|GOBD||GOBD_bPresDCAaStart_Bidon||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the GDU manager go through the state PRESENT on a DC Applique.|0|||||0
GOBD_bNCfDCAaStart_Bidon|boolean|GOBD|0|0|0|GD_astrDftEep[0].u8GduGobdManagement|0|1|Phys|bool|2|||GOBD|GOBD||GOBD_bNCfDCAaStart_Bidon||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the Drinving Cycle meter has reached its Threshold|0|||||0
GOBD_bPresDCCoh_Ped|boolean|GOBD|0|0|0|GD_astrDftEep[1].u8GduGobdManagement|0|0|Phys|bool|2|||GOBD|GOBD||GOBD_bPresDCCoh_Ped||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the GDU manager go through the state PRESENT on a DC Applique.|0|||||0
GOBD_bNCfDCCoh_Ped|boolean|GOBD|0|0|0|GD_astrDftEep[1].u8GduGobdManagement|0|1|Phys|bool|2|||GOBD|GOBD||GOBD_bNCfDCCoh_Ped||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the Drinving Cycle meter has reached its Threshold|0|||||0
GOBD_bPresDCScpOc_Ped2|boolean|GOBD|0|0|0|GD_astrDftEep[2].u8GduGobdManagement|0|0|Phys|bool|2|||GOBD|GOBD||GOBD_bPresDCScpOc_Ped2||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the GDU manager go through the state PRESENT on a DC Applique.|0|||||0
GOBD_bNCfDCScpOc_Ped2|boolean|GOBD|0|0|0|GD_astrDftEep[2].u8GduGobdManagement|0|1|Phys|bool|2|||GOBD|GOBD||GOBD_bNCfDCScpOc_Ped2||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the Drinving Cycle meter has reached its Threshold|0|||||0
GOBD_bPresDCScg_Ped2|boolean|GOBD|0|0|0|GD_astrDftEep[3].u8GduGobdManagement|0|0|Phys|bool|2|||GOBD|GOBD||GOBD_bPresDCScg_Ped2||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the GDU manager go through the state PRESENT on a DC Applique.|0|||||0
GOBD_bNCfDCScg_Ped2|boolean|GOBD|0|0|0|GD_astrDftEep[3].u8GduGobdManagement|0|1|Phys|bool|2|||GOBD|GOBD||GOBD_bNCfDCScg_Ped2||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the Drinving Cycle meter has reached its Threshold|0|||||0
GOBD_bPresDCScpOc_Ped1|boolean|GOBD|0|0|0|GD_astrDftEep[4].u8GduGobdManagement|0|0|Phys|bool|2|||GOBD|GOBD||GOBD_bPresDCScpOc_Ped1||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the GDU manager go through the state PRESENT on a DC Applique.|0|||||0
GOBD_bNCfDCScpOc_Ped1|boolean|GOBD|0|0|0|GD_astrDftEep[4].u8GduGobdManagement|0|1|Phys|bool|2|||GOBD|GOBD||GOBD_bNCfDCScpOc_Ped1||1|||||||V02 NT 08 05441|0|1||||1|0|0|Indicate that the Drinving Cycle meter has reached its Threshold|0|||||0
