Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Jbsi_idxBuffer01_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer01NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer01_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer02_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer02NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer02_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer03_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer03NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer03_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer04_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer04NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer04_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer05_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer05NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer05_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer06_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer06NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer06_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer07_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer07NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer07_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer08_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer08NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer08_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer09_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer09NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer09_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxBuffer10_00|uint32|JDD|0|0|0|Jbsi_au32idxBuffer10NoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxBuffer10_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_idxDft_00|uint16|JDD|0|0|0|Jbsi_au16idxDftNoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxDft_00||1||||||||0|1||||1|0|0||0|0|65535|0|65535|0
Jbsi_idxFltToCxt_00|uint8|JDD|0|0|0|Jbsi_au8idxFltToCxtNoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_idxFltToCxt_00||1||||||||0|1||||1|0|0||0|0|255|0|255|0
Jbsi_noDTC_00|uint32|JDD|0|0|0|Jbsi_au32noDTCNoCxt[0]|0|0|HEXA|-|1|1|0|JDD|JDD||Jbsi_noDTC_00||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
Jbsi_stCxtRec_00|uint8|JDD|0|0|0|Jbsi_au8stCxtRecNoCxt[0]|0|0|Phys|-|1|1|0|JDD|JDD||Jbsi_stCxtRec_00||1||||||||0|1||||1|0|0||0|0|2|0|2|0
Jbsi_stDTC_00|boolean|JDD|0|0|0|Jbsi_abstDTCNoCxt[0]|0|0|Phys|bool|2|0||JDD|JDD||Jbsi_stDTC_00||1||||||||0|1||||1|0|0||0|0|1|0|1|0
